event,censored,base,hedge_pnl,total,triggered,outcome
381,1,0,-2.89,-2.89,1,1
382,0,0.09,0,0.09,0,0
383,0,0.06,0,0.06,0,0
384,1,0,0,0,0,0
385,0,4.54747e-13,0,4.54747e-13,0,0
386,1,0,0,0,0,0
387,1,0,0,0,0,0
388,1,0,0,0,0,0
389,1,0,0,0,0,0
390,1,0,0,0,0,0
391,1,0,0,0,0,0
392,1,0,0,0,0,0
393,1,0,0,0,0,0
394,0,0.06,0,0.06,0,0
395,0,-4.54747e-13,0,-4.54747e-13,0,0
396,0,-33.9,2.16,-31.74,1,2
397,0,0.01,0,0.01,0,0
398,0,-35.65,2.93,-32.72,1,2
399,0,0.09,0,0.09,0,0
400,0,18.33,0,18.33,0,0
401,0,19.28,0,19.28,0,0
402,0,0,0,0,0,0
403,0,-51.71,-4.8,-56.51,1,1
404,0,24.48,0,24.48,0,0
405,1,0,0,0,0,0
406,1,0,0,0,0,0
407,0,0.01,0,0.01,0,0
408,1,0,0,0,0,0
409,0,0.86,0,0.86,0,0
410,0,0.17,0,0.17,0,0
411,0,-31.91,-3.04,-34.95,1,1
412,0,0.06,0,0.06,0,0
413,0,0.31,0,0.31,0,0
414,0,0.01,0,0.01,0,0
415,0,-4.54747e-13,0,-4.54747e-13,0,0
416,0,0,0,0,0,0
417,0,13.59,0,13.59,0,0
418,0,13.56,0,13.56,0,0
419,1,0,0,0,0,0
420,1,0,0,0,0,0
421,0,13.3,0,13.3,0,0
422,0,13.59,0,13.59,0,0
423,0,0.21,0,0.21,0,0
424,0,0.09,0,0.09,0,0
425,0,-35.19,2.66,-32.53,1,2
426,0,0.01,0,0.01,0,0
427,0,0.17,0,0.17,0,0
428,0,13.92,0,13.92,0,0
429,1,0,0,0,0,0
430,0,0.05,0,0.05,0,0
431,0,0.01,0,0.01,0,0
432,0,-31.29,2.13,-29.16,1,2
433,0,12.97,0,12.97,0,0
434,0,-4.54747e-13,0,-4.54747e-13,0,0
435,0,0.04,0,0.04,0,0
436,0,0.08,0,0.08,0,0
437,0,0.05,0,0.05,0,0
438,0,10.86,0,10.86,0,0
439,0,0.2,0,0.2,0,0
440,0,0.05,0,0.05,0,0
441,0,11.34,0,11.34,0,0
442,1,0,0,0,0,0
443,0,0.08,0,0.08,0,0
444,0,11.31,0,11.31,0,0
445,0,11.35,0,11.35,0,0
446,0,0.37,0,0.37,0,0
447,0,0.02,0,0.02,0,0
448,0,0.07,0,0.07,0,0
449,0,11.36,0,11.36,0,0
450,0,-24.5,1.57,-22.93,1,2
451,0,-26.21,1.93,-24.28,1,2
452,0,10.9,0,10.9,0,0
453,1,0,0,0,0,0
454,0,-4.54747e-13,0,-4.54747e-13,0,0
455,0,0.08,0,0.08,0,0
456,0,0.07,0,0.07,0,0
457,0,0.26,0,0.26,0,0
458,0,0.04,0,0.04,0,0
459,0,11.65,0,11.65,0,0
460,0,0.08,0,0.08,0,0
461,0,0.04,0,0.04,0,0
462,1,0,-2.54,-2.54,1,1
463,0,-26.63,2.13,-24.5,1,2
464,0,10.16,0,10.16,0,0
465,0,10.01,0,10.01,0,0
466,0,0.16,0,0.16,0,0
467,0,11.73,0,11.73,0,0
468,1,0,0,0,0,0
469,0,0.17,0,0.17,0,0
470,1,0,0,0,0,0
471,0,0.11,0,0.11,0,0
472,0,0.07,0,0.07,0,0
473,0,4.54747e-13,0,4.54747e-13,0,0
474,0,0,0,0,0,0
475,0,0.03,0,0.03,0,0
476,0,0.04,0,0.04,0,0
477,0,9.88,0,9.88,0,0
478,1,0,0,0,0,0
479,0,-34.89,2.69,-32.2,1,2
480,0,0.13,0,0.13,0,0
481,0,0.02,0,0.02,0,0
482,1,0,0,0,0,0
483,0,12.49,0,12.49,0,0
484,1,0,0,0,0,0
485,0,11.68,0,11.68,0,0
486,0,0.04,0,0.04,0,0
487,1,0,0,0,0,0
488,0,-28.58,-2.73,-31.31,1,1
489,0,4.54747e-13,0,4.54747e-13,0,0
490,0,12.45,0,12.45,0,0
491,0,12.2,0,12.2,0,0
492,1,0,0,0,0,0
493,1,0,0,0,0,0
494,1,0,0,0,0,0
495,0,0.01,0,0.01,0,0
496,0,0.21,0,0.21,0,0
497,0,-29.76,2.39,-27.37,1,2
498,0,-30.93,-2.71,-33.64,1,1
499,0,0.12,-2.82,-2.7,1,1
500,0,12.49,0,12.49,0,0
501,0,-29.76,2.17,-27.59,1,2
502,0,0.14,0,0.14,0,0
503,0,0.03,0,0.03,0,0
504,0,0.12,0,0.12,0,0
505,0,-32.06,2.2,-29.86,1,2
506,0,-31.37,1.78,-29.59,1,2
507,0,0.02,0,0.02,0,0
508,0,0.01,0,0.01,0,0
509,0,0.01,0,0.01,0,0
510,0,13.71,0,13.71,0,0
511,0,13.95,0,13.95,0,0
512,0,14.18,0,14.18,0,0
513,1,0,0,0,0,0
514,0,-4.54747e-13,0,-4.54747e-13,0,0
515,0,0.04,0,0.04,0,0
516,1,0,0,0,0,0
517,0,0.02,0,0.02,0,0
518,0,0.19,0,0.19,0,0
519,0,-30.89,2.2,-28.69,1,2
520,0,-31.37,-2.83,-34.2,1,1
521,0,-29.76,-2.87,-32.63,1,1
522,0,12.32,0,12.32,0,0
523,1,0,0,0,0,0
524,0,0.09,0,0.09,0,0
525,0,12.07,0,12.07,0,0
526,0,0.18,0,0.18,0,0
527,0,0.11,0,0.11,0,0
528,0,11.08,0,11.08,0,0
529,0,11.22,0,11.22,0,0
530,1,0,0,0,0,0
531,0,0.02,0,0.02,0,0
532,0,10.58,0,10.58,0,0
533,0,0.03,0,0.03,0,0
534,0,-27.44,-2.5,-29.94,1,1
535,0,-27.41,-2.53,-29.94,1,1
536,1,0,0,0,0,0
537,0,10.94,0,10.94,0,0
538,0,11.15,0,11.15,0,0
539,0,11.3,0,11.3,0,0
540,0,11.34,0,11.34,0,0
541,0,11.21,0,11.21,0,0
542,0,0.11,0,0.11,0,0
543,0,10.74,0,10.74,0,0
544,0,11.17,0,11.17,0,0
545,0,11.47,0,11.47,0,0
546,1,0,0,0,0,0
547,0,11.42,0,11.42,0,0
548,0,11.47,0,11.47,0,0
549,1,0,0,0,0,0
550,0,0.01,0,0.01,0,0
551,0,0.03,0,0.03,0,0
552,0,11.35,0,11.35,0,0
553,1,0,0,0,0,0
554,0,0.01,0,0.01,0,0
