block,spec,idx,decision,score,feedback_mean_R,upgrade,actual_R,feedback_n
2024Q4,MEAN_FB360,4268,2024-12-20 04:00:00,-0.17348571,0.2832051739327693,0,1.4173622704507507,53
2024Q4,MEAN_FB360,4272,2024-12-20 20:00:00,0.0409551751637807,0.29136235202968797,1,-0.186164010882237,53
2024Q4,MEAN_FB360,4273,2024-12-23 04:00:00,-0.4845738927615033,0.29136235202968797,0,-0.682352941176492,53
2024Q4,MEAN_FB360,4274,2024-12-23 08:00:00,-0.5473303,0.2825192712350227,0,-1.0,54
2024Q4,MEAN_FB360,4277,2024-12-23 20:00:00,0.13949887,0.2825192712350227,1,-0.4059910771191758,54
2024Q4,MEAN_FB360,4278,2024-12-24 00:00:00,-0.2195595463027249,0.2825192712350227,0,-0.4371823324708979,54
2024Q4,MEAN_FB360,4279,2024-12-24 04:00:00,-0.5419865,0.2825192712350227,0,-0.4809976247030773,54
2024Q4,MEAN_FB360,4281,2024-12-24 12:00:00,-0.0893906758839166,0.27000090126494636,0,-0.4532828282828425,55
2024Q4,MEAN_FB360,4282,2024-12-24 16:00:00,-0.16033003,0.25823290616215033,0,-0.3877840909090955,54
2024Q4,MEAN_FB360,4283,2024-12-24 20:00:00,0.2697477,0.2551186814945038,1,2.6731448763248813,53
2024Q4,MEAN_FB360,4289,2024-12-27 08:00:00,-0.19554417,0.3244233018025204,0,-1.0,53
2024Q4,MEAN_FB360,4290,2024-12-27 12:00:00,0.1925888988178141,0.3244233018025204,1,0.3928571428571612,53
2024Q4,MEAN_FB360,4296,2024-12-30 16:00:00,-0.37641478,0.38213592254228684,0,-0.1239577543079513,51
2024Q4,MEAN_FB360,4299,2024-12-31 04:00:00,-0.8614446,0.38213592254228684,0,-1.0,51
2024Q4,MEAN_FB360,4300,2024-12-31 08:00:00,-0.1340568154493046,0.38213592254228684,0,-1.0,51
2024Q4,MEAN_FB360,4301,2024-12-31 12:00:00,-0.34990382,0.38213592254228684,0,2.985133020344213,51
2024Q4,MEAN_FB360,4303,2024-12-31 20:00:00,0.0217540913873957,0.38213592254228684,1,1.5570897503982912,51
2024Q4,EV_FB180,3932,2024-10-01 08:00:00,-0.1004801392513454,0.1775219071735175,0,2.369189907038612,19
2024Q4,EV_FB180,3933,2024-10-01 12:00:00,-0.4172928494831663,0.1775219071735175,0,0.9054726368159304,19
2024Q4,EV_FB180,3934,2024-10-01 16:00:00,-0.072923365917852,0.1775219071735175,0,0.4232868135474186,19
2024Q4,EV_FB180,3938,2024-10-02 08:00:00,-0.3392617956243389,0.1775219071735175,0,-1.0,19
2024Q4,EV_FB180,3939,2024-10-02 12:00:00,0.0251826061038732,0.1775219071735175,1,-1.0,19
2024Q4,EV_FB180,3943,2024-10-03 04:00:00,0.1299250473056035,0.11864581181484164,1,-0.2632075471698101,20
2024Q4,EV_FB180,3944,2024-10-03 08:00:00,0.3833602194876339,0.11864581181484164,1,-0.638432364096079,20
2024Q4,EV_FB180,3946,2024-10-03 16:00:00,-0.0416983550529474,0.10046231852985821,0,-1.0,21
2024Q4,EV_FB180,3953,2024-10-04 20:00:00,-0.2030694975842812,-0.011227884551398363,0,-0.3234438627108742,21
2024Q4,EV_FB180,3956,2024-10-07 12:00:00,-0.3030053728974413,-0.011227884551398363,0,-1.0,21
2024Q4,EV_FB180,3965,2024-10-09 00:00:00,-0.0815863905626901,0.014079589206004406,0,0.0095129375951293,19
2024Q4,EV_FB180,3966,2024-10-09 04:00:00,0.2631527357083986,0.014079589206004406,1,-0.329501915708806,19
2024Q4,EV_FB180,3968,2024-10-09 12:00:00,-0.3004360366468728,-0.003099486039736113,0,-0.3240857503152858,20
2024Q4,EV_FB180,3969,2024-10-09 16:00:00,-0.0381973414289537,-0.003099486039736113,0,-1.0,20
2024Q4,EV_FB180,3970,2024-10-09 20:00:00,0.0134650009516517,0.007163991662850285,1,-0.3791848617176215,19
2024Q4,EV_FB180,3973,2024-10-10 08:00:00,-0.374441936610333,0.007163991662850285,0,-1.0,19
2024Q4,EV_FB180,3976,2024-10-10 20:00:00,0.0451350587903382,-0.012153451006173304,0,1.5640295959020922,20
2024Q4,EV_FB180,3977,2024-10-11 00:00:00,-0.1072919309256365,-0.012153451006173304,0,1.134806033763186,20
2024Q4,EV_FB180,3982,2024-10-11 20:00:00,-0.1038080281625279,0.012076760652841646,0,-0.5671334431630918,19
2024Q4,EV_FB180,3983,2024-10-14 04:00:00,0.0327434791842548,0.012076760652841646,1,-0.8557625948930488,19
2024Q4,EV_FB180,3984,2024-10-14 08:00:00,0.1691444039600002,0.11397657542964419,1,-0.5493257629524596,19
2024Q4,EV_FB180,3988,2024-10-15 00:00:00,-0.0378495520471341,0.11102202560728643,0,-0.4777618364418815,19
2024Q4,EV_FB180,3991,2024-10-15 12:00:00,-0.0964390582761627,0.11102202560728643,0,1.836512261580444,19
2024Q4,EV_FB180,3992,2024-10-15 16:00:00,0.1925519891490594,0.17274547147435787,1,2.542239685658205,18
2024Q4,EV_FB180,3997,2024-10-16 12:00:00,-0.0927204953412181,0.2038734666313336,0,-0.2653876099121081,17
2024Q4,EV_FB180,4001,2024-10-17 04:00:00,-0.111897704193062,0.33378270102171537,0,8.956862745097368,18
2024Q4,EV_FB180,4014,2024-10-21 12:00:00,-0.0448160293590275,0.41224050696416914,0,-1.0,17
2024Q4,EV_FB180,4016,2024-10-21 20:00:00,-0.0707731424032429,0.4351184208875558,0,-0.687154271665633,16
2024Q4,EV_FB180,4019,2024-10-22 08:00:00,0.1371399282847617,0.4351184208875558,1,0.5396627108057749,16
2024Q4,EV_FB180,4021,2024-10-22 16:00:00,-0.4036731674145344,0.4351184208875558,0,0.7610413132145541,16
2024Q4,EV_FB180,4030,2024-10-24 04:00:00,0.0919486519371682,0.4948284449640802,1,-0.2941329761539371,16
2024Q4,EV_FB180,4031,2024-10-24 08:00:00,0.1629036676851262,0.4948284449640802,1,0.5836768342951247,16
