market,sweep_time,dir,liq_price,liq_pivot_at,liq_available_at,liq_id,n_levels,sweep_extreme,trigger_time,trigger_close,pre_m5_owner,trigger_m5_index,m1_owner_at_sweep,m1_path,m1_direct_transfer,m1_one_reneg,d14,d24,d24_age,d1_atr,broken_m5_level,trigger_spread,parent_entry,parent_sl,parent_risk,limit_entry,planned_sl,planned_risk,improved,geom,scale,acceptance,menv_n_prior,med_scale,med_accept,menv_hh,h_auth,l1_auth,l2_auth,module,prospective_fill_time,pnl_R,outcome,resolved_at,accepted,exposure_blocked,menv_n_prior_carry,med_scale_carry,med_accept_carry,menv_hh_carry
BTCUSD#,2026-07-14 16:23:00,-1,64113.2,2026-07-13 03:45:00,2026-07-13 05:00:00,1602,1,64168.6,2026-07-14 17:05:00,63601.6,1,55886,1,-1,True,False,1,1,2,1876.232142857143,63688.8,22.5,63601.6,64191.1,589.5,63645.2,64191.1,545.9000000000015,True,True,0.2909554673595454,0.0464761252129576,30,0.1528980172933075,0.0164394865952704,True,False,False,False,NONE,,,NO_TRADE,,False,False,213,0.1842902383051549,0.015064475623302,True
BTCUSD#,2026-07-15 10:28:00,1,64473.8,2026-07-15 05:30:00,2026-07-15 07:00:00,1621,1,64473.3,2026-07-15 11:05:00,64661.7,-1,56102,-1,"1,-1,1",False,True,-1,1,20,1924.975,64625.8,22.5,64684.2,64473.3,210.89999999999415,64666.25,64473.3,192.9499999999971,True,True,,,0,,,False,False,False,True,L2,2026-07-15 11:05:00,1.0,TP1,2026-07-15 12:18:00,True,False,0,,,False
BTCUSD#,2026-07-19 03:26:00,-1,64888.0,2026-07-16 18:15:00,2026-07-16 20:15:00,1638,1,64899.7,2026-07-19 03:30:00,64782.3,1,57157,1,-1,True,False,1,1,26,1698.6392857142866,64806.9,22.5,64782.3,64922.2,139.89999999999418,64794.600000000006,64922.2,127.59999999999128,True,True,0.0751189502521924,0.0144821800642942,31,0.1548197972625647,0.0171650395879744,False,False,False,False,NONE,,,NO_TRADE,,False,False,213,0.1842902383051549,0.015064475623302,False
BTCUSD#,2026-07-19 05:07:00,-1,64899.7,2026-07-19 03:15:00,2026-07-19 05:00:00,1660,1,64961.6,2026-07-19 06:05:00,64779.6,1,57188,1,"-1,1,-1,1,-1",False,False,1,1,29,1698.6392857142866,64812.1,22.5,64779.6,64984.1,204.5,64795.85,64984.1,188.25,True,True,,,0,,,False,False,False,False,NONE,,,NO_TRADE,,False,False,0,,,False
BTCUSD#,2026-07-20 18:54:00,-1,65583.6,2026-07-15 18:45:00,2026-07-15 19:45:00,1630,2,65649.7,2026-07-20 20:35:00,65416.1,1,57650,1,"-1,1,-1,1,-1",False,False,1,1,2,1674.971428571429,65424.0,22.5,65416.1,65672.2,256.09999999999854,65420.05,65672.2,252.14999999999415,True,True,,,0,,,False,False,False,False,NONE,,,NO_TRADE,,False,False,0,,,False
BTCUSD#,2026-07-25 18:16:00,-1,64252.1,2026-07-25 16:45:00,2026-07-25 17:15:00,1712,1,64264.4,2026-07-25 19:00:00,64168.1,1,59065,1,-1,True,False,1,1,3,1548.792857142857,64174.0,22.5,64168.1,64286.9,118.80000000000292,64171.05,64286.9,115.84999999999854,True,True,0.0748001900097301,0.0038094183949721,32,0.1528980172933075,0.0164394865952704,False,False,False,False,NONE,,,NO_TRADE,,False,False,213,0.1842902383051549,0.015064475623302,False
BTCUSD#,2026-07-31 17:10:00,1,62519.9,2026-07-17 16:45:00,2026-07-17 17:15:00,1645,2,62438.1,2026-07-31 18:40:00,62716.6,-1,60789,-1,"1,-1,1",False,True,-1,-1,8,1457.3499999999997,62701.7,22.5,62739.1,62438.1,301.0,62731.65,62438.1,293.54999999999563,True,True,,,0,,,False,False,False,False,NONE,,,NO_TRADE,,False,False,0,,,False
BTCUSD#,2026-08-03 20:24:00,-1,63996.7,2026-07-31 14:00:00,2026-07-31 15:15:00,1774,1,64053.1,2026-08-03 21:30:00,63841.4,1,61681,1,"-1,1,-1",False,True,1,1,5,1559.7071428571423,63857.5,22.5,63841.4,64075.6,234.1999999999971,63849.45,64075.6,226.15000000000143,True,True,,,0,,,False,False,False,False,NONE,,,NO_TRADE,,False,False,0,,,False
BTCUSD#,2026-08-06 11:53:00,-1,64988.2,2026-08-06 08:15:00,2026-08-06 09:15:00,1822,1,64988.7,2026-08-06 12:30:00,64724.3,1,62437,1,-1,True,False,1,1,57,1483.357142857143,64742.4,22.5,64724.3,65011.2,286.8999999999942,64733.350000000006,65011.2,277.84999999999127,True,True,0.1873116001348234,0.0122020513314383,33,0.1509762373240504,0.0157139336025664,False,False,False,False,NONE,,,NO_TRADE,,False,False,213,0.1842902383051549,0.015064475623302,False
BTCUSD#,2026-08-07 07:53:00,1,64156.9,2026-08-06 16:30:00,2026-08-06 17:00:00,1825,1,64150.9,2026-08-07 08:45:00,64263.4,-1,62680,-1,"1,-1,1",False,True,-1,-1,12,1423.921428571428,64248.0,22.5,64285.9,64150.9,135.0,64278.2,64150.9,127.29999999999563,True,True,,,0,,,False,False,False,False,NONE,,,NO_TRADE,,False,False,0,,,False
BTCUSD#,2026-08-10 04:50:00,-1,65311.7,2026-08-10 03:00:00,2026-08-10 03:30:00,1852,1,65378.7,2026-08-10 06:55:00,64976.2,1,63516,1,"-1,1,-1,1,-1",False,False,1,1,2,1336.342857142857,64992.0,22.5,64976.2,65401.2,425.0,64984.1,65401.2,417.09999999999854,True,True,,,0,,,False,False,False,False,NONE,,,NO_TRADE,,False,False,0,,,False
BTCUSD#,2026-08-11 18:42:00,1,63444.8,2026-08-04 13:15:00,2026-08-04 13:45:00,1807,1,63434.35,2026-08-11 20:55:00,63591.95,-1,63972,-1,"1,-1,1,-1,1,-1,1",False,False,-1,-1,29,1360.1571428571422,63589.45,15.0,63606.95,63434.35,172.59999999999854,63605.7,63434.35,171.34999999999854,True,True,,,0,,,False,False,False,False,NONE,,,NO_TRADE,,False,False,0,,,False
BTCUSD#,2026-08-13 14:35:00,1,63363.45,2026-08-13 05:30:00,2026-08-13 07:00:00,1877,2,63340.75,2026-08-13 15:10:00,63535.85,-1,64479,-1,"1,-1,1",False,True,1,-1,4,1278.0071428571423,63495.55,15.0,63550.85,63340.75,210.09999999999852,63530.7,63340.75,189.9499999999971,True,True,,,0,,,False,False,False,False,NONE,,,NO_TRADE,,False,False,0,,,False
