market,sweep_time,dir,liq_price,liq_pivot_at,liq_available_at,liq_id,n_levels,sweep_extreme,trigger_time,trigger_close,pre_m5_owner,trigger_m5_index,m1_owner_at_sweep,m1_path,m1_direct_transfer,m1_one_reneg,d14,d24,d24_age,d1_atr,broken_m5_level,trigger_spread,parent_entry,parent_sl,parent_risk,limit_entry,planned_sl,planned_risk,improved,geom,scale,acceptance,menv_n_prior,med_scale,med_accept,menv_hh,h_auth,l1_auth,l2_auth,module,prospective_fill_time,pnl_R,outcome,resolved_at,accepted,exposure_blocked,menv_n_prior_carry,med_scale_carry,med_accept_carry,menv_hh_carry
BTCUSD#,2026-05-08 15:30:00,-1,80377.4,2026-05-07 23:00:00,2026-05-08 00:00:00,1046,1,80494.2,2026-05-08 15:50:00,80086.7,1,36646,1,-1,True,False,1,-1,28,1851.5142857142853,80169.3,22.5,80086.7,80516.7,430.0,80128.0,80516.7,388.6999999999971,True,True,0.209936268382635,0.0446121321543787,15,,,False,True,False,False,H,2026-05-08 15:56:00,-1.0,SL,2026-05-09 06:23:00,True,False,213,0.1842902383051549,0.015064475623302,True
BTCUSD#,2026-05-09 13:09:00,1,80162.5,2026-05-09 10:45:00,2026-05-09 11:15:00,1061,1,80151.8,2026-05-09 13:35:00,80241.9,-1,36901,-1,1,True,False,1,1,15,1858.4285714285704,80240.8,22.5,80264.4,80151.8,112.59999999999128,80263.85,80151.8,112.05000000000292,True,True,0.0602928741640418,0.0005918979168221,17,,,False,False,True,False,L1,2026-05-09 13:35:00,1.0,TP1,2026-05-09 15:24:00,True,False,213,0.1842902383051549,0.015064475623302,False
GOLD#,2026-05-19 08:24:00,1,4531.68,2026-05-18 18:00:00,2026-05-18 22:15:00,707,1,4530.88,2026-05-19 09:20:00,4549.98,-1,26449,-1,"1,-1,1",False,True,-1,1,9,105.04857142857152,4543.43,0.27,4550.25,4530.88,19.36999999999989,4546.975,4530.88,16.095000000000255,True,True,,,0,,,False,False,False,True,L2,2026-05-19 09:20:00,-0.5482705214248813,TIME,2026-05-19 13:20:00,True,False,0,,,False
GOLD#,2026-05-26 13:50:00,-1,4538.93,2026-05-26 10:45:00,2026-05-26 11:30:00,744,1,4540.47,2026-05-26 14:20:00,4529.96,1,27858,1,"-1,1,-1",False,True,-1,-1,10,99.0292857142857,4531.37,0.27,4529.96,4540.740000000001,10.780000000000657,4530.665,4540.740000000001,10.075000000000728,True,True,,,0,,,False,False,False,True,L2,2026-05-26 14:20:00,1.0,TP1,2026-05-26 14:30:00,True,False,0,,,False
BTCUSD#,2026-05-31 01:40:00,1,73798.9,2026-05-30 20:30:00,2026-05-30 21:45:00,1231,1,73783.5,2026-05-31 02:05:00,73978.5,-1,43081,-1,1,True,False,1,1,6,1791.94285714286,73920.2,22.5,74001.0,73783.5,217.5,73971.85,73783.5,188.35000000000585,True,True,0.1051093784878375,0.0325345195956519,21,0.1509762373240504,0.0157139336025664,False,False,True,False,L1,2026-05-31 02:05:00,-1.0,SL,2026-05-31 02:36:00,True,False,213,0.1842902383051549,0.015064475623302,False
GOLD#,2026-06-02 03:32:00,-1,4495.45,2026-06-01 20:45:00,2026-06-01 23:00:00,780,1,4497.09,2026-06-02 04:55:00,4473.6,1,29125,1,"-1,1,-1",False,True,-1,-1,18,100.83785714285692,4473.66,0.3,4473.6,4497.39,23.789999999999964,4473.63,4497.39,23.76000000000022,True,True,,,0,,,False,False,False,True,L2,2026-06-02 04:55:00,-1.0,SL,2026-06-02 06:29:00,True,False,0,,,False
USDJPY#,2026-06-03 11:31:00,1,159.429,2026-06-01 15:30:00,2026-06-01 16:00:00,848,2,159.362,2026-06-03 11:45:00,159.805,-1,31148,-1,1,True,False,-1,1,64,0.5453571428571463,159.745,0.008,159.81300000000002,159.362,0.4510000000000218,159.78300000000002,159.362,0.4210000000000207,True,True,0.7719711853307468,0.1100196463654258,10,,,False,True,False,False,H,2026-06-03 11:46:00,4.5,TP5,2026-06-22 16:52:00,True,False,115,0.1669464893021746,0.0185905340035986,True
USDJPY#,2026-06-17 00:00:00,1,160.327,2026-06-16 19:15:00,2026-06-16 20:30:00,946,1,160.288,2026-06-17 00:40:00,160.424,-1,33895,-1,"1,-1,1",False,True,1,1,18,0.5433571428571408,160.389,0.06,160.484,160.288,0.1959999999999979,160.4665,160.288,0.1784999999999854,True,True,,,0,,,False,False,False,True,L2,2026-06-17 00:40:00,-0.8112244897960303,TIME,2026-06-17 04:40:00,True,False,0,,,False
USDJPY#,2026-06-22 17:51:00,1,161.126,2026-06-19 18:00:00,2026-06-19 18:30:00,972,1,161.066,2026-06-22 18:30:00,161.405,-1,34973,-1,1,True,False,-1,1,17,0.6260714285714276,161.356,0.011,161.416,161.066,0.3499999999999943,161.39149999999998,161.066,0.3254999999999768,True,True,0.5199087278950009,0.0782658300057151,14,,,False,True,False,False,H,2026-06-22 18:35:00,0.75,BE3,2026-07-02 09:50:00,True,False,115,0.1669464893021746,0.0185905340035986,True
BTCUSD#,2026-06-24 04:31:00,-1,63083.5,2026-06-23 10:15:00,2026-06-23 11:30:00,1422,1,63104.8,2026-06-24 05:25:00,62687.2,1,50015,1,-1,True,False,1,-1,22,1899.0464285714263,62761.8,22.5,62687.2,63127.3,440.1000000000058,62724.5,63127.3,402.8000000000029,True,True,0.2121064519223011,0.0392828731713127,25,0.1445264593322438,0.0134970843055846,True,True,False,False,H,2026-06-24 05:28:00,-1.0,SL,2026-06-24 14:49:00,True,False,213,0.1842902383051549,0.015064475623302,True
USDJPY#,2026-06-25 00:00:00,1,161.683,2026-06-24 19:30:00,2026-06-24 20:15:00,1004,1,161.658,2026-06-25 00:45:00,161.749,-1,35624,-1,1,True,False,1,1,15,0.6351428571428569,161.745,0.052,161.801,161.658,0.1430000000000006,161.799,161.658,0.1410000000000195,True,True,0.2219973009447002,0.0062977957714653,17,,,False,False,True,False,L1,2026-06-25 00:45:00,-1.0,SL,2026-06-25 04:21:00,True,False,115,0.1669464893021746,0.0185905340035986,False
USDJPY#,2026-07-10 03:26:00,-1,162.417,2026-07-10 01:00:00,2026-07-10 02:15:00,1091,1,162.418,2026-07-10 03:45:00,162.305,1,38828,1,-1,True,False,-1,-1,13,0.7115000000000029,162.321,0.011,162.305,162.429,0.1239999999999952,162.313,162.429,0.1160000000000138,True,True,0.1630358397751418,0.0224877020379354,21,0.2219973009447002,0.0189996122528247,False,False,True,False,L1,2026-07-10 03:45:00,1.0,TP1,2026-07-10 03:47:00,True,False,115,0.1669464893021746,0.0185905340035986,False
USDJPY#,2026-07-14 00:00:00,1,162.35,2026-07-13 22:00:00,2026-07-13 23:00:00,1108,1,162.255,2026-07-14 00:30:00,162.452,-1,39365,-1,1,True,False,1,1,21,0.7573571428571435,162.39,0.037,162.489,162.255,0.2340000000000088,162.458,162.255,0.2030000000000029,True,True,0.2680373479204035,0.0818636235027977,23,0.2178496134925819,0.0224877020379354,True,True,False,False,H,2026-07-14 01:00:00,-1.0,SL,2026-07-14 03:45:00,True,False,115,0.1669464893021746,0.0185905340035986,True
USDJPY#,2026-07-14 03:45:00,1,162.255,2026-07-14 00:00:00,2026-07-14 00:30:00,1110,1,162.227,2026-07-14 04:30:00,162.385,-1,39413,-1,1,True,False,1,1,25,0.7573571428571435,162.382,0.011,162.396,162.227,0.1689999999999827,162.3945,162.227,0.1674999999999897,True,True,0.2211638215599221,0.0039611430726966,24,0.2199234572186411,0.0249034127121584,False,False,True,False,L1,2026-07-14 04:30:00,-1.0,SL,2026-07-14 06:39:00,True,False,115,0.1669464893021746,0.0185905340035986,False
USDJPY#,2026-07-14 06:39:00,1,162.227,2026-07-14 03:45:00,2026-07-14 04:30:00,1112,1,162.224,2026-07-14 07:30:00,162.311,-1,39449,-1,1,True,False,1,1,28,0.7573571428571435,162.31,0.01,162.321,162.224,0.0970000000000084,162.32049999999998,162.224,0.0964999999999918,True,True,0.1274167688389969,0.0013203810242447,25,0.2211638215599221,0.0224877020379354,False,False,True,False,L1,2026-07-14 07:30:00,0.08247422680421737,TIME,2026-07-14 11:30:00,True,False,115,0.1669464893021746,0.0185905340035986,False
USDJPY#,2026-07-14 21:41:00,-1,162.277,2026-07-14 12:00:00,2026-07-14 15:30:00,1117,1,162.282,2026-07-14 22:15:00,162.145,1,39626,1,-1,True,False,-1,-1,7,0.7573571428571435,162.157,0.011,162.145,162.293,0.1479999999999961,162.151,162.293,0.1419999999999959,True,True,0.1874941054418505,0.0158445722908616,26,0.219506717526252,0.0207436571453801,False,False,True,False,L1,2026-07-14 22:15:00,-1.0,SL,2026-07-15 00:01:00,True,False,115,0.1669464893021746,0.0185905340035986,False
BTCUSD#,2026-07-15 10:28:00,1,64473.8,2026-07-15 05:30:00,2026-07-15 07:00:00,1621,1,64473.3,2026-07-15 11:05:00,64661.7,-1,56102,-1,"1,-1,1",False,True,-1,1,20,1924.975,64625.8,22.5,64684.2,64473.3,210.89999999999415,64666.25,64473.3,192.9499999999971,True,True,,,0,,,False,False,False,True,L2,2026-07-15 11:05:00,1.0,TP1,2026-07-15 12:18:00,True,False,0,,,False
USDJPY#,2026-07-21 00:00:00,1,162.415,2026-07-20 21:15:00,2026-07-20 21:45:00,1152,1,162.388,2026-07-21 00:30:00,162.485,-1,40805,-1,1,True,False,1,1,8,0.7922857142857131,162.481,0.067,162.55200000000002,162.388,0.1640000000000157,162.55,162.388,0.1620000000000061,True,True,0.2044716913090596,0.00504868373605,27,0.2178496134925819,0.0189996122528247,False,False,True,False,L1,2026-07-21 00:30:00,-0.46341463414643025,TIME,2026-07-21 04:30:00,True,False,115,0.1669464893021746,0.0185905340035986,False
USDJPY#,2026-07-28 00:00:00,1,163.582,2026-07-27 19:30:00,2026-07-27 20:15:00,1188,1,163.578,2026-07-28 01:05:00,163.731,-1,42252,-1,1,True,False,1,1,1,0.6461428571428526,163.698,0.03,163.761,163.578,0.1829999999999927,163.7445,163.578,0.166499999999985,True,True,0.2576829537917097,0.0510722971478909,28,0.2149236419239401,0.0174220922718432,True,True,False,False,H,2026-07-28 01:09:00,-1.0,SL,2026-07-29 06:47:00,True,False,115,0.1669464893021746,0.0185905340035986,True
USDJPY#,2026-08-04 16:40:00,1,157.219,2026-08-04 03:15:00,2026-08-04 04:00:00,1234,1,157.209,2026-08-04 17:25:00,157.461,-1,43888,-1,"1,-1,1",False,True,-1,1,14,1.284714285714281,157.451,0.011,157.472,157.209,0.2630000000000052,157.467,157.209,0.2580000000000098,True,True,,,0,,,False,False,False,True,L2,2026-08-04 17:25:00,0.6730038022813271,TIME,2026-08-04 21:25:00,True,False,0,,,False
USDJPY#,2026-08-14 03:00:00,1,159.419,2026-08-14 00:00:00,2026-08-14 01:30:00,1300,1,159.391,2026-08-14 03:10:00,159.477,-1,46021,-1,1,True,False,1,1,9,1.537857142857143,159.474,0.012,159.489,159.391,0.0980000000000131,159.4875,159.391,0.0965000000000202,True,True,0.0627496516488752,0.0019507663725127,30,0.2149236419239401,0.0174220922718432,False,False,True,False,L1,2026-08-14 03:10:00,-1.0,SL,2026-08-14 03:35:00,True,False,115,0.1669464893021746,0.0185905340035986,False
USDJPY#,2026-08-19 20:51:00,-1,158.596,2026-08-19 15:45:00,2026-08-19 17:45:00,1335,1,158.61,2026-08-19 21:05:00,158.418,1,47100,1,-1,True,False,-1,-1,17,1.5860714285714317,158.443,0.01,158.418,158.62,0.2019999999999981,158.4305,158.62,0.1895000000000095,True,True,0.1194775951362363,0.0157622157171843,33,0.2044716913090596,0.0141050039180349,False,False,True,False,L1,2026-08-19 21:05:00,1.0,TP1,2026-08-19 22:26:00,True,False,115,0.1669464893021746,0.0185905340035986,False
