stage,direction,phase,family,preprocess,recency,score,lift,params
k2,LONG,prune,xgb,top16,expanding,0.1407304556303453,0.2692963530644463,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""min_child_weight"": 25, ""reg_lambda"": 25, ""reg_alpha"": 1, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k2,LONG,prune,xgb,top24,expanding,0.1580073735518974,-0.0215385835660052,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""min_child_weight"": 25, ""reg_lambda"": 25, ""reg_alpha"": 1, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k2,LONG,prune,xgb,top38,expanding,0.1549839768126196,0.0561998383368106,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""min_child_weight"": 25, ""reg_lambda"": 25, ""reg_alpha"": 1, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k2,SHORT,family_preproc,lgb,raw,expanding,0.0827673444488993,-0.0424075601350785,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k2,SHORT,family_preproc,xgb,raw,expanding,0.111826270900947,0.1739827299315071,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k2,SHORT,family_preproc,cat,raw,expanding,0.1115574272239717,0.0895249955615819,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k2,SHORT,family_preproc,lgb,eng,expanding,0.0954253578246122,0.0084880318299193,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k2,SHORT,family_preproc,xgb,eng,expanding,0.1572901637826871,0.1985109359203483,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k2,SHORT,family_preproc,cat,eng,expanding,0.0618069249890146,-0.0292063309963744,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k2,SHORT,family_preproc,lgb,eng_rank,expanding,0.0716465874421015,0.0247136721889707,"{""n_estimators"": 120, ""num_leaves"": 15, ""max_depth"": 4, ""learning_rate"": 0.04, ""min_child_samples"": 60, ""reg_lambda"": 10, ""reg_alpha"": 0.5}"
k2,SHORT,family_preproc,xgb,eng_rank,expanding,0.0929725050573321,0.0845704929095196,"{""n_estimators"": 120, ""max_depth"": 3, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k2,SHORT,family_preproc,cat,eng_rank,expanding,0.0808734439365975,0.0532780267499003,"{""iterations"": 120, ""depth"": 5, ""learning_rate"": 0.04, ""l2_leaf_reg"": 15, ""random_strength"": 0.2}"
k2,SHORT,hparam,xgb,eng,expanding,0.1249214236234467,0.2702810162450323,"{""n_estimators"": 140, ""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 15, ""reg_lambda"": 15, ""reg_alpha"": 0.5, ""subsample"": 0.9, ""colsample_bytree"": 0.9}"
k2,SHORT,hparam,xgb,eng,expanding,0.1347505160356126,0.148637801444807,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""min_child_weight"": 25, ""reg_lambda"": 25, ""reg_alpha"": 1, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
k2,SHORT,recency,xgb,eng,expanding,0.1347505160356126,0.148637801444807,"{""n_estimators"": 200, ""max_depth"": 3, ""learning_rate"": 0.03, ""min_child_weight"": 25, ""reg_lambda"": 25, ""reg_alpha"": 1, ""subsample"": 0.85, ""colsample_bytree"": 0.85}"
