idx,year,stage,direction,mean,q10,q50,q90,R,pnl,rid,L,decision,source,score,prior_q50,prior_q75,w
5681,2025,k2,LONG,-0.19019434,-1.0,-0.5415946508493893,2.550524628461848,-1.0,-6.253186127763001,1864,2,2025-12-03 08:00:00,q50,-0.5415946508493893,-0.3411000767669566,-0.1696042543093169,0
5682,2025,k1,SHORT,0.1656603613945942,-1.0,-0.2710617948713474,1.4624245040774266,-1.0,-26.72000000000025,1865,1,2025-12-03 12:00:00,q50,-0.2710617948713474,-0.2999698855817012,-0.1470111604626776,1
5683,2025,k1,LONG,0.12300284,-0.9997368431868782,-0.0620988509148984,1.2842384976395482,-1.0,-40.07999999999993,1866,2,2025-12-03 16:00:00,q10,-0.9997368431868782,-1.0,-0.9310255853465544,1
5684,2025,k2,LONG,-0.71621567,-1.0,-0.7516364791485135,0.8533337892919951,-0.440533980582494,-7.259999999999309,1866,2,2025-12-03 20:00:00,q50,-0.7516364791485135,-0.3411000767669566,-0.1696042543093169,0
5685,2025,k1,SHORT,0.0023400197796732,-1.0,-0.2479289141059318,0.9314252269591315,0.1468475658419938,5.520000000000437,1867,4,2025-12-04 00:00:00,q50,-0.2479289141059318,-0.2999698855817012,-0.1470111604626776,1
5686,2025,k2,SHORT,-0.37098807,-1.0,-0.9790639512290668,1.4602794470615013,1.397629892322394,10.909999999999854,1867,4,2025-12-04 04:00:00,q10,-1.0,-0.980660795244496,-0.671987786463027,0
5687,2025,k3p,SHORT,-0.1802333855800059,-0.81788932516672,-0.2572673877624227,0.5524201185156815,-0.4833938040747905,-17.31999999999971,1867,4,2025-12-04 08:00:00,q50,-0.2572673877624227,-0.2177506421320177,-0.1441166082294997,0
5688,2025,k3p,SHORT,-0.3444368023116294,-1.0,-0.9796748872973378,0.8122669047645392,0.1479856871248992,1.4700000000002549,1867,4,2025-12-04 12:00:00,q50,-0.9796748872973378,-0.2177506421320177,-0.1441166082294997,0
5689,2025,k1,LONG,-0.57935137,-1.0,-0.979979126714966,-0.0296271325740355,0.2427480916030801,4.770000000000437,1868,3,2025-12-04 16:00:00,q10,-1.0,-1.0,-0.9310255853465544,1
5690,2025,k2,LONG,0.07994905,-1.0,-0.3855348919008779,1.4411601206681153,-0.4299065420560536,-13.339999999999236,1868,3,2025-12-04 20:00:00,q50,-0.3855348919008779,-0.3411000767669566,-0.1696042543093169,0
5691,2025,k3p,LONG,0.4953085311041114,-1.0,-0.5575012957947194,2.616780017278735,-0.3060011883541092,-5.149999999999636,1868,3,2025-12-05 00:00:00,q50,-0.5575012957947194,-0.2740857038267423,-0.17756805490013175,0
5692,2025,k1,SHORT,-0.1185720612021567,-1.0,-0.8985141377062404,2.097735994785485,-1.0,-14.349999999999454,1869,1,2025-12-05 04:00:00,q50,-0.8985141377062404,-0.2999698855817012,-0.1470111604626776,0
5693,2025,k1,LONG,-0.108057275,-1.0,-0.555284741203165,1.8501314290272088,-0.1186966640806952,-3.0600000000004,1870,3,2025-12-05 08:00:00,q10,-1.0,-1.0,-0.9310255853465544,1
5694,2025,k2,LONG,9.316625e-05,-1.0,-0.3090324594024308,3.4713112802230914,-0.2208036049568188,-5.880000000000109,1870,3,2025-12-05 12:00:00,q50,-0.3090324594024308,-0.3411000767669566,-0.1696042543093169,1
5695,2025,k3p,LONG,0.1222298827921405,-1.0,-0.4402997374726443,1.987798324933193,-1.0,-26.712961772835115,1870,3,2025-12-05 16:00:00,q50,-0.4402997374726443,-0.2740857038267423,-0.17756805490013175,0
5696,2025,k1,SHORT,-0.2486635593576445,-1.0,-0.3749243176590086,1.3366478720019497,0.0177404295051404,0.3800000000001091,1871,3,2025-12-05 20:00:00,q50,-0.3749243176590086,-0.2999698855817012,-0.1470111604626776,0
5697,2025,k3p,SHORT,-0.1552853688092186,-0.9119759014565236,-0.2168471628529637,1.4392907396068315,-0.670232047088853,-15.789999999999964,1871,3,2025-12-08 04:00:00,q50,-0.2168471628529637,-0.2177506421320177,-0.1441166082294997,1
5698,2025,k1,LONG,-0.24554126,-1.0,-0.8124065412528275,0.6700094821520723,-0.7139524031731509,-15.300000000000182,1872,2,2025-12-08 08:00:00,q10,-1.0,-1.0,-0.9310255853465544,1
5699,2025,k2,LONG,-0.34142753,-1.0,-0.8239338056451913,0.730027191907218,-1.0,-9.399999999999636,1872,2,2025-12-08 12:00:00,q50,-0.8239338056451913,-0.3411000767669566,-0.1696042543093169,0
5700,2025,k1,SHORT,-0.1651825475043629,-1.0,-1.0059572708826956,1.2965389178032434,0.3194685153090478,5.529999999999745,1873,3,2025-12-08 16:00:00,q50,-1.0059572708826956,-0.2999698855817012,-0.1470111604626776,0
5701,2025,k2,SHORT,0.2039794,-1.0,-0.4028575191347309,2.525651095677941,-0.0659873847646625,-1.3599999999996726,1873,3,2025-12-08 20:00:00,q10,-1.0,-0.980660795244496,-0.671987786463027,0
5702,2025,k3p,SHORT,-0.0301597751560981,-1.0,-0.3374334553530937,1.7340341616322077,-0.2363098174642259,-4.789999999999964,1873,3,2025-12-09 00:00:00,q50,-0.3374334553530937,-0.2177506421320177,-0.1441166082294997,0
5703,2025,k1,LONG,0.024397401,-1.0,-1.0013383878279498,3.174816134386789,-1.0,-11.960000000000036,1874,1,2025-12-09 04:00:00,q10,-1.0,-1.0,-0.9310255853465544,1
5704,2025,k1,SHORT,0.0941913476334456,-1.0,-0.9094048596946704,1.8018633516442413,-1.0,-17.61999999999989,1875,1,2025-12-09 08:00:00,q50,-0.9094048596946704,-0.2999698855817012,-0.1470111604626776,0
5705,2025,k1,LONG,-0.3571622,-1.0,-0.4931145733570267,1.019706247575222,-0.3452000000000044,-8.63000000000011,1876,6,2025-12-09 12:00:00,q10,-1.0,-1.0,-0.9310255853465544,1
5706,2025,k2,LONG,-0.642575,-1.0,-0.4934208109503608,-0.2184700728617784,-0.2251823660006411,-7.100000000000364,1876,6,2025-12-09 16:00:00,q50,-0.4934208109503608,-0.3411000767669566,-0.1696042543093169,0
