idx,year,head,stage,direction,pred,actual,decision
2722,2023,severe,k1,LONG,0.5702998,1,2023-12-08 04:00:00
2733,2023,severe,k1,LONG,0.30088466,1,2023-12-12 04:00:00
2739,2023,severe,k1,LONG,0.53930706,1,2023-12-13 04:00:00
2741,2023,severe,k1,LONG,0.53511214,0,2023-12-13 12:00:00
2753,2023,severe,k1,LONG,0.43698832,1,2023-12-15 12:00:00
2757,2023,severe,k1,LONG,0.42721415,0,2023-12-18 08:00:00
2764,2023,severe,k1,LONG,0.53131026,0,2023-12-19 12:00:00
2774,2023,severe,k1,LONG,0.3471663,0,2023-12-21 04:00:00
2785,2023,severe,k1,LONG,0.25897956,0,2023-12-26 04:00:00
2790,2023,severe,k1,LONG,0.40742856,0,2023-12-27 00:00:00
2793,2023,severe,k1,LONG,0.5995737,1,2023-12-27 12:00:00
2804,2023,severe,k1,LONG,0.3533381,1,2023-12-29 08:00:00
2815,2024,severe,k1,LONG,0.6159685,1,2024-01-03 08:00:00
2820,2024,severe,k1,LONG,0.26114592,0,2024-01-04 04:00:00
2825,2024,severe,k1,LONG,0.47409025,1,2024-01-05 00:00:00
2830,2024,severe,k1,LONG,0.24333192,0,2024-01-05 20:00:00
2835,2024,severe,k1,LONG,0.24069804,0,2024-01-08 20:00:00
2843,2024,severe,k1,LONG,0.65384144,1,2024-01-10 04:00:00
2845,2024,severe,k1,LONG,0.2779522,1,2024-01-10 12:00:00
2849,2024,severe,k1,LONG,0.33370236,1,2024-01-11 04:00:00
2855,2024,severe,k1,LONG,0.27529418,0,2024-01-12 04:00:00
2860,2024,severe,k1,LONG,0.38401395,0,2024-01-15 04:00:00
2864,2024,severe,k1,LONG,0.54427075,1,2024-01-16 00:00:00
2871,2024,severe,k1,LONG,0.60583264,1,2024-01-17 04:00:00
2877,2024,severe,k1,LONG,0.31814766,0,2024-01-18 04:00:00
2891,2024,severe,k1,LONG,0.54899067,1,2024-01-22 16:00:00
2894,2024,severe,k1,LONG,0.64517313,0,2024-01-23 04:00:00
2899,2024,severe,k1,LONG,0.46789685,1,2024-01-24 00:00:00
2902,2024,severe,k1,LONG,0.35642695,1,2024-01-24 12:00:00
2908,2024,severe,k1,LONG,0.67928684,1,2024-01-25 12:00:00
2911,2024,severe,k1,LONG,0.3610238,0,2024-01-26 00:00:00
2915,2024,severe,k1,LONG,0.55079937,1,2024-01-26 16:00:00
2917,2024,severe,k1,LONG,0.40698612,0,2024-01-29 04:00:00
2922,2024,severe,k1,LONG,0.22027972,0,2024-01-30 00:00:00
2929,2024,severe,k1,LONG,0.5987118,0,2024-01-31 04:00:00
2931,2024,severe,k1,LONG,0.6139689,1,2024-01-31 12:00:00
2936,2024,severe,k1,LONG,0.4689151,1,2024-02-01 08:00:00
2939,2024,severe,k1,LONG,0.23708822,0,2024-02-01 20:00:00
2950,2024,severe,k1,LONG,0.26246,0,2024-02-05 20:00:00
2955,2024,severe,k1,LONG,0.5943836,0,2024-02-06 16:00:00
2961,2024,severe,k1,LONG,0.6734056,0,2024-02-07 16:00:00
2964,2024,severe,k1,LONG,0.62404096,1,2024-02-08 04:00:00
2969,2024,severe,k1,LONG,0.29085597,0,2024-02-09 00:00:00
2980,2024,severe,k1,LONG,0.28183493,1,2024-02-13 00:00:00
2991,2024,severe,k1,LONG,0.49204236,0,2024-02-14 20:00:00
2995,2024,severe,k1,LONG,0.6625047,0,2024-02-15 12:00:00
3003,2024,severe,k1,LONG,0.26510993,0,2024-02-16 20:00:00
3009,2024,severe,k1,LONG,0.6912204,0,2024-02-20 00:00:00
3011,2024,severe,k1,LONG,0.67817616,0,2024-02-20 08:00:00
3017,2024,severe,k1,LONG,0.25653303,1,2024-02-21 08:00:00
3022,2024,severe,k1,LONG,0.49964276,0,2024-02-22 04:00:00
3028,2024,severe,k1,LONG,0.43306145,1,2024-02-23 04:00:00
3031,2024,severe,k1,LONG,0.30360973,0,2024-02-23 16:00:00
3035,2024,severe,k1,LONG,0.53252137,0,2024-02-26 12:00:00
3038,2024,severe,k1,LONG,0.597639,0,2024-02-27 00:00:00
3048,2024,severe,k1,LONG,0.24813117,0,2024-02-28 16:00:00
3054,2024,severe,k1,LONG,0.20677432,0,2024-02-29 16:00:00
3058,2024,severe,k1,LONG,0.5817939,1,2024-03-01 08:00:00
3076,2024,severe,k1,LONG,0.5901955,0,2024-03-06 12:00:00
3085,2024,severe,k1,LONG,0.25655627,0,2024-03-08 00:00:00
3088,2024,severe,k1,LONG,0.28908545,0,2024-03-08 12:00:00
3093,2024,severe,k1,LONG,0.5716752,1,2024-03-11 12:00:00
3103,2024,severe,k1,LONG,0.2627434,0,2024-03-13 04:00:00
3114,2024,severe,k1,LONG,0.2690939,0,2024-03-15 00:00:00
3122,2024,severe,k1,LONG,0.33641663,0,2024-03-18 12:00:00
3130,2024,severe,k1,LONG,0.5195109,0,2024-03-19 20:00:00
3136,2024,severe,k1,LONG,0.31661668,0,2024-03-20 20:00:00
3147,2024,severe,k1,LONG,0.24142553,1,2024-03-22 16:00:00
3149,2024,severe,k1,LONG,0.26631466,0,2024-03-25 04:00:00
3152,2024,severe,k1,LONG,0.31954864,0,2024-03-25 16:00:00
3156,2024,severe,k1,LONG,0.57325965,0,2024-03-26 08:00:00
3162,2024,severe,k1,LONG,0.5782813,0,2024-03-27 08:00:00
3168,2024,severe,k1,LONG,0.30252582,0,2024-03-28 08:00:00
3178,2024,severe,k1,LONG,0.24506378,0,2024-04-02 04:00:00
3188,2024,severe,k1,LONG,0.2871429,0,2024-04-03 20:00:00
3195,2024,severe,k1,LONG,0.5390992,1,2024-04-05 00:00:00
3198,2024,severe,k1,LONG,0.22460465,0,2024-04-05 12:00:00
3202,2024,severe,k1,LONG,0.23708822,0,2024-04-08 08:00:00
3206,2024,severe,k1,LONG,0.23251429,0,2024-04-09 00:00:00
3213,2024,severe,k1,LONG,0.29207543,1,2024-04-10 04:00:00
3220,2024,severe,k1,LONG,0.2517295,1,2024-04-11 08:00:00
3222,2024,severe,k1,LONG,0.24604896,0,2024-04-11 16:00:00
3233,2024,severe,k1,LONG,0.2201249,1,2024-04-15 16:00:00
3235,2024,severe,k1,LONG,0.25292894,0,2024-04-16 00:00:00
3240,2024,severe,k1,LONG,0.27925953,0,2024-04-16 20:00:00
3244,2024,severe,k1,LONG,0.21599162,1,2024-04-17 12:00:00
3249,2024,severe,k1,LONG,0.24142313,0,2024-04-18 08:00:00
3255,2024,severe,k1,LONG,0.33725107,0,2024-04-19 08:00:00
3258,2024,severe,k1,LONG,0.2479742,1,2024-04-19 20:00:00
3269,2024,severe,k1,LONG,0.27587342,0,2024-04-23 20:00:00
3272,2024,severe,k1,LONG,0.64744925,1,2024-04-24 08:00:00
3275,2024,severe,k1,LONG,0.26195616,1,2024-04-24 20:00:00
3279,2024,severe,k1,LONG,0.35838416,0,2024-04-25 12:00:00
3290,2024,severe,k1,LONG,0.32673824,0,2024-04-29 12:00:00
3303,2024,severe,k1,LONG,0.33741713,0,2024-05-01 16:00:00
3311,2024,severe,k1,LONG,0.25152665,0,2024-05-03 00:00:00
3315,2024,severe,k1,LONG,0.649793,1,2024-05-03 16:00:00
3318,2024,severe,k1,LONG,0.35668162,0,2024-05-06 08:00:00
3329,2024,severe,k1,LONG,0.6540638,1,2024-05-08 04:00:00
3333,2024,severe,k1,LONG,0.4888938,1,2024-05-08 20:00:00
3336,2024,severe,k1,LONG,0.6456128,1,2024-05-09 08:00:00
3353,2024,severe,k1,LONG,0.57300854,0,2024-05-14 08:00:00
3372,2024,severe,k1,LONG,0.41041794,0,2024-05-17 12:00:00
3380,2024,severe,k1,LONG,0.2289689,1,2024-05-21 00:00:00
3384,2024,severe,k1,LONG,0.2674887,0,2024-05-21 16:00:00
3400,2024,severe,k1,LONG,0.63757133,0,2024-05-24 08:00:00
3404,2024,severe,k1,LONG,0.6463477,0,2024-05-27 04:00:00
3413,2024,severe,k1,LONG,0.27995256,0,2024-05-28 16:00:00
3425,2024,severe,k1,LONG,0.30383673,0,2024-05-30 16:00:00
3431,2024,severe,k1,LONG,0.29866698,1,2024-05-31 16:00:00
3436,2024,severe,k1,LONG,0.34297723,0,2024-06-03 16:00:00
3445,2024,severe,k1,LONG,0.69770557,0,2024-06-05 04:00:00
3455,2024,severe,k1,LONG,0.29224643,1,2024-06-06 20:00:00
3465,2024,severe,k1,LONG,0.31652787,0,2024-06-10 16:00:00
