pb,phase,year,feature,n,base,raw_auc,abs_auc,sign
0.5,0,2026,prog1,95,0.5157894736842106,0.5851818988464952,0.5851818988464952,+
0.5,0,2026,prog3,95,0.5157894736842106,0.6073646850044365,0.6073646850044365,+
0.5,0,2026,prog5,95,0.5157894736842106,0.5470275066548357,0.5470275066548357,+
0.5,0,2026,retest_accept_eff,95,0.5157894736842106,0.46206743566992015,0.5379325643300799,-
0.5,0,2026,run_accept,95,0.5157894736842106,0.4775953859804791,0.5224046140195209,-
0.5,0,2026,atr1_s,95,0.5157894736842106,0.6109139307897071,0.6109139307897071,+
0.5,0,2026,tv5_60,95,0.5157894736842106,0.6157941437444543,0.6157941437444543,+
0.5,2,2024,t_reveal_retest,174,0.46551724137931033,0.4609717244125846,0.5390282755874154,-
0.5,2,2024,t_retest_accept,174,0.46551724137931033,0.5189831408469401,0.5189831408469401,+
0.5,2,2024,accept_eff,174,0.46551724137931033,0.589804858622063,0.589804858622063,+
0.5,2,2024,accept_flip,174,0.46551724137931033,0.45207752555422803,0.547922474445772,-
0.5,2,2024,prog1,174,0.46551724137931033,0.5825036506040091,0.5825036506040091,+
0.5,2,2024,prog3,174,0.46551724137931033,0.6215319261914243,0.6215319261914243,+
0.5,2,2024,prog5,174,0.46551724137931033,0.5898048586220628,0.5898048586220628,+
0.5,2,2024,retest_accept_eff,174,0.46551724137931033,0.49754413912120005,0.5024558608787999,-
0.5,2,2024,run_accept,174,0.46551724137931033,0.5088278242400106,0.5088278242400106,+
0.5,2,2024,atr1_s,174,0.46551724137931033,0.46356033452807643,0.5364396654719236,-
0.5,2,2024,tv5_60,174,0.46551724137931033,0.4943581574405947,0.5056418425594054,-
0.5,2,2025,t_reveal_retest,135,0.5185185185185185,0.4223076923076923,0.5776923076923077,-
0.5,2,2025,t_retest_accept,135,0.5185185185185185,0.5298901098901099,0.5298901098901099,+
0.5,2,2025,accept_eff,135,0.5185185185185185,0.5542857142857143,0.5542857142857143,+
0.5,2,2025,accept_flip,135,0.5185185185185185,0.46505494505494505,0.534945054945055,-
0.5,2,2025,prog1,135,0.5185185185185185,0.6151648351648351,0.6151648351648351,+
0.5,2,2025,prog3,135,0.5185185185185185,0.5384615384615384,0.5384615384615384,+
0.5,2,2025,prog5,135,0.5185185185185185,0.5621978021978022,0.5621978021978022,+
0.5,2,2025,retest_accept_eff,135,0.5185185185185185,0.5505494505494506,0.5505494505494506,+
0.5,2,2025,run_accept,135,0.5185185185185185,0.5501098901098901,0.5501098901098901,+
0.5,2,2025,atr1_s,135,0.5185185185185185,0.5520879120879121,0.5520879120879121,+
0.5,2,2025,tv5_60,135,0.5185185185185185,0.5514285714285715,0.5514285714285715,+
0.5,2,2026,t_reveal_retest,84,0.5238095238095238,0.4269886363636363,0.5730113636363636,-
0.5,2,2026,t_retest_accept,84,0.5238095238095238,0.5423295454545456,0.5423295454545456,+
0.5,2,2026,accept_eff,84,0.5238095238095238,0.5397727272727273,0.5397727272727273,+
0.5,2,2026,accept_flip,84,0.5238095238095238,0.5355113636363636,0.5355113636363636,+
0.5,2,2026,prog1,84,0.5238095238095238,0.5539772727272727,0.5539772727272727,+
0.5,2,2026,prog3,84,0.5238095238095238,0.6284090909090908,0.6284090909090908,+
0.5,2,2026,prog5,84,0.5238095238095238,0.5539772727272727,0.5539772727272727,+
0.5,2,2026,retest_accept_eff,84,0.5238095238095238,0.45454545454545453,0.5454545454545454,-
0.5,2,2026,run_accept,84,0.5238095238095238,0.49772727272727274,0.5022727272727272,-
0.5,2,2026,atr1_s,84,0.5238095238095238,0.5994318181818182,0.5994318181818182,+
0.5,2,2026,tv5_60,84,0.5238095238095238,0.6210227272727273,0.6210227272727273,+
