universe,policy,sl_arm,block,n,resolved,wins,losses,wr,total_R,mean_R,PF,maxDD,avg_win_R,med_win_R,avg_loss_R,payoff,amb,cens,position_mode
CONTROL,FIRST_TARGET,FIXED_15,COMBINED_2024_2025H1_2026JF,452.0,437.0,219.0,218.0,0.5011441647597255,-28.85400000000009,-0.06602745995423362,0.8676422018348621,38.3426666666666,0.8636803652968034,0.5406666666666752,-1.0,0.8636803652968034,0.0,15.0,INDEPENDENT
CONTROL,FIRST_TARGET,FIXED_20,COMBINED_2024_2025H1_2026JF,452.0,434.0,235.0,199.0,0.5414746543778802,-47.7765000000001,-0.11008410138248871,0.7599170854271352,50.038999999999966,0.6435042553191486,0.4055000000000063,-1.0,0.6435042553191486,0.0,18.0,INDEPENDENT
CONTROL,FIRST_TARGET,FIXED_25,COMBINED_2024_2025H1_2026JF,452.0,432.0,252.0,180.0,0.5833333333333334,-45.347600000000085,-0.10497129629629649,0.7480688888888885,46.988399999999984,0.5343349206349203,0.33639999999999415,-1.0,0.5343349206349203,0.0,20.0,INDEPENDENT
CONTROL,FIRST_TARGET,FIXED_30,COMBINED_2024_2025H1_2026JF,452.0,429.0,262.0,167.0,0.6107226107226107,-45.29000000000008,-0.10557109557109576,0.7288023952095803,50.02200000000001,0.46454198473282415,0.28883333333333217,-1.0,0.46454198473282415,0.0,23.0,INDEPENDENT
CONTROL,FIRST_TARGET,FIXED_40,COMBINED_2024_2025H1_2026JF,452.0,421.0,278.0,143.0,0.6603325415676959,-36.01425000000003,-0.08554453681710221,0.7481520979020976,36.22975000000003,0.38484082733812935,0.2317499999999995,-1.0,0.38484082733812935,0.0,31.0,INDEPENDENT
CONTROL,FIRST_TARGET,FIXED_50,COMBINED_2024_2025H1_2026JF,452.0,418.0,298.0,120.0,0.7129186602870813,-23.12620000000002,-0.05532583732057421,0.8072816666666665,23.098600000000012,0.32507986577181197,0.1993999999999982,-1.0,0.32507986577181197,0.0,34.0,INDEPENDENT
CONTROL,FIRST_TARGET,H1_STRUCT,COMBINED_2024_2025H1_2026JF,452.0,425.0,257.0,168.0,0.6047058823529412,-29.53635754612842,-0.06949731187324334,0.8241883479397116,32.59943008142214,0.5387690367854925,0.3590335549098422,-1.0,0.5387690367854925,0.0,25.0,INDEPENDENT
CONTROL,FLIP_EXIT,FIXED_10,COMBINED_2024_2025H1_2026JF,452.0,441.0,92.0,349.0,0.20861678004535147,315.32299999999975,0.7150181405895686,1.9190357386433186,59.25100000000009,7.156793478260868,4.462000000000012,-0.9831002865329512,7.279820356375198,6.0,5.0,INDEPENDENT
CONTROL,FLIP_EXIT,FIXED_15,COMBINED_2024_2025H1_2026JF,452.0,442.0,115.0,327.0,0.26018099547511314,220.4319999999998,0.4987149321266964,1.7152935068306445,45.616,4.596539130434781,2.813333333333321,-0.9424159021406731,4.877399797683658,3.0,7.0,INDEPENDENT
CONTROL,FLIP_EXIT,FIXED_20,COMBINED_2024_2025H1_2026JF,452.0,429.0,130.0,299.0,0.30303030303030304,186.30499999999984,0.4342773892773889,1.6975351051422636,37.134499999999996,3.4876576923076907,2.231000000000006,-0.8932792642140469,3.904330741827206,12.0,11.0,INDEPENDENT
CONTROL,FLIP_EXIT,FIXED_25,COMBINED_2024_2025H1_2026JF,452.0,432.0,142.0,290.0,0.3287037037037037,148.00599999999991,0.34260648148148126,1.6089989943694563,30.022399999999934,2.753785915492957,1.8261999999999987,-0.8380399999999999,3.285983861740439,8.0,12.0,INDEPENDENT
CONTROL,FLIP_EXIT,FIXED_30,COMBINED_2024_2025H1_2026JF,452.0,425.0,148.0,277.0,0.34823529411764703,123.69399999999996,0.29104470588235287,1.578288581713912,27.705666666666545,2.2810180180180177,1.4873333333333374,-0.7721901323706375,2.9539590346942814,11.0,16.0,INDEPENDENT
CONTROL,FLIP_EXIT,FIXED_40,COMBINED_2024_2025H1_2026JF,452.0,421.0,158.0,263.0,0.3752969121140142,96.46274999999993,0.22912767220902597,1.5655947487848207,23.0,1.6899604430379744,1.101125000000002,-0.6484828897338403,2.60602163880005,9.0,22.0,INDEPENDENT
CONTROL,FLIP_EXIT,FIXED_50,COMBINED_2024_2025H1_2026JF,452.0,421.0,162.0,259.0,0.3847980997624703,74.50759999999994,0.176977672209026,1.5249490957000835,19.567999999999998,1.3360530864197526,0.8619000000000006,-0.548003861003861,2.4380358999155654,6.0,25.0,INDEPENDENT
CONTROL,FLIP_EXIT,H1_STRUCT,COMBINED_2024_2025H1_2026JF,452.0,387.0,137.0,250.0,0.35400516795865633,216.48782568030276,0.5594000663573715,2.0808463052558865,32.50179144530918,3.042208481528669,1.9621805288816474,-0.8011789451564996,3.7971647906129316,40.0,23.0,INDEPENDENT
SAME_NEAREST,CHALLENGE_EXIT,FIXED_10,COMBINED_2024_2025H1_2026JF,328.0,318.0,83.0,235.0,0.2610062893081761,121.15699999999971,0.38099685534591105,1.5376296848513877,43.12000000000003,4.174831325301202,2.3190000000000053,-0.9589531914893621,4.3535298306033265,7.0,3.0,INDEPENDENT
SAME_NEAREST,CHALLENGE_EXIT,FIXED_15,COMBINED_2024_2025H1_2026JF,328.0,318.0,101.0,217.0,0.31761006289308175,89.45133333333311,0.2812935010482173,1.466415459004368,40.753333333333345,2.7845148514851474,1.5686666666666498,-0.8838003072196625,3.1506153921182958,6.0,4.0,INDEPENDENT
SAME_NEAREST,CHALLENGE_EXIT,FIXED_20,COMBINED_2024_2025H1_2026JF,328.0,312.0,109.0,203.0,0.34935897435897434,63.380999999999766,0.20314423076923002,1.3897251429625515,38.18199999999999,2.0734954128440357,1.1764999999999872,-0.801133004926109,2.5882037066183297,9.0,7.0,INDEPENDENT
SAME_NEAREST,CHALLENGE_EXIT,FIXED_25,COMBINED_2024_2025H1_2026JF,328.0,311.0,115.0,196.0,0.36977491961414793,51.41519999999976,0.16532218649517608,1.3642665245927632,34.890400000000014,1.6744556521739118,0.987600000000002,-0.7201387755102048,2.3251846853928835,9.0,8.0,INDEPENDENT
SAME_NEAREST,CHALLENGE_EXIT,FIXED_30,COMBINED_2024_2025H1_2026JF,328.0,316.0,121.0,195.0,0.3829113924050633,41.40433333333315,0.13102637130801628,1.3251904599837665,27.11066666666668,1.3944435261707981,0.8773333333333236,-0.6529401709401714,2.135637518155657,4.0,8.0,INDEPENDENT
SAME_NEAREST,CHALLENGE_EXIT,FIXED_40,COMBINED_2024_2025H1_2026JF,328.0,315.0,130.0,185.0,0.4126984126984127,38.26249999999986,0.12146825396825353,1.3956866151666494,17.82974999999999,1.0381653846153842,0.6473749999999996,-0.5226972972972977,1.986169413891001,4.0,9.0,INDEPENDENT
SAME_NEAREST,CHALLENGE_EXIT,FIXED_50,COMBINED_2024_2025H1_2026JF,328.0,319.0,139.0,180.0,0.43573667711598746,43.74939999999988,0.13714545454545418,1.5666022565972813,9.187200000000026,0.8702374100719421,0.53,-0.4289644444444448,2.028693569694321,0.0,9.0,INDEPENDENT
SAME_NEAREST,CHALLENGE_EXIT,H1_STRUCT,COMBINED_2024_2025H1_2026JF,328.0,292.0,124.0,168.0,0.4246575342465753,120.86450688373762,0.4139195441223891,2.092921943691629,16.657837822406634,1.8665558320631825,1.0606096124249536,-0.6582643826910536,2.835571665646723,27.0,9.0,INDEPENDENT
SAME_NEAREST,FIRST_TARGET,FIXED_10,COMBINED_2024_2025H1_2026JF,328.0,328.0,167.0,161.0,0.5091463414634146,13.445999999999728,0.04099390243902356,1.083515527950309,17.724000000000117,1.044586826347304,0.7309999999999945,-1.0,1.044586826347304,0.0,0.0,INDEPENDENT
SAME_NEAREST,FIRST_TARGET,FIXED_15,COMBINED_2024_2025H1_2026JF,328.0,328.0,201.0,127.0,0.6128048780487805,15.36199999999991,0.04683536585365826,1.120960629921259,17.282000000000032,0.7082686567164175,0.4946666666666715,-1.0,0.7082686567164175,0.0,0.0,INDEPENDENT
SAME_NEAREST,FIRST_TARGET,FIXED_20,COMBINED_2024_2025H1_2026JF,328.0,327.0,216.0,111.0,0.6605504587155964,3.925999999999905,0.01200611620795078,1.0353693693693684,15.148000000000048,0.5320648148148144,0.36875,-1.0,0.5320648148148144,0.0,1.0,INDEPENDENT
SAME_NEAREST,FIRST_TARGET,FIXED_25,COMBINED_2024_2025H1_2026JF,328.0,327.0,232.0,95.0,0.709480122324159,8.638799999999897,0.026418348623852894,1.0909347368421043,12.079200000000041,0.44671896551724094,0.3064000000000032,-1.0,0.44671896551724094,0.0,1.0,INDEPENDENT
SAME_NEAREST,FIRST_TARGET,FIXED_30,COMBINED_2024_2025H1_2026JF,328.0,327.0,241.0,86.0,0.7370030581039755,7.606999999999915,0.023262996941895764,1.088453488372092,10.328333333333337,0.38841078838174237,0.25833333333333336,-1.0,0.38841078838174237,0.0,1.0,INDEPENDENT
SAME_NEAREST,FIRST_TARGET,FIXED_40,COMBINED_2024_2025H1_2026JF,328.0,323.0,254.0,69.0,0.7863777089783281,13.075999999999965,0.0404829721362228,1.189507246376811,5.856250000000001,0.3231338582677164,0.20649999999999408,-1.0,0.3231338582677164,0.0,5.0,INDEPENDENT
