ts,arrival_side,ref,m1_open,m1_high,m1_low,m1_close,idx,before,after,primary,resolution,eligible,topology,d_same,d_opp,nearest_bsl,nearest_ssl,next_side,hit,block
2026-01-30 20:19:00,DOWN,4755.69,4770.53,4771.84,4750.11,4756.43,22,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,96.1899999999996,842.3000000000002,5597.99,4659.5,DOWN,1.0,2026JF
2026-02-02 03:09:00,DOWN,4659.5,4711.74,4712.28,4647.32,4654.85,23,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,122.89000000000033,938.4899999999998,5597.99,4536.61,DOWN,1.0,2026JF
2026-02-02 07:49:00,DOWN,4536.61,4547.38,4555.6,4526.25,4554.86,24,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,128.96000000000004,1061.38,5597.99,4407.65,DOWN,1.0,2026JF
2026-02-02 08:38:00,DOWN,4407.65,4428.47,4428.99,4403.12,4404.56,25,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,97.65999999999985,1190.3400000000001,5597.99,4309.99,UP,0.0,2026JF
2026-02-03 02:24:00,UP,4812.46,4808.57,4820.92,4808.57,4814.67,26,ACTIVE,CHALLENGED,DOWN,CHALLENGE_OPENS,False,,,,,,DOWN,,2026JF
2026-02-04 18:46:00,DOWN,4880.74,4899.18,4900.69,4879.95,4881.39,27,CHALLENGED,ACTIVE,DOWN,OLD_PRIMARY_WINS,True,SAME_NEAREST,477.6199999999999,717.25,5597.99,4403.12,DOWN,1.0,2026JF
2026-02-05 04:47:00,DOWN,4855.2,4876.05,4876.08,4840.35,4841.76,28,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,OPPOSITE_NEAREST,452.0799999999999,236.52000000000044,5091.72,4403.12,DOWN,1.0,2026JF
2026-02-05 23:33:00,DOWN,4789.79,4797.09,4797.4,4787.96,4788.58,29,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,OPPOSITE_NEAREST,386.6700000000001,301.9300000000003,5091.72,4403.12,UP,0.0,2026JF
2026-02-09 17:33:00,UP,5047.32,5042.23,5051.52,5041.48,5049.52,30,ACTIVE,CHALLENGED,DOWN,CHALLENGE_OPENS,False,,,,,,UP,,2026JF
2026-02-11 12:40:00,UP,5078.61,5073.12,5084.73,5073.1,5082.66,31,CHALLENGED,ACTIVE,UP,CHALLENGER_EARNED,True,SAME_NEAREST,7.75,79.64999999999964,5086.36,4998.96,UP,1.0,2026JF
2026-02-11 12:44:00,UP,5091.72,5084.15,5100.29,5083.49,5099.59,32,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,OPPOSITE_NEAREST,506.2699999999995,92.76000000000022,5597.99,4998.96,DOWN,0.0,2026JF
2026-02-12 18:11:00,DOWN,5018.68,5034.0,5035.12,5013.46,5016.53,33,ACTIVE,CHALLENGED,UP,CHALLENGE_OPENS,False,,,,,,DOWN,,2026JF
2026-02-12 18:13:00,DOWN,4987.81,5009.36,5009.66,4985.25,4990.55,34,CHALLENGED,ACTIVE,DOWN,CHALLENGER_EARNED,True,OPPOSITE_NEAREST,332.97000000000025,112.17999999999938,5099.99,4654.84,DOWN,1.0,2026JF
2026-02-17 02:52:00,DOWN,4965.3,4968.86,4969.06,4949.49,4951.19,35,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,31.48999999999978,86.65999999999985,5051.96,4933.81,DOWN,1.0,2026JF
2026-02-17 02:58:00,DOWN,4933.81,4943.67,4943.83,4932.69,4933.52,36,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,SAME_NEAREST,55.18000000000029,118.14999999999964,5051.96,4878.63,DOWN,1.0,2026JF
2026-02-17 07:31:00,DOWN,4878.63,4895.18,4898.41,4876.96,4882.66,37,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,OPPOSITE_NEAREST,223.78999999999996,173.32999999999993,5051.96,4654.84,DOWN,1.0,2026JF
2026-02-17 16:01:00,DOWN,4859.1,4866.04,4866.53,4841.76,4852.88,38,ACTIVE,ACTIVE,DOWN,PRIMARY_CONTINUES,True,OPPOSITE_NEAREST,204.26000000000022,141.89999999999964,5001.0,4654.84,UP,0.0,2026JF
2026-02-18 17:03:00,UP,5001.0,4997.74,5006.91,4997.51,5006.83,39,ACTIVE,CHALLENGED,DOWN,CHALLENGE_OPENS,False,,,,,,UP,,2026JF
2026-02-19 08:45:00,UP,5010.87,5009.19,5016.17,5009.19,5012.41,40,CHALLENGED,ACTIVE,UP,CHALLENGER_EARNED,True,SAME_NEAREST,41.090000000000146,169.10999999999967,5051.96,4841.76,UP,1.0,2026JF
2026-02-20 08:23:00,UP,5022.28,5021.16,5022.64,5021.15,5022.03,41,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,29.68000000000029,58.849999999999454,5051.96,4963.43,UP,1.0,2026JF
2026-02-20 16:34:00,UP,5051.96,5048.51,5052.17,5046.8,5046.8,42,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,31.8100000000004,88.52999999999975,5083.77,4963.43,UP,1.0,2026JF
2026-02-20 22:19:00,UP,5083.77,5082.13,5084.55,5082.0,5083.06,43,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,16.219999999999345,120.34000000000015,5099.99,4963.43,UP,1.0,2026JF
2026-02-20 23:47:00,UP,5099.99,5099.32,5100.5,5098.48,5099.89,44,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,19.100000000000364,136.5599999999995,5119.09,4963.43,UP,1.0,2026JF
2026-02-23 01:04:00,UP,5119.09,5116.41,5120.51,5114.24,5116.94,45,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,OPPOSITE_NEAREST,478.89999999999964,155.65999999999985,5597.99,4963.43,UP,1.0,2026JF
2026-02-23 16:36:00,UP,5176.6,5173.11,5180.42,5172.82,5180.35,46,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,OPPOSITE_NEAREST,421.3899999999994,187.40000000000055,5597.99,4989.2,UP,1.0,2026JF
2026-02-25 18:46:00,UP,5210.59,5209.1,5212.67,5208.89,5212.26,47,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,39.05000000000018,117.09000000000015,5249.64,5093.5,DOWN,0.0,2026JF
2026-02-26 16:30:00,DOWN,5146.15,5170.38,5170.43,5141.52,5145.49,48,ACTIVE,CHALLENGED,UP,CHALLENGE_OPENS,False,,,,,,UP,,2026JF
2026-02-27 15:07:00,UP,5201.02,5196.97,5210.65,5196.76,5209.65,49,CHALLENGED,ACTIVE,UP,OLD_PRIMARY_WINS,True,SAME_NEAREST,16.55999999999949,70.68000000000029,5217.58,5130.34,UP,1.0,2026JF
2026-02-27 15:15:00,UP,5217.58,5212.94,5220.54,5212.76,5219.01,50,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,32.0600000000004,87.23999999999978,5249.64,5130.34,UP,1.0,2026JF
2026-02-27 18:11:00,UP,5249.64,5247.71,5251.49,5246.9,5249.55,51,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,OPPOSITE_NEAREST,348.34999999999945,119.30000000000018,5597.99,5130.34,,,2026JF
