idx,ts,arrival_side,ref,before,after,primary,resolution,eligible,topology,d_same,d_opp,next_side,hit,nearest_bsl,nearest_ssl,m1_open,m1_high,m1_low,m1_close,block,ratio_same_opp
261,2024-09-05 10:46:00,UP,2507.23,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,19.639999999999873,35.38000000000011,UP,True,2526.87,2471.85,2506.46,2507.42,2506.43,2507.41,2024,0.5551158846806052
262,2024-09-06 15:30:00,UP,2523.45,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,3.4200000000000728,51.59999999999991,UP,True,2526.87,2471.85,2514.76,2524.4,2507.41,2522.8,2024,0.06627906976744338
263,2024-09-06 15:31:00,UP,2526.87,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,1.7600000000002183,55.01999999999998,UP,True,2528.63,2471.85,2522.9,2528.08,2522.9,2525.8,2024,0.03198836786623444
264,2024-09-06 15:36:00,UP,2529.0,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,2.6599999999998545,57.15000000000009,UP,True,2531.66,2471.85,2525.21,2529.06,2525.19,2528.54,2024,0.04654418197725022
265,2024-09-12 15:41:00,UP,2529.13,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,2.5299999999997453,28.26000000000022,UP,True,2531.66,2500.87,2526.93,2530.23,2526.52,2527.53,2024,0.08952583156403843
266,2024-09-12 15:45:00,UP,2531.66,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,30.789999999999964,DOWN,False,,2500.87,2527.61,2532.92,2527.21,2532.92,2024,
268,2024-09-18 21:00:00,UP,2586.91,CHALLENGED,ACTIVE,UP,OLD_PRIMARY_WINS,True,SAME_NEAREST,2.680000000000291,21.199999999999818,UP,True,2589.59,2565.71,2567.29,2587.71,2566.38,2579.83,2024,0.12641509433963746
269,2024-09-18 21:07:00,UP,2589.59,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,23.88000000000011,DOWN,False,,2565.71,2588.91,2589.98,2585.02,2585.63,2024,
271,2024-09-18 22:07:00,DOWN,2560.71,CHALLENGED,ACTIVE,DOWN,CHALLENGER_EARNED,True,NO_OPPOSITE_TARGET,59.840000000000146,,UP,False,,2500.87,2563.74,2564.38,2557.62,2559.38,2024,
273,2024-09-20 09:34:00,UP,2600.09,CHALLENGED,ACTIVE,UP,CHALLENGER_EARNED,True,NO_SAME_TARGET,,53.350000000000364,UP,True,,2546.74,2599.72,2600.12,2599.59,2599.88,2024,
274,2024-09-23 05:36:00,UP,2625.68,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,40.899999999999636,UP,True,,2584.78,2624.04,2625.77,2624.01,2624.95,2024,
275,2024-09-24 06:42:00,UP,2634.83,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,21.06999999999971,UP,True,,2613.76,2634.14,2636.09,2634.12,2636.03,2024,
276,2024-09-26 11:07:00,UP,2667.42,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,SAME_NEAREST,3.0799999999999272,17.690000000000055,UP,True,2670.5,2649.73,2666.67,2667.72,2666.67,2667.35,2024,0.17410966647823164
277,2024-09-26 13:20:00,UP,2670.5,ACTIVE,ACTIVE,UP,PRIMARY_CONTINUES,True,NO_SAME_TARGET,,20.769999999999982,DOWN,False,,2649.73,2670.11,2673.59,2669.99,2672.76,2024,
