universe,block,direction,n,resolved,wins,losses,wr,total_R,mean_R,PF,maxDD,avg_win_R,med_win_R,avg_loss_R,payoff,amb,cens,split,month
SAME_NEAREST,,,3.0,3.0,1.0,2.0,0.3333333333333333,-0.5612503560142441,-0.18708345200474805,0.40171726352619436,0.24150485436893276,0.3768518518518475,0.3768518518518475,-0.46905110393304583,0.8034345270523887,0.0,0.0,month,2024-01
SAME_NEAREST,,,11.0,9.0,2.0,7.0,0.2222222222222222,3.9600306975897506,0.44000341084330563,1.8666342565557141,3.6766597962118603,4.264733883536508,4.264733883536508,-0.652776724211895,6.533219897944999,2.0,0.0,month,2024-02
SAME_NEAREST,,,3.0,3.0,2.0,1.0,0.6666666666666666,13.718924802789216,4.572974934263072,69.39451003789212,0.0,6.959754989170941,6.959754989170941,-0.2005851755526667,34.69725501894606,0.0,0.0,month,2024-03
SAME_NEAREST,,,6.0,5.0,2.0,3.0,0.4,0.17855364990658296,0.035710729981316594,1.0716703600833564,1.8764434180138558,1.3349357674988251,1.3349357674988251,-0.8304392950303559,1.6075055401250347,1.0,0.0,month,2024-04
SAME_NEAREST,,,6.0,6.0,2.0,4.0,0.3333333333333333,3.3264421256759036,0.5544070209459839,2.0767170852711785,1.729252259654885,3.2079360911306978,3.2079360911306978,-0.772357514146373,4.153434170542357,0.0,0.0,month,2024-05
SAME_NEAREST,,,6.0,5.0,1.0,4.0,0.2,-1.7022521272763074,-0.3404504254552615,0.014541155646222702,1.5186514583782649,0.0251179572578399,0.0251179572578399,-0.43184252113353677,0.05816462258489081,1.0,0.0,month,2024-06
SAME_NEAREST,,,5.0,5.0,4.0,1.0,0.8,12.817473526529248,2.5634947053058497,82.18128103262839,0.15788705676346382,3.243840145823178,1.5649599235100784,-0.1578870567634631,20.545320258157098,0.0,0.0,month,2024-07
SAME_NEAREST,,,9.0,7.0,3.0,4.0,0.42857142857142855,-0.6307158128676025,-0.09010225898108606,0.7673416476478299,2.097567175741762,0.6933980034822107,0.6133426475724721,-0.6777274558285586,1.0231221968637731,2.0,0.0,month,2024-08
SAME_NEAREST,,,5.0,4.0,1.0,3.0,0.25,0.04848543712177111,0.012121359280442778,1.019508111110178,1.4853988603988655,2.5338842975206366,2.5338842975206366,-0.8284662867996219,3.058524333330534,1.0,0.0,month,2024-09
SAME_NEAREST,,,8.0,8.0,3.0,5.0,0.375,2.271264259846484,0.2839080324808105,1.631297697987387,1.528400475995829,1.9563449333125993,2.898750000000007,-0.7195541080182627,2.718829496645645,0.0,0.0,month,2024-10
SAME_NEAREST,,,5.0,5.0,4.0,1.0,0.8,9.86228706024309,1.9724574120486182,19.10398091429499,0.5447579240682803,2.6017612460778428,2.4133388945521292,-0.5447579240682795,4.7759952285737475,0.0,0.0,month,2024-11
SAME_NEAREST,,,8.0,7.0,2.0,5.0,0.2857142857142857,-1.0875603332585908,-0.1553657618940844,0.7424244691950426,1.8650793650793491,1.567368221301464,1.567368221301464,-0.8444593551723039,1.8560611729876062,0.0,1.0,month,2024-12
SAME_NEAREST,,,4.0,4.0,3.0,1.0,0.75,3.366184439502942,0.8415461098757355,9.04614424568109,0.4183599419448392,1.2615147938159275,1.143584993052334,-0.4183599419448392,3.01538141522703,0.0,0.0,month,2025-01
SAME_NEAREST,,,4.0,2.0,1.0,1.0,0.5,0.3591635916359115,0.17958179581795575,1.3591635916359115,0.0,1.3591635916359115,1.3591635916359115,-1.0,1.3591635916359115,2.0,0.0,month,2025-02
SAME_NEAREST,,,6.0,6.0,2.0,4.0,0.3333333333333333,4.728695513676901,0.7881159189461502,2.719762773948815,1.8089739359947223,3.7391581624675823,3.7391581624675823,-0.6874052028145657,5.43952554789763,0.0,0.0,month,2025-03
SAME_NEAREST,,,5.0,5.0,3.0,2.0,0.6,3.987186240408098,0.7974372480816196,3.5204798102081853,1.5819155639571525,1.8563672681217502,2.439372325249681,-0.7909577819785762,2.3469865401387904,0.0,0.0,month,2025-04
SAME_NEAREST,,,5.0,5.0,3.0,2.0,0.6,2.2717983287839156,0.4543596657567831,3.1127337439235716,1.0,1.115695614387947,1.127215276823743,-0.5376442571899629,2.0751558292823806,0.0,0.0,month,2025-05
SAME_NEAREST,,,5.0,4.0,4.0,0.0,1.0,2.853067916644526,0.7132669791611315,inf,0.0,0.7132669791611315,0.7143590143590087,,,0.0,1.0,month,2025-06
SAME_NEAREST,,,1.0,1.0,1.0,0.0,1.0,2.0419386886176545,2.0419386886176545,inf,0.0,2.0419386886176545,2.0419386886176545,,,0.0,0.0,month,2026-01
SAME_NEAREST,,,5.0,4.0,1.0,3.0,0.25,-0.003450928791229213,-0.0008627321978073033,0.9986722088344049,1.6873315363881418,2.5955487336914818,2.5955487336914818,-0.8663332208275704,2.9960166265032147,0.0,1.0,month,2026-02
