sweep_time,dir,liq_price,liq_pivot_at,liq_available_at,liq_id,n_levels,sweep_extreme,trigger_time,trigger_close,pre_m5_owner,trigger_m5_index,entry,sl_exec,risk,win1,resolved_i,resolved_at,mfe_r,mae_r,win1_costless,year,source_k,m30_exp,m30_owner,h1_owner,owner_agree,delivery_state,broken_m5_level,penetration,acceptance_margin,strong_acceptance,m1_clean_path,m1_direct_transfer,m1_change_count,d1_atr
2022-10-31 16:46:00,-1,1642.06,2022-10-31 13:45:00,2022-10-31 14:30:00,1602,1,1642.07,2022-10-31 17:15:00,1637.79,1,59090,1637.79,1642.1899999999998,4.399999999999864,1,295400,2022-10-31 21:16:00,1.0522727272727848,0.5999999999999897,1,2022,2.0,1.0469798657717992,-1,-1,True,True,1638.8,0.009999999999990905,1.009999999999991,True,True,True,1,25.97285714285717
2022-11-07 16:46:00,-1,1681.71,2022-11-04 20:45:00,2022-11-07 01:30:00,1632,1,1681.87,2022-11-07 17:25:00,1675.92,1,60460,1675.92,1681.9899999999998,6.069999999999709,1,302748,2022-11-08 06:51:00,1.023064250411954,0.7314662273476178,1,2022,2.0,1.1176701570680632,1,-1,False,True,1677.34,0.15999999999985448,1.4199999999998454,True,True,False,2,27.098571428571454
2022-11-11 23:42:00,-1,1772.42,2022-08-18 14:30:00,2022-08-18 15:45:00,1192,1,1772.57,2022-11-14 01:05:00,1763.71,1,61644,1763.71,1772.9399999999998,9.22999999999979,1,308616,2022-11-14 12:44:00,1.0000000000000493,0.29469122426867406,1,2022,2.0,1.1826976229961341,1,1,False,True,1766.9,0.14999999999986358,3.1900000000000546,True,True,True,1,29.49214285714285
2022-11-24 10:07:00,1,1752.62,2022-11-24 08:00:00,2022-11-24 09:00:00,1727,1,1752.37,2022-11-24 10:35:00,1755.75,-1,63966,1755.87,1752.37,3.5,0,320283,2022-11-25 02:54:00,0.7914285714286312,1.0114285714285611,0,2022,2.0,1.4662298387096793,1,1,True,True,1754.82,0.25,0.9300000000000637,True,True,True,1,26.901428571428564
2022-11-24 12:16:00,-1,1758.59,2022-11-18 17:45:00,2022-11-18 19:30:00,1702,1,1758.64,2022-11-24 12:35:00,1755.14,1,63990,1755.14,1758.76,3.619999999999891,0,320370,2022-11-25 04:21:00,0.743093922652034,1.0276243093923036,0,2022,2.0,1.4662298387096793,1,1,False,True,1755.62,0.0500000000001819,0.4799999999997908,True,True,True,1,26.901428571428564
2022-11-25 02:54:00,1,1752.37,2022-11-24 10:00:00,2022-11-24 10:45:00,1729,1,1752.33,2022-11-25 03:10:00,1754.05,-1,64123,1754.28,1752.33,1.9500000000000455,1,320318,2022-11-25 03:29:00,1.0153846153846011,0.3025641025640535,1,2022,2.0,1.7623181005871904,-1,-1,False,True,1753.54,0.03999999999996362,0.5099999999999909,True,True,True,1,23.802142857142858
2022-12-14 03:35:00,-1,1812.61,2022-12-13 21:45:00,2022-12-14 02:00:00,1814,1,1812.65,2022-12-14 03:45:00,1810.57,1,67679,1810.57,1812.77,2.2000000000000455,1,338250,2022-12-14 06:54:00,1.013636363636351,0.7681818181818271,1,2022,2.0,1.3221204649524476,1,1,False,True,1810.63,0.040000000000190994,0.060000000000172804,True,True,True,1,23.56785714285716
2022-12-20 05:08:00,-1,1795.92,2022-12-19 17:15:00,2022-12-19 17:45:00,1840,1,1796.11,2022-12-20 06:30:00,1789.8,1,68816,1789.8,1796.2299999999998,6.429999999999836,0,343953,2022-12-20 10:02:00,0.42457231726280875,1.0404354587869358,0,2022,2.0,1.0469142697570464,-1,-1,True,True,1791.04,0.1899999999998272,1.240000000000009,True,False,False,5,25.01357142857145
2022-12-21 13:25:00,1,1811.86,2022-12-21 09:00:00,2022-12-21 09:30:00,1851,1,1811.84,2022-12-21 14:05:00,1814.75,-1,69183,1814.87,1811.84,3.0299999999999727,1,345650,2022-12-21 15:20:00,1.4125412541254914,0.5412541254125041,1,2022,2.0,2.728019720624474,1,1,True,True,1814.1,0.01999999999998181,0.650000000000091,True,True,True,1,25.83214285714288
2022-12-22 15:20:00,-1,1819.67,2022-12-22 10:15:00,2022-12-22 11:30:00,1860,1,1819.88,2022-12-22 15:35:00,1812.99,1,69477,1812.99,1820.0,7.009999999999991,1,347088,2022-12-22 16:20:00,1.091298145506434,0.1611982881597551,1,2022,2.0,0.552284109880102,-1,-1,True,True,1817.17,0.21000000000003638,4.180000000000064,True,True,True,1,24.12142857142859
2022-12-23 15:29:00,-1,1799.66,2022-12-23 13:00:00,2022-12-23 14:45:00,1866,1,1799.97,2022-12-23 15:35:00,1795.74,1,69753,1795.74,1800.09,4.349999999999909,0,348426,2022-12-23 15:39:00,0.23448275862074264,1.0597701149425278,0,2022,2.0,1.5207474580928761,1,1,False,True,1796.67,0.30999999999994543,0.9300000000000637,True,True,True,1,24.81428571428572
2022-12-23 16:40:00,1,1791.19,2022-12-23 03:00:00,2022-12-23 03:45:00,1865,1,1791.16,2022-12-23 17:15:00,1795.9,-1,69773,1796.02,1791.16,4.8599999999999,1,348545,2022-12-23 17:38:00,1.0679012345679344,0.13991769547326702,1,2022,2.0,1.5207474580928761,-1,1,False,True,1794.61,0.029999999999972715,1.290000000000191,True,False,False,3,24.81428571428572
