child_id,at,event,source,minute
2024OOS-COU0086,2024-04-12 16:30:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-04-12 16:30:00
2024OOS-COU0086,2024-04-12 16:30:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-04-12 16:30:00
2024OOS-WIT0024,2024-04-17 15:45:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-04-17 15:45:00
2024OOS-WIT0024,2024-04-17 10:48:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-04-17 10:48:00
2024OOS-WIT0024,2024-04-17 13:45:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-04-17 13:45:00
2024OOS-COU0091,2024-04-18 22:28:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-04-18 22:28:00
2024OOS-COU0091,2024-04-19 01:30:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-04-19 01:30:00
2024OOS-WIT0028,2024-04-22 01:15:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-04-22 01:15:00
2024OOS-WIT0028,2024-04-19 16:31:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-04-19 16:31:00
2024OOS-WIT0028,2024-04-19 17:00:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-04-19 17:00:00
2024OOS-COU0097,2024-04-25 04:39:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-04-25 04:39:00
2024OOS-COU0098,2024-04-25 17:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-04-25 17:00:00
2024OOS-COU0099,2024-04-26 00:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-04-26 00:00:00
2024OOS-COU0100,2024-04-26 20:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-04-26 20:00:00
2024OOS-COU0100,2024-04-26 15:11:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-04-26 15:11:00
2024OOS-COU0100,2024-04-26 15:45:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-04-26 15:45:00
2024OOS-COU0103,2024-05-03 00:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-05-03 00:00:00
2024OOS-COU0103,2024-05-02 20:42:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-05-02 20:42:00
2024OOS-COU0103,2024-05-02 22:30:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-05-02 22:30:00
2024OOS-COU0106,2024-05-03 09:30:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-05-03 09:30:00
2024OOS-COU0106,2024-05-03 07:31:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-05-03 07:31:00
2024OOS-COU0106,2024-05-03 09:15:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-05-03 09:15:00
2024OOS-COU0108,2024-05-06 02:45:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-05-06 02:45:00
2024OOS-COU0108,2024-05-03 19:38:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-05-03 19:38:00
2024OOS-COU0108,2024-05-03 21:30:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-05-03 21:30:00
2024OOS-COU0109,2024-05-06 08:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-05-06 08:00:00
2024OOS-COU0109,2024-05-06 04:37:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-05-06 04:37:00
2024OOS-COU0111,2024-05-07 12:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-05-07 12:00:00
2024OOS-COU0111,2024-05-07 05:11:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-05-07 05:11:00
2024OOS-COU0111,2024-05-07 07:00:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-05-07 07:00:00
2024OOS-COU0112,2024-05-08 03:45:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-05-08 03:45:00
2024OOS-COU0112,2024-05-08 02:33:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-05-08 02:33:00
2024OOS-COU0112,2024-05-08 03:15:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-05-08 03:15:00
2024OOS-COU0114,2024-05-09 08:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-05-09 08:00:00
2024OOS-COU0114,2024-05-09 05:51:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-05-09 05:51:00
2024OOS-COU0116,2024-05-13 02:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-05-13 02:00:00
2024OOS-COU0116,2024-05-10 17:22:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-05-10 17:22:00
2024OOS-COU0116,2024-05-10 18:45:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-05-10 18:45:00
2024OOS-COU0119,2024-05-15 03:38:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-05-15 03:38:00
2024OOS-COU0119,2024-05-15 04:30:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-05-15 04:30:00
2024OOS-COU0120,2024-05-15 09:32:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-05-15 09:32:00
2024OOS-COU0120,2024-05-15 09:45:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-05-15 09:45:00
2024OOS-COU0121,2024-05-15 14:31:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-05-15 14:31:00
2024OOS-COU0122,2024-05-17 09:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-05-17 09:00:00
2024OOS-COU0122,2024-05-16 08:58:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-05-16 08:58:00
2024OOS-COU0122,2024-05-16 09:00:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-05-16 09:00:00
2024OOS-COU0123,2024-05-20 20:30:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-05-20 20:30:00
2024OOS-COU0123,2024-05-20 14:03:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-05-20 14:03:00
2024OOS-COU0123,2024-05-20 18:15:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-05-20 18:15:00
2024OOS-WIT0034,2024-05-21 03:30:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-05-21 03:30:00
2024OOS-WIT0035,2024-05-22 06:45:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-05-22 06:45:00
2024OOS-WIT0035,2024-05-21 12:22:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-05-21 12:22:00
2024OOS-WIT0035,2024-05-21 12:30:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-05-21 12:30:00
2024OOS-COU0125,2024-05-23 13:50:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-05-23 13:50:00
2024OOS-COU0125,2024-05-23 15:45:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-05-23 15:45:00
2024OOS-COU0129,2024-05-29 19:57:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-05-29 19:57:00
2024OOS-COU0129,2024-05-29 20:00:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-05-29 20:00:00
2024OOS-COU0130,2024-05-30 07:50:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-05-30 07:50:00
2024OOS-COU0130,2024-05-30 08:30:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-05-30 08:30:00
2024OOS-COU0131,2024-05-30 15:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-05-30 15:00:00
2024OOS-COU0131,2024-05-30 12:08:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-05-30 12:08:00
2024OOS-COU0131,2024-05-30 12:45:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-05-30 12:45:00
2024OOS-COU0134,2024-06-03 15:15:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-06-03 15:15:00
2024OOS-COU0134,2024-06-03 10:56:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-06-03 10:56:00
2024OOS-COU0134,2024-06-03 12:00:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-06-03 12:00:00
2024OOS-COU0135,2024-06-04 12:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-06-04 12:00:00
2024OOS-COU0135,2024-06-04 06:04:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-06-04 06:04:00
2024OOS-COU0135,2024-06-04 06:45:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-06-04 06:45:00
2024OOS-COU0136,2024-06-05 08:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-06-05 08:00:00
2024OOS-COU0136,2024-06-04 22:55:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-06-04 22:55:00
2024OOS-COU0136,2024-06-04 23:00:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-06-04 23:00:00
2024OOS-COU0138,2024-06-06 17:00:00,EXISTING_STRUCTURAL_REVIEW,exact_gate,2024-06-06 17:00:00
2024OOS-COU0138,2024-06-06 10:44:00,FIRST_FAVORABLE_DELIVERY,object_engine,2024-06-06 10:44:00
2024OOS-COU0138,2024-06-06 13:00:00,POST_DELIVERY_M15_NONSUPPORT,completed_M15,2024-06-06 13:00:00
