dt,open,high,low,close,block,ema20,ema50,state_ema20,state_net_mid,state_ema_stack,h1_state_consensus,h1_agree_n,known_at,macro_state_majority,flow_state,macro_agree_n,role_agree_n,h1_vs_h4_relation
2025-01-30 09:00:00,2765.61,2769.47,2765.01,2769.1,2025H1,2760.357754310354,2757.9360936596154,UP,UP,UP,UP,3,2025-01-30 10:00:00,UP,UNRESOLVED_UP,2.0,1.0,ALIGNED
2025-01-30 10:00:00,2769.15,2776.57,2768.53,2776.12,2025H1,2761.8589205665103,2758.649188025905,UP,UP,UP,UP,3,2025-01-30 11:00:00,UP,UNRESOLVED_UP,2.0,1.0,ALIGNED
2025-01-30 11:00:00,2776.15,2776.42,2771.44,2774.23,2025H1,2763.037118607795,2759.2602002601834,UP,UP,UP,UP,3,2025-01-30 12:00:00,UP,MIG_UP,3.0,3.0,ALIGNED
2025-01-30 12:00:00,2774.16,2779.26,2773.87,2778.35,2025H1,2764.4954882641955,2760.0088198578233,UP,UP,UP,UP,3,2025-01-30 13:00:00,UP,MIG_UP,3.0,3.0,ALIGNED
2025-01-30 13:00:00,2778.34,2779.53,2777.06,2777.66,2025H1,2765.7492512866534,2760.701023000654,UP,UP,UP,UP,3,2025-01-30 14:00:00,UP,MIG_UP,3.0,3.0,ALIGNED
2025-01-30 14:00:00,2777.73,2781.23,2776.08,2780.22,2025H1,2767.1274178307817,2761.4664730790596,UP,UP,UP,UP,3,2025-01-30 15:00:00,UP,MIG_UP,3.0,3.0,ALIGNED
2025-01-30 15:00:00,2780.21,2786.01,2777.97,2785.82,2025H1,2768.9076637516596,2762.4215133504695,UP,UP,UP,UP,3,2025-01-30 16:00:00,UP,MIG_UP,3.0,3.0,ALIGNED
2025-01-30 16:00:00,2785.82,2788.96,2780.02,2787.27,2025H1,2770.656457680073,2763.3959638073143,UP,UP,UP,UP,3,2025-01-30 17:00:00,UP,MIG_UP,3.0,3.0,ALIGNED
2025-01-30 17:00:00,2787.65,2796.81,2786.77,2795.38,2025H1,2773.0110807581614,2764.6502397364393,UP,UP,UP,UP,3,2025-01-30 18:00:00,UP,MIG_UP,3.0,3.0,ALIGNED
2025-01-30 18:00:00,2795.47,2798.45,2790.14,2790.52,2025H1,2774.6785968764316,2765.664740138932,UP,UP,UP,UP,3,2025-01-30 19:00:00,UP,MIG_UP,3.0,3.0,ALIGNED
2025-01-30 19:00:00,2790.54,2795.87,2788.71,2795.56,2025H1,2776.667301935819,2766.837103270738,UP,UP,UP,UP,3,2025-01-30 20:00:00,UP,MIG_UP,3.0,3.0,ALIGNED
2025-01-30 20:00:00,2795.65,2797.1,2792.24,2795.12,2025H1,2778.4247017514554,2767.9462364758074,UP,UP,UP,UP,3,2025-01-30 21:00:00,UP,MIG_UP,3.0,3.0,ALIGNED
2025-01-30 21:00:00,2795.13,2795.42,2790.61,2793.31,2025H1,2779.8423492036977,2768.940893868913,UP,UP,UP,UP,3,2025-01-30 22:00:00,UP,MIG_UP,3.0,3.0,ALIGNED
2025-01-30 22:00:00,2793.32,2798.25,2792.27,2795.47,2025H1,2781.3306968985835,2769.9812509720928,UP,UP,UP,UP,3,2025-01-30 23:00:00,UP,MIG_UP,3.0,3.0,ALIGNED
