cluster_id,block,direction,touch_hour,price_low,price_high,object_count,families,timeframes,object_ids,has_FVG_OB,has_H4,state,role,accepted_through_4h_2close,object_direction_dominant_24h,state_direction_dominant_24h,favorable_points,adverse_points
POIC0063,2025H1,BEAR,2025-02-03 08:00:00,2785.05,2794.33,1,FVG,H4,H4_FVG_BEAR_20250203_0400,False,True,BALANCE,BALANCE,True,False,,6.75,41.01999999999998
POIC0064,2025H1,BEAR,2025-02-03 10:00:00,2794.33,2802.22,2,FVG;OB,H1,H1_OB_BEAR_20250131_2200_VIA_20250203_0300;H1_FVG_BEAR_20250203_0200,True,False,BALANCE,BALANCE,False,False,,11.384999999999764,32.4350000000004
POIC0065,2025H1,BEAR,2025-02-03 13:00:00,2802.94,2817.17,1,OB,H4,H4_OB_BEAR_20250131_1600_VIA_20250203_0000,False,True,UP,OPPOSING,False,False,True,12.075000000000273,20.654999999999745
POIC0066,2025H1,BEAR,2025-02-04 02:00:00,2815.1,2815.55,1,FVG,H1,H1_FVG_BEAR_20250204_0100,False,False,UP,OPPOSING,True,False,True,8.134999999999764,30.03500000000031
POIC0067,2025H1,BEAR,2025-02-04 02:00:00,2817.52,2817.87,1,FVG,H1,H1_FVG_BEAR_20250203_2300,False,False,UP,OPPOSING,True,False,True,10.504999999999654,27.66500000000042
POIC0068,2025H1,BEAR,2025-02-04 10:00:00,2816.04,2818.17,1,FVG,H1,H1_FVG_BEAR_20250204_0800,False,False,UP,OPPOSING,False,False,True,7.025000000000091,47.10500000000002
POIC0069,2025H1,BEAR,2025-02-06 01:00:00,2868.96,2871.39,1,FVG,H1,H1_FVG_BEAR_20250205_2100,False,False,UP,OPPOSING,False,True,False,36.04500000000007,3.0649999999996
POIC0070,2025H1,BEAR,2025-02-06 13:00:00,2861.75,2871.76,2,FVG;OB,H1,H1_FVG_BEAR_20250206_0900;H1_OB_BEAR_20250206_0300_VIA_20250206_0800,True,False,BALANCE,BALANCE,False,True,,32.625,4.054999999999836
POIC0071,2025H1,BEAR,2025-02-06 18:00:00,2853.18,2855.54,1,FVG,H1,H1_FVG_BEAR_20250206_1700,False,False,BALANCE,BALANCE,False,False,,6.289999999999509,32.38000000000011
POIC0072,2025H1,BEAR,2025-02-07 01:00:00,2858.29,2867.3,1,OB,H1,H1_OB_BEAR_20250206_1300_VIA_20250206_1600,False,False,BALANCE,BALANCE,False,False,,10.445000000000164,23.94499999999971
POIC0073,2025H1,BEAR,2025-02-07 02:00:00,2859.69,2863.58,1,FVG,H1,H1_FVG_BEAR_20250206_1600,False,False,BALANCE,BALANCE,True,False,,9.28500000000031,25.104999999999563
POIC0074,2025H1,BEAR,2025-02-07 20:00:00,2862.64,2873.28,1,FVG,H1,H1_FVG_BEAR_20250207_1900,False,False,BALANCE,BALANCE,False,True,,8.909999999999854,-2.849999999999909
POIC0075,2025H1,BEAR,2025-02-10 20:00:00,2904.38,2904.47,1,FVG,H1,H1_FVG_BEAR_20250210_1900,False,False,UP,OPPOSING,True,False,True,22.77500000000009,38.125
POIC0076,2025H1,BEAR,2025-02-11 16:00:00,2898.24,2906.62,2,FVG;OB,H1,H1_FVG_BEAR_20250211_1500;H1_OB_BEAR_20250211_1300_VIA_20250211_1400,True,False,BALANCE,BALANCE,False,True,,38.71000000000004,6.230000000000018
POIC0077,2025H1,BEAR,2025-02-12 01:00:00,2900.39,2903.31,1,FVG,H1,H1_FVG_BEAR_20250211_2200,False,False,BALANCE,BALANCE,False,True,,38.13000000000011,7.269999999999982
POIC0078,2025H1,BEAR,2025-02-12 03:00:00,2895.87,2900.71,1,OB,H1,H1_OB_BEAR_20250212_0100_VIA_20250212_0200,False,False,BALANCE,BALANCE,False,True,,34.570000000000164,10.829999999999927
POIC0079,2025H1,BEAR,2025-02-12 08:00:00,2890.41,2891.85,1,FVG,H1,H1_FVG_BEAR_20250212_0600,False,False,DOWN,ALIGNED,True,False,False,27.41000000000031,31.579999999999927
POIC0080,2025H1,BEAR,2025-02-12 16:00:00,2886.01,2886.44,1,FVG,H1,H1_FVG_BEAR_20250212_1300,False,False,BALANCE,BALANCE,True,False,,4.305000000000291,36.48499999999967
