event_id,block,direction,required_consecutive_H1_closes_beyond,confirmation_time,hours_from_arrival_to_confirmation,post_confirmation_6h_directional_dominance,post_confirmation_12h_directional_dominance
2025H1_SELL_SIDE_20250422_1600,2025H1,DOWN,1,2025-04-22 20:00:00,4.0,True,True
2025H1_SELL_SIDE_20250422_1600,2025H1,DOWN,2,2025-04-22 21:00:00,5.0,True,True
2025H1_SELL_SIDE_20250422_1600,2025H1,DOWN,3,2025-04-22 22:00:00,6.0,True,True
2025H1_SELL_SIDE_20250422_1900,2025H1,DOWN,1,2025-04-22 22:00:00,3.0,True,True
2025H1_SELL_SIDE_20250422_1900,2025H1,DOWN,2,2025-04-22 23:00:00,4.0,True,True
2025H1_SELL_SIDE_20250422_1900,2025H1,DOWN,3,2025-04-23 00:00:00,5.0,True,True
2025H1_SELL_SIDE_20250425_0800,2025H1,DOWN,1,2025-04-25 09:00:00,1.0,False,True
2025H1_SELL_SIDE_20250425_0800,2025H1,DOWN,2,2025-04-25 10:00:00,2.0,True,True
2025H1_SELL_SIDE_20250425_0800,2025H1,DOWN,3,2025-04-25 14:00:00,6.0,True,True
2025H1_BUY_SIDE_20250429_1900,2025H1,UP,1,2025-04-29 20:00:00,1.0,False,False
2025H1_SELL_SIDE_20250430_1300,2025H1,DOWN,1,2025-04-30 14:00:00,1.0,False,False
2025H1_SELL_SIDE_20250430_1300,2025H1,DOWN,2,2025-04-30 15:00:00,2.0,False,False
2025H1_BUY_SIDE_20250502_0900,2025H1,UP,1,2025-05-02 11:00:00,2.0,False,False
2025H1_BUY_SIDE_20250502_0900,2025H1,UP,2,2025-05-02 14:00:00,5.0,False,False
2025H1_BUY_SIDE_20250502_0900,2025H1,UP,3,2025-05-02 15:00:00,6.0,False,False
2025H1_SELL_SIDE_20250502_1600,2025H1,DOWN,1,2025-05-02 19:00:00,3.0,False,False
2025H1_SELL_SIDE_20250502_1600,2025H1,DOWN,2,2025-05-02 20:00:00,4.0,False,False
2025H1_SELL_SIDE_20250502_1600,2025H1,DOWN,3,2025-05-02 21:00:00,5.0,False,False
2025H1_SELL_SIDE_20250502_1900,2025H1,DOWN,1,2025-05-02 20:00:00,1.0,False,False
2025H1_BUY_SIDE_20250505_0400,2025H1,UP,1,2025-05-05 06:00:00,2.0,False,True
2025H1_SELL_SIDE_20250514_0700,2025H1,DOWN,1,2025-05-14 08:00:00,1.0,False,True
2025H1_BUY_SIDE_20250515_1600,2025H1,UP,1,2025-05-15 18:00:00,2.0,True,True
2025H1_BUY_SIDE_20250515_1600,2025H1,UP,2,2025-05-15 19:00:00,3.0,True,True
2025H1_BUY_SIDE_20250515_1600,2025H1,UP,3,2025-05-15 20:00:00,4.0,True,True
2025H1_BUY_SIDE_20250519_0100,2025H1,UP,1,2025-05-19 02:00:00,1.0,False,False
2025H1_BUY_SIDE_20250519_0100,2025H1,UP,2,2025-05-19 03:00:00,2.0,False,False
2025H1_BUY_SIDE_20250519_0100,2025H1,UP,3,2025-05-19 04:00:00,3.0,False,False
