id,tf,side,price,source,known_at
H1_BSL_20240202_0200,H1,UP,2056.82,2024-02-02 02:00:00,2024-02-02 05:00:00
H1_SSL_20240202_0400,H1,DOWN,2051.88,2024-02-02 04:00:00,2024-02-02 07:00:00
H1_BSL_20240202_0900,H1,UP,2056.88,2024-02-02 09:00:00,2024-02-02 12:00:00
H1_SSL_20240202_1100,H1,DOWN,2052.66,2024-02-02 11:00:00,2024-02-02 14:00:00
H1_BSL_20240202_1500,H1,UP,2057.61,2024-02-02 15:00:00,2024-02-02 18:00:00
H1_SSL_20240202_1600,H1,DOWN,2027.82,2024-02-02 16:00:00,2024-02-02 19:00:00
H1_BSL_20240202_2000,H1,UP,2038.74,2024-02-02 20:00:00,2024-02-02 23:00:00
H4_BSL_20240202_1200,H4,UP,2057.61,2024-02-02 12:00:00,2024-02-03 00:00:00
H1_BSL_20240205_0100,H1,UP,2042.09,2024-02-05 01:00:00,2024-02-05 04:00:00
H4_SSL_20240202_1600,H4,DOWN,2027.82,2024-02-02 16:00:00,2024-02-05 04:00:00
H4_BSL_20240205_0000,H4,UP,2042.09,2024-02-05 00:00:00,2024-02-05 12:00:00
H1_SSL_20240205_1100,H1,DOWN,2020.61,2024-02-05 11:00:00,2024-02-05 14:00:00
H1_BSL_20240205_1300,H1,UP,2028.3,2024-02-05 13:00:00,2024-02-05 16:00:00
H1_SSL_20240205_1600,H1,DOWN,2014.84,2024-02-05 16:00:00,2024-02-05 19:00:00
H1_BSL_20240205_2100,H1,UP,2027.45,2024-02-05 21:00:00,2024-02-06 00:00:00
H1_SSL_20240206_0100,H1,DOWN,2023.62,2024-02-06 01:00:00,2024-02-06 04:00:00
H4_SSL_20240205_1600,H4,DOWN,2014.84,2024-02-05 16:00:00,2024-02-06 04:00:00
H1_BSL_20240206_0300,H1,UP,2028.49,2024-02-06 03:00:00,2024-02-06 06:00:00
H1_SSL_20240206_0500,H1,DOWN,2023.42,2024-02-06 05:00:00,2024-02-06 08:00:00
H1_BSL_20240206_0700,H1,UP,2029.77,2024-02-06 07:00:00,2024-02-06 10:00:00
H1_SSL_20240206_1100,H1,DOWN,2022.82,2024-02-06 11:00:00,2024-02-06 14:00:00
H4_SSL_20240206_0800,H4,DOWN,2022.82,2024-02-06 08:00:00,2024-02-06 20:00:00
H1_BSL_20240206_1800,H1,UP,2038.84,2024-02-06 18:00:00,2024-02-06 21:00:00
H4_BSL_20240206_1600,H4,UP,2038.84,2024-02-06 16:00:00,2024-02-07 04:00:00
H1_BSL_20240207_0900,H1,UP,2036.09,2024-02-07 09:00:00,2024-02-07 12:00:00
H1_SSL_20240207_1000,H1,DOWN,2031.18,2024-02-07 10:00:00,2024-02-07 13:00:00
H1_SSL_20240207_1400,H1,DOWN,2030.53,2024-02-07 14:00:00,2024-02-07 17:00:00
H1_BSL_20240207_1600,H1,UP,2044.48,2024-02-07 16:00:00,2024-02-07 19:00:00
H1_SSL_20240207_2000,H1,DOWN,2033.97,2024-02-07 20:00:00,2024-02-07 23:00:00
H4_SSL_20240207_1200,H4,DOWN,2030.53,2024-02-07 12:00:00,2024-02-08 00:00:00
H1_SSL_20240207_2300,H1,DOWN,2033.66,2024-02-07 23:00:00,2024-02-08 03:00:00
H4_BSL_20240207_1600,H4,UP,2044.48,2024-02-07 16:00:00,2024-02-08 04:00:00
H1_BSL_20240208_0400,H1,UP,2038.64,2024-02-08 04:00:00,2024-02-08 07:00:00
H1_SSL_20240208_0700,H1,DOWN,2031.09,2024-02-08 07:00:00,2024-02-08 10:00:00
H1_SSL_20240208_1000,H1,DOWN,2028.88,2024-02-08 10:00:00,2024-02-08 13:00:00
H1_BSL_20240208_1200,H1,UP,2038.43,2024-02-08 12:00:00,2024-02-08 15:00:00
H4_BSL_20240208_0400,H4,UP,2038.64,2024-02-08 04:00:00,2024-02-08 16:00:00
H1_BSL_20240208_1600,H1,UP,2034.05,2024-02-08 16:00:00,2024-02-08 19:00:00
H1_SSL_20240208_1600,H1,DOWN,2020.11,2024-02-08 16:00:00,2024-02-08 19:00:00
H1_BSL_20240208_2000,H1,UP,2035.3,2024-02-08 20:00:00,2024-02-08 23:00:00
H4_SSL_20240208_1600,H4,DOWN,2020.11,2024-02-08 16:00:00,2024-02-09 04:00:00
H1_SSL_20240209_0200,H1,DOWN,2031.93,2024-02-09 02:00:00,2024-02-09 05:00:00
H1_BSL_20240209_0400,H1,UP,2035.1,2024-02-09 04:00:00,2024-02-09 07:00:00
H1_SSL_20240209_0700,H1,DOWN,2032.11,2024-02-09 07:00:00,2024-02-09 10:00:00
H1_BSL_20240209_0900,H1,UP,2034.92,2024-02-09 09:00:00,2024-02-09 12:00:00
H1_SSL_20240209_1000,H1,DOWN,2030.5,2024-02-09 10:00:00,2024-02-09 13:00:00
H1_BSL_20240209_1500,H1,UP,2037.12,2024-02-09 15:00:00,2024-02-09 18:00:00
