combo,mean_auc,min_auc,mean_pair,min_pair,years
CYCLE_MIN+PHA_NHA+OLD_BEST3,0.5100178960473079,0.4558823529411765,0.30952380952380953,0.2857142857142857,2
OPP_PRESSURE_GAIN+CYCLE_MIN+PHA_NHA+OLD_BEST3,0.5022661842514784,0.45955882352941174,0.39285714285714285,0.2857142857142857,2
OPP_PRESSURE_GAIN+POSITION_DAMAGE+OLD_BEST3,0.5022175536881419,0.46031746031746035,0.35119047619047616,0.2857142857142857,2
DELIVERY+POSITION_DAMAGE+PHA_NHA+OLD_BEST3,0.49683901338313097,0.4963235294117647,0.30952380952380953,0.2857142857142857,2
OLD_BEST3,0.4956183862433862,0.46875,0.39285714285714285,0.2857142857142857,2
DELIVERY+POSITION_DAMAGE+PHA_NHA,0.4935321350762527,0.4907407407407407,0.26785714285714285,0.25,2
OPP_PRESSURE_GAIN+DELIVERY+POSITION_DAMAGE+PHA_NHA,0.490517040149393,0.4889705882352941,0.4226190476190476,0.4166666666666667,2
SAME_PARTICIPATION_LOSS+PHA_NHA,0.48793962029256144,0.4705882352941177,0.3214285714285714,0.14285714285714285,2
SAME_PARTICIPATION_LOSS+PHA_NHA+OLD_BEST3,0.4775715841892312,0.4485294117647059,0.27976190476190477,0.14285714285714285,2
DELIVERY+PHA_NHA+OLD_BEST3,0.471541394335512,0.4338235294117647,0.35119047619047616,0.2857142857142857,2
OPP_PRESSURE_GAIN+OLD_BEST3,0.4684582166199813,0.4448529411764706,0.30952380952380953,0.2857142857142857,2
DELIVERY+PHA_NHA,0.46668806411453473,0.4227941176470589,0.39285714285714285,0.2857142857142857,2
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+PHA_NHA+OLD_BEST3,0.4637507780890133,0.4301470588235294,0.4642857142857143,0.42857142857142855,2
SAME_PARTICIPATION_LOSS+OPP_PRESSURE_GAIN+PHA_NHA,0.4584889511360099,0.40441176470588236,0.39285714285714285,0.2857142857142857,2
OPP_PRESSURE_GAIN+DELIVERY+PHA_NHA+OLD_BEST3,0.45492919389978215,0.41911764705882354,0.38095238095238093,0.3333333333333333,2
POSITION_DAMAGE+PHA_NHA+OLD_BEST3,0.44767351384998444,0.41005291005291006,0.3392857142857143,0.25,2
OPP_PRESSURE_GAIN+POSITION_DAMAGE+PHA_NHA+OLD_BEST3,0.44311196700902583,0.4193121693121693,0.3392857142857143,0.25,2
OPP_PRESSURE_GAIN+DELIVERY+PHA_NHA,0.44096249610955496,0.40441176470588236,0.3392857142857143,0.25,2
OPP_PRESSURE_GAIN+POSITION_DAMAGE+PHA_NHA,0.4302929505135387,0.37896825396825395,0.26785714285714285,0.25,2
POSITION_DAMAGE+PHA_NHA,0.4298163709928416,0.3743386243386243,0.3392857142857143,0.25,2
OPP_PRESSURE_GAIN,0.42656784936196707,0.4193121693121694,0.26785714285714285,0.25,2
OPP_PRESSURE_GAIN+PHA_NHA+OLD_BEST3,0.4042853252412076,0.3786764705882353,0.3392857142857143,0.25,2
PHA_NHA+OLD_BEST3,0.3932996809835045,0.3805147058823529,0.23809523809523808,0.14285714285714285,2
OPP_PRESSURE_GAIN+PHA_NHA,0.3514044506691566,0.3498677248677249,0.26785714285714285,0.25,2
PHA_NHA,0.33295401493930904,0.3313492063492063,0.19642857142857142,0.14285714285714285,2
