family,feature,year,auc,ap,sign,n
LIQ,h4c_opp_active_n,AVG,0.4864925992745904,,,912
LIQ,h4c_same_age1_h,2024,0.48812156666904466,0.6117766299999964,1.0,345
LIQ,h4c_same_age1_h,2025,0.5179886211512719,0.5416652244626202,1.0,346
LIQ,h4c_same_age1_h,2026,0.5880376344086021,0.652004451958667,1.0,221
LIQ,h4c_same_age1_h,AVG,0.5313826074096396,,,912
LIQ,h4c_opp_age1_h,2024,0.6256153242491261,0.702410463121008,-1.0,345
LIQ,h4c_opp_age1_h,2025,0.531392235609103,0.5560814463246287,-1.0,346
LIQ,h4c_opp_age1_h,2026,0.49827788978494625,0.576172135290944,-1.0,221
LIQ,h4c_opp_age1_h,AVG,0.5517618165477252,,,912
LIQ,since_child_h4liq_same_d1_S,2024,0.5575016051936934,0.6693344861287325,1.0,345
LIQ,since_child_h4liq_same_d1_S,2025,0.5920348058902275,0.6185475519724536,1.0,346
LIQ,since_child_h4liq_same_d1_S,2026,0.5965221774193549,0.6907924354374655,1.0,221
LIQ,since_child_h4liq_same_d1_S,AVG,0.582019529501092,,,912
LIQ,since_child_h4liq_opp_d1_S,2024,0.6973318113719056,0.7943907542414744,-1.0,345
LIQ,since_child_h4liq_opp_d1_S,2025,0.6139223560910307,0.5821631699151236,-1.0,346
LIQ,since_child_h4liq_opp_d1_S,2026,0.6455813172043011,0.7060076691009418,-1.0,221
LIQ,since_child_h4liq_opp_d1_S,AVG,0.6522784948890791,,,912
LIQ,since_child_h4liq_distance_ratio,2024,0.6661553827495185,0.7639459150646497,1.0,345
LIQ,since_child_h4liq_distance_ratio,2025,0.6727576974564926,0.659157296810499,1.0,346
LIQ,since_child_h4liq_distance_ratio,2026,0.6228158602150536,0.7050188446591543,1.0,221
LIQ,since_child_h4liq_distance_ratio,AVG,0.6539096468070215,,,912
LIQ,since_child_h4liq_same_active_n,2024,0.4748698009559821,0.6262033838380832,-1.0,345
LIQ,since_child_h4liq_same_active_n,2025,0.5073795180722892,0.5251636858922089,-1.0,346
LIQ,since_child_h4liq_same_active_n,2026,0.549815188172043,0.6266046497121842,-1.0,221
LIQ,since_child_h4liq_same_active_n,AVG,0.5106881690667714,,,912
LIQ,since_child_h4liq_opp_active_n,2024,0.5513305272169509,0.6509381314492477,1.0,345
LIQ,since_child_h4liq_opp_active_n,2025,0.5434236947791165,0.5571846266496718,1.0,346
LIQ,since_child_h4liq_opp_active_n,2026,0.4703040994623656,0.5719717454289408,1.0,221
LIQ,since_child_h4liq_opp_active_n,AVG,0.5216861071528109,,,912
LIQ,h4c_birth_same_since_child,2024,0.434044374687879,0.5898690059343622,-1.0,345
LIQ,h4c_birth_same_since_child,2025,0.4837182061579652,0.5126927638529947,1.0,346
LIQ,h4c_birth_same_since_child,2026,0.45257896505376344,0.5586873882862535,1.0,221
LIQ,h4c_birth_same_since_child,AVG,0.4567805152998692,,,912
LIQ,h4c_birth_opp_since_child,2024,0.5513305272169509,0.6509381314492477,1.0,345
LIQ,h4c_birth_opp_since_child,2025,0.5434236947791165,0.5571846266496718,1.0,346
LIQ,h4c_birth_opp_since_child,2026,0.4703040994623656,0.5719717454289408,1.0,221
LIQ,h4c_birth_opp_since_child,AVG,0.5216861071528109,,,912
LIQ,h4c_birth_same_since_route,2024,0.4916529927944639,0.6177958607867003,1.0,345
LIQ,h4c_birth_same_since_route,2025,0.5625836680053548,0.6089966589450907,1.0,346
LIQ,h4c_birth_same_since_route,2026,0.5338121639784946,0.6387175469654185,1.0,221
LIQ,h4c_birth_same_since_route,AVG,0.5293496082594378,,,912
LIQ,h4c_birth_opp_since_route,2024,0.5091852750231861,0.6194744917339189,1.0,345
LIQ,h4c_birth_opp_since_route,2025,0.6130020080321286,0.6166217098279938,1.0,346
LIQ,h4c_birth_opp_since_route,2026,0.5413306451612904,0.6096388463894137,1.0,221
LIQ,h4c_birth_opp_since_route,AVG,0.5545059760722016,,,912
LIQ,same_arrivals_since_child,2024,0.5308553898837126,0.650212126375763,1.0,345
LIQ,same_arrivals_since_child,2025,0.49277108433734934,0.5175594091201027,1.0,346
LIQ,same_arrivals_since_child,2026,0.4959677419354838,0.6054864253393666,1.0,221
LIQ,same_arrivals_since_child,AVG,0.5065314053855152,,,912
LIQ,era4_rejects_since_child,2024,0.5308553898837126,0.650212126375763,1.0,345
LIQ,era4_rejects_since_child,2025,0.49277108433734934,0.5175594091201027,1.0,346
LIQ,era4_rejects_since_child,2026,0.4959677419354838,0.6054864253393666,1.0,221
LIQ,era4_rejects_since_child,AVG,0.5065314053855152,,,912
JOURNEY,price_from_child_S,2024,0.6606620532210887,0.7288780780745026,-1.0,345
JOURNEY,price_from_child_S,2025,0.5427710843373494,0.5824369278298658,-1.0,346
JOURNEY,price_from_child_S,2026,0.7430275537634409,0.8140373999026229,-1.0,221
JOURNEY,price_from_child_S,AVG,0.6488202304406263,,,912
JOURNEY,open_children,2024,0.49279446386530634,0.6169320182729366,-1.0,345
JOURNEY,open_children,2025,0.5505354752342704,0.5485469436357584,-1.0,346
JOURNEY,open_children,2026,0.49437163978494625,0.5764668994688176,-1.0,221
JOURNEY,open_children,AVG,0.5125671929615077,,,912
JOURNEY,open_cont,2024,0.48407291146465015,0.6129747007407371,-1.0,345
JOURNEY,open_cont,2025,0.5535475234270415,0.5504552495371944,-1.0,346
JOURNEY,open_cont,2026,0.48559307795698925,0.5723369809996648,-1.0,221
JOURNEY,open_cont,AVG,0.5077378376162269,,,912
JOURNEY,child_anchor_mfe_S,2024,0.48303845330669903,0.6118426491694833,1.0,345
JOURNEY,child_anchor_mfe_S,2025,0.581392235609103,0.6470051234246463,1.0,346
JOURNEY,child_anchor_mfe_S,2026,0.4859711021505376,0.6325536725145009,1.0,221
JOURNEY,child_anchor_mfe_S,AVG,0.5168005970221131,,,912
JOURNEY,child_anchor_peak_giveback_S,2024,0.5186915887850467,0.6344846268454557,1.0,345
JOURNEY,child_anchor_peak_giveback_S,2025,0.511847389558233,0.5289353763342203,1.0,346
JOURNEY,child_anchor_peak_giveback_S,2026,0.5301579301075269,0.6087740384615385,1.0,221
JOURNEY,child_anchor_peak_giveback_S,AVG,0.5202323028169356,,,912
