signal_id,direction,units,entry_time,entry_price,structural_sl,exit_time,exit_price,actual_pnl,intended_risk_price,intended_risk_dollars,actual_r,adverse_slippage_price,adverse_slippage_r,excess_loss_beyond_1r,exit_comment
727,LONG,1,2026.02.11 12:00:00,5063.07,5043.58,2026.02.11 15:30:28,5042.58,-20.49,19.48999999999978,19.48999999999978,-1.0513083632632236,1.0,0.051308363263212475,0.05130836326322363,sl 5043.58
729,LONG,3,2026.02.12 16:00:00,5076.03,5047.1,2026.02.12 16:56:57,5042.21,-101.46,28.92999999999938,86.78999999999814,-1.1690286899412623,4.890000000000327,0.1690286899412524,0.1690286899412623,sl 5047.10
733,LONG,1,2026.02.13 12:00:00,4970.15,4944.91,2026.02.13 13:00:39,4943.96,-26.19,25.23999999999978,25.23999999999978,-1.0376386687797237,0.9499999999998181,0.037638668779707854,0.03763866877972366,sl 4944.91
739,SHORT,3,2026.02.19 04:00:00,4973.07,4988.81,2026.02.19 07:04:33,4988.94,-47.61,15.740000000000691,47.220000000002074,-1.0082592121981768,0.12999999999919964,0.008259212198169882,0.008259212198176824,sl 4988.81
740,SHORT,1,2026.02.19 16:00:00,4997.0,5021.97,2026.02.19 17:34:31,5021.98,-24.98,24.970000000000255,24.970000000000255,-1.0004004805766817,0.009999999999308784,0.0004004805766643445,0.00040048057668173875,sl 5021.97
741,SHORT,1,2026.02.19 20:00:00,4985.03,5022.28,2026.02.20 08:23:23,5022.3,-37.27,37.25,37.25,-1.0005369127516779,0.020000000000436557,0.000536912751689572,0.0005369127516778871,sl 5022.28
751,SHORT,1,2026.02.25 16:00:00,5183.76,5210.59,2026.02.25 18:46:15,5210.92,-27.16,26.829999999999927,26.829999999999927,-1.0122996645546058,0.32999999999992724,0.012299664554600378,0.01229966455460585,sl 5210.59
752,LONG,3,2026.02.25 20:00:00,5207.28,5158.87,2026.02.25 22:58:09,5158.41,-146.61,48.409999999999854,145.22999999999956,-1.0095021689733557,0.4600000000000364,0.009502168973353393,0.009502168973355651,sl 5158.87
755,SHORT,1,2026.02.26 12:00:00,5186.27,5205.55,2026.02.27 15:07:41,5205.65,-19.38,19.279999999999745,19.279999999999745,-1.0051867219917145,0.0999999999994543,0.005186721991673009,0.005186721991714549,sl 5205.55
756,SHORT,1,2026.02.26 16:00:00,5165.79,5205.55,2026.02.27 15:07:41,5205.65,-39.86,39.76000000000022,39.76000000000022,-1.002515090543254,0.0999999999994543,0.0025150905432458188,0.0025150905432540505,sl 5205.55
760,SHORT,3,2026.02.27 12:00:00,5175.97,5200.48,2026.02.27 15:07:26,5201.59,-76.86,24.50999999999931,73.52999999999793,-1.045287637698928,1.110000000000582,0.04528763769892343,0.04528763769892796,sl 5200.48
768,LONG,1,2026.03.04 12:00:00,5182.65,5121.36,2026.03.04 19:24:34,5121.3,-61.35,61.289999999999964,61.289999999999964,-1.0009789525208033,0.05999999999949068,0.0009789525207944316,0.0009789525208032668,sl 5121.36
776,SHORT,3,2026.03.06 12:00:00,5086.14,5143.7,2026.03.06 17:01:59,5143.77,-172.89,57.55999999999949,172.67999999999847,-1.0012161223071665,0.07000000000061846,0.0012161223071685038,0.0012161223071665006,sl 5143.70
