test_year,run_id,bounded_pnl,all1_pnl,oracle_bars,selected_units,delta
2025,1574,618.6199999999999,251.92000000000007,2,7.0,366.6999999999998
2025,1575,7.829999999999927,-24.280000000000655,1,1.0,32.11000000000058
2025,1576,534.8999999999992,232.13999999999942,3,7.0,302.75999999999976
2025,1577,99.4699999999998,28.27999999999929,1,1.0,71.19000000000051
2025,1578,-0.8699999999998909,-38.0,1,3.0,37.13000000000011
2025,1579,0.0,-13.149999999999636,0,0.0,13.149999999999636
2025,1580,-112.67999999999893,-59.499999999999545,0,4.0,-53.17999999999938
2025,1581,-1.319999999999709,-97.79999999999927,1,1.0,96.47999999999956
2025,1582,-81.51000000000022,-42.48000000000047,0,3.0,-39.029999999999745
2025,1583,0.0,-96.50999999999976,1,0.0,96.50999999999976
2025,1584,-118.79000000000042,-84.37000000000035,1,4.0,-34.42000000000007
2025,1585,-19.730000000000018,-48.9699999999998,1,1.0,29.23999999999978
2025,1586,-49.7199999999998,-17.980000000000018,0,4.0,-31.73999999999978
2025,1587,2.1100000000001273,-47.07999999999947,1,1.0,49.1899999999996
2025,1588,-72.53999999999951,-24.179999999999836,0,3.0,-48.35999999999967
2025,1589,54.36999999999989,11.150000000000091,2,2.0,43.2199999999998
2025,1590,-73.82000000000107,-61.20000000000073,1,5.0,-12.620000000000346
2025,1591,-21.91000000000031,-29.68000000000029,0,1.0,7.769999999999982
2025,1592,616.3699999999994,418.119999999999,3,5.0,198.25000000000045
2025,1593,-35.13000000000011,-28.90000000000009,1,3.0,-6.230000000000018
2025,1594,-76.63999999999987,-33.059999999999945,0,4.0,-43.57999999999993
2025,1595,-32.25,-49.76000000000022,0,1.0,17.51000000000022
2025,1596,-18.600000000000364,-18.600000000000364,0,1.0,0.0
2025,1597,17.009999999999764,22.969999999999345,1,1.0,-5.959999999999582
2025,1598,-100.67999999999984,-33.559999999999945,0,3.0,-67.11999999999989
2025,1599,0.0,-4.049999999999727,0,0.0,4.049999999999727
2025,1600,-70.56999999999971,-111.54999999999973,1,2.0,40.98000000000002
2025,1601,206.17999999999938,99.73999999999887,2,4.0,106.44000000000051
