row,time,order,symbol,type,volume,price,sl,tp,done_time,state,comment
1765,2026.06.19 16:00:00,1700,GOLD#,buy,0.01,0.0,,,2026.06.19 16:00:00,filled,
1766,2026.06.19 16:00:00,1701,GOLD#,buy,0.03,0.0,,,2026.06.19 16:00:00,filled,
1767,2026.06.19 16:00:00,1702,GOLD#,buy,0.03,0.0,4121.6,,2026.06.19 16:00:00,filled,V10_1001
1768,2026.06.22 04:00:00,1703,GOLD#,buy,0.03,0.0,4121.6,,2026.06.22 04:00:00,filled,V10_1002
1769,2026.06.22 08:00:00,1704,GOLD#,buy,0.01,0.0,4136.46,,2026.06.22 08:00:00,filled,V10_1003
1770,2026.06.22 20:00:00,1705,GOLD#,sell,0.01,0.0,,,2026.06.22 20:00:00,filled,
1771,2026.06.22 20:00:00,1706,GOLD#,sell,0.03,0.0,,,2026.06.22 20:00:00,filled,
1772,2026.06.22 20:00:00,1707,GOLD#,sell,0.03,0.0,,,2026.06.22 20:00:00,filled,
1773,2026.06.22 20:00:01,1708,GOLD#,sell,0.01,0.0,4215.13,,2026.06.22 20:00:01,filled,V10_1004
1774,2026.06.23 04:00:00,1709,GOLD#,buy,0.01,0.0,,,2026.06.23 04:00:00,filled,
1775,2026.06.23 04:00:00,1710,GOLD#,buy,0.03,0.0,4169.7,,2026.06.23 04:00:00,filled,V10_1005
1776,2026.06.23 04:33:35,1711,GOLD#,sell,0.03,0.0,,,2026.06.23 04:33:35,filled,sl 4169.70
1777,2026.06.23 08:00:00,1712,GOLD#,sell,0.01,0.0,4198.34,,2026.06.23 08:00:00,filled,V10_1006
1778,2026.06.23 20:00:00,1713,GOLD#,buy,0.01,0.0,,,2026.06.23 20:00:00,filled,
1779,2026.06.23 20:00:00,1714,GOLD#,buy,0.03,0.0,4105.32,,2026.06.23 20:00:00,filled,V10_1007
1780,2026.06.24 01:22:54,1715,GOLD#,sell,0.03,0.0,,,2026.06.24 01:22:54,filled,sl 4105.32
1781,2026.06.25 16:00:00,1716,GOLD#,buy,0.03,0.0,3971.34,,2026.06.25 16:00:00,filled,V10_1008
1782,2026.06.25 20:00:00,1717,GOLD#,buy,0.01,0.0,3973.66,,2026.06.25 20:00:00,filled,V10_1009
1783,2026.06.26 04:00:00,1718,GOLD#,sell,0.01,0.0,,,2026.06.26 04:00:00,filled,
1784,2026.06.26 04:00:00,1719,GOLD#,sell,0.03,0.0,,,2026.06.26 04:00:00,filled,
1785,2026.06.26 04:00:00,1720,GOLD#,sell,0.03,0.0,4044.18,,2026.06.26 04:00:00,filled,V10_1010
1786,2026.06.26 08:00:00,1721,GOLD#,sell,0.01,0.0,4044.18,,2026.06.26 08:00:00,filled,V10_1011
1787,2026.06.26 12:00:00,1722,GOLD#,buy,0.01,0.0,,,2026.06.26 12:00:00,filled,
1788,2026.06.26 12:00:00,1723,GOLD#,buy,0.03,0.0,,,2026.06.26 12:00:00,filled,
1789,2026.06.26 12:00:00,1724,GOLD#,buy,0.03,0.0,3982.97,,2026.06.26 12:00:00,filled,V10_1012
1790,2026.06.26 16:00:00,1725,GOLD#,buy,0.03,0.0,3982.97,,2026.06.26 16:00:00,filled,V10_1013
1791,2026.06.26 20:00:00,1726,GOLD#,buy,0.01,0.0,4035.75,,2026.06.26 20:00:00,filled,V10_1014
1792,2026.06.29 04:00:00,1727,GOLD#,sell,0.01,0.0,,,2026.06.29 04:00:00,filled,
1793,2026.06.29 04:00:00,1728,GOLD#,sell,0.03,0.0,,,2026.06.29 04:00:00,filled,
1794,2026.06.29 04:00:00,1729,GOLD#,sell,0.03,0.0,,,2026.06.29 04:00:00,filled,
1795,2026.06.29 04:00:01,1730,GOLD#,sell,0.03,0.0,4089.85,,2026.06.29 04:00:01,filled,V10_1015
1796,2026.06.29 08:00:00,1731,GOLD#,sell,0.01,0.0,4089.85,,2026.06.29 08:00:00,filled,V10_1016
1797,2026.06.30 12:00:00,1732,GOLD#,buy,0.01,0.0,,,2026.06.30 12:00:00,filled,
1798,2026.06.30 12:00:00,1733,GOLD#,buy,0.03,0.0,,,2026.06.30 12:00:00,filled,
1799,2026.06.30 12:00:00,1734,GOLD#,buy,0.03,0.0,3942.28,,2026.06.30 12:00:00,filled,V10_1017
1800,2026.06.30 16:00:00,1735,GOLD#,buy,0.01,0.0,3942.28,,2026.06.30 16:00:00,filled,V10_1018
1801,2026.07.01 04:00:00,1736,GOLD#,sell,0.01,0.0,4063.29,,2026.07.01 04:00:00,filled,V10_1020
1802,2026.07.01 08:00:00,1737,GOLD#,sell,0.01,0.0,4063.29,,2026.07.01 08:00:00,filled,V10_1021
1803,2026.07.01 16:00:00,1738,GOLD#,buy,0.01,0.0,,,2026.07.01 16:00:00,filled,
1804,2026.07.01 16:00:00,1739,GOLD#,buy,0.01,0.0,,,2026.07.01 16:00:00,filled,
1805,2026.07.01 16:00:00,1740,GOLD#,buy,0.03,0.0,3960.15,,2026.07.01 16:00:00,filled,V10_1022
1806,2026.07.01 20:00:00,1741,GOLD#,buy,0.03,0.0,3960.15,,2026.07.01 20:00:00,filled,V10_1023
1807,2026.07.02 04:00:00,1742,GOLD#,sell,0.03,0.0,,,2026.07.02 04:00:00,filled,
1808,2026.07.02 04:00:00,1743,GOLD#,sell,0.03,0.0,,,2026.07.02 04:00:00,filled,
1809,2026.07.02 04:00:00,1744,GOLD#,sell,0.01,0.0,,,2026.07.02 04:00:00,filled,
1810,2026.07.02 04:00:00,1745,GOLD#,sell,0.03,0.0,,,2026.07.02 04:00:00,filled,
1811,2026.07.02 04:00:01,1746,GOLD#,sell,0.01,0.0,4115.53,,2026.07.02 04:00:01,filled,V10_1024
1812,2026.07.02 08:00:00,1747,GOLD#,buy,0.01,0.0,,,2026.07.02 08:00:00,filled,
1813,2026.07.02 08:00:00,1748,GOLD#,buy,0.01,0.0,4030.68,,2026.07.02 08:00:00,filled,V10_1025
1814,2026.07.06 08:00:00,1749,GOLD#,sell,0.01,0.0,,,2026.07.06 08:00:00,filled,
1815,2026.07.06 08:00:00,1750,GOLD#,sell,0.03,0.0,4202.99,,2026.07.06 08:00:00,filled,V10_1027
1816,2026.07.06 12:00:00,1751,GOLD#,sell,0.01,0.0,4202.99,,2026.07.06 12:00:00,filled,V10_1028
1817,2026.07.07 04:00:00,1752,GOLD#,sell,0.03,0.0,4168.49,,2026.07.07 04:00:00,filled,V10_1030
1818,2026.07.07 08:00:00,1753,GOLD#,sell,0.01,0.0,4168.49,,2026.07.07 08:00:00,filled,V10_1031
1819,2026.07.07 15:09:42,1754,GOLD#,buy,0.03,0.0,,,2026.07.07 15:09:42,filled,sl 4168.49
1820,2026.07.07 15:09:42,1755,GOLD#,buy,0.01,0.0,,,2026.07.07 15:09:42,filled,sl 4168.49
1821,2026.07.07 16:00:00,1756,GOLD#,buy,0.01,0.0,,,2026.07.07 16:00:00,filled,
1822,2026.07.07 16:00:00,1757,GOLD#,buy,0.03,0.0,,,2026.07.07 16:00:00,filled,
1823,2026.07.07 16:00:00,1758,GOLD#,buy,0.03,0.0,4119.73,,2026.07.07 16:00:00,filled,V10_1032
1824,2026.07.07 20:00:00,1759,GOLD#,buy,0.01,0.0,4119.73,,2026.07.07 20:00:00,filled,V10_1033
1825,2026.07.07 22:01:06,1760,GOLD#,sell,0.03,0.0,,,2026.07.07 22:01:06,filled,sl 4119.73
1826,2026.07.07 22:01:06,1761,GOLD#,sell,0.01,0.0,,,2026.07.07 22:01:06,filled,sl 4119.73
1827,2026.07.08 08:00:00,1762,GOLD#,buy,0.03,0.0,4092.19,,2026.07.08 08:00:00,filled,V10_1035
1828,2026.07.08 11:17:57,1763,GOLD#,sell,0.03,0.0,,,2026.07.08 11:17:57,filled,sl 4092.19
1829,2026.07.08 12:00:00,1764,GOLD#,sell,0.01,0.0,4133.84,,2026.07.08 12:00:00,filled,V10_1036
1830,2026.07.09 04:00:00,1765,GOLD#,buy,0.01,0.0,4021.72,,2026.07.09 04:00:00,filled,V10_1038
1831,2026.07.09 08:00:00,1766,GOLD#,sell,0.01,0.0,,,2026.07.09 08:00:00,filled,
1832,2026.07.09 08:00:00,1767,GOLD#,sell,0.01,0.0,4089.72,,2026.07.09 08:00:00,filled,V10_1039
1833,2026.07.09 09:00:17,1768,GOLD#,buy,0.01,0.0,,,2026.07.09 09:00:17,filled,sl 4089.72
1834,2026.07.09 12:00:00,1769,GOLD#,buy,0.01,0.0,,,2026.07.09 12:00:00,filled,
1835,2026.07.09 12:00:00,1770,GOLD#,buy,0.03,0.0,4054.18,,2026.07.09 12:00:00,filled,V10_1040
1836,2026.07.09 16:00:00,1771,GOLD#,buy,0.01,0.0,4093.7,,2026.07.09 16:00:00,filled,V10_1041
1837,2026.07.09 20:00:00,1772,GOLD#,buy,0.01,0.0,4093.7,,2026.07.09 20:00:00,filled,V10_1042
1838,2026.07.10 08:00:00,1773,GOLD#,sell,0.01,0.0,,,2026.07.10 08:00:00,filled,
1839,2026.07.10 08:00:00,1774,GOLD#,sell,0.01,0.0,,,2026.07.10 08:00:00,filled,
1840,2026.07.10 08:00:00,1775,GOLD#,sell,0.03,0.0,,,2026.07.10 08:00:00,filled,
1841,2026.07.10 08:00:01,1776,GOLD#,sell,0.03,0.0,4138.04,,2026.07.10 08:00:01,filled,V10_1043
1842,2026.07.10 12:00:00,1777,GOLD#,sell,0.01,0.0,4134.8,,2026.07.10 12:00:00,filled,V10_1044
1843,2026.07.13 04:00:00,1778,GOLD#,sell,0.03,0.0,4120.83,,2026.07.13 04:00:00,filled,V10_1046
1844,2026.07.13 08:00:00,1779,GOLD#,sell,0.01,0.0,4120.83,,2026.07.13 08:00:00,filled,V10_1047
1845,2026.07.14 08:00:00,1780,GOLD#,buy,0.01,0.0,,,2026.07.14 08:00:00,filled,
1846,2026.07.14 08:00:00,1781,GOLD#,buy,0.03,0.0,,,2026.07.14 08:00:00,filled,
1847,2026.07.14 08:00:00,1782,GOLD#,buy,0.01,0.0,,,2026.07.14 08:00:00,filled,
1848,2026.07.14 08:00:01,1783,GOLD#,buy,0.03,0.0,,,2026.07.14 08:00:01,filled,
1849,2026.07.14 08:00:01,1784,GOLD#,buy,0.03,0.0,3983.47,,2026.07.14 08:00:01,filled,V10_1048
1850,2026.07.14 12:00:00,1785,GOLD#,buy,0.01,0.0,3983.47,,2026.07.14 12:00:00,filled,V10_1049
1851,2026.07.14 16:00:00,1786,GOLD#,buy,0.03,0.0,4013.64,,2026.07.14 16:00:00,filled,V10_1050
1852,2026.07.15 04:00:00,1787,GOLD#,sell,0.01,0.0,4100.54,,2026.07.15 04:00:00,filled,V10_1052
1853,2026.07.15 08:00:00,1788,GOLD#,sell,0.01,0.0,4062.05,,2026.07.15 08:00:00,filled,V10_1053
1854,2026.07.15 15:36:59,1789,GOLD#,buy,0.01,0.0,,,2026.07.15 15:36:59,filled,sl 4062.05
1855,2026.07.15 16:00:00,1790,GOLD#,buy,0.01,0.0,,,2026.07.15 16:00:00,filled,
1856,2026.07.15 16:00:00,1791,GOLD#,buy,0.03,0.0,4017.34,,2026.07.15 16:00:00,filled,V10_1054
1857,2026.07.15 20:00:00,1792,GOLD#,sell,0.03,0.0,,,2026.07.15 20:00:00,filled,
1858,2026.07.15 20:00:00,1793,GOLD#,sell,0.03,0.0,,,2026.07.15 20:00:00,filled,
1859,2026.07.15 20:00:00,1794,GOLD#,sell,0.01,0.0,,,2026.07.15 20:00:00,filled,
1860,2026.07.15 20:00:01,1795,GOLD#,sell,0.03,0.0,,,2026.07.15 20:00:01,filled,
1861,2026.07.15 20:00:01,1796,GOLD#,sell,0.03,0.0,4074.08,,2026.07.15 20:00:01,filled,V10_1055
