prior,market,year,state,oppN,fillN,h1,h3,h5,mfe24,mae24
s1,XAUEUR,2023,OPPOSED,29,28,0.42857142857142855,0.14285714285714285,0.10714285714285714,0.35452942083096683,0.41442492138291276
s1,XAUEUR,2024,ALIGNED,11,10,0.3,0.1,0.1,0.217406901015468,0.5237630684707117
s1,XAUEUR,2024,OPPOSED,24,23,0.30434782608695654,0.17391304347826086,0.13043478260869565,0.2574665793240628,0.35713582192455834
s1,XAUEUR,2025,ALIGNED,13,12,0.4166666666666667,0.3333333333333333,0.25,0.5330930890282732,0.4093847718353961
s1,XAUEUR,2025,OPPOSED,31,29,0.4827586206896552,0.2413793103448276,0.1724137931034483,0.25866612979976805,0.3985732645420806
s2,BTCUSD,2023,ALIGNED,25,25,0.32,0.08,0.08,0.24589609898722317,0.4518382682650841
s2,BTCUSD,2023,OPPOSED,65,64,0.515625,0.25,0.1875,0.27750325378643986,0.40609796012278115
s2,BTCUSD,2024,ALIGNED,11,11,0.2727272727272727,0.2727272727272727,0.18181818181818182,0.4067310883682865,0.4857643802470971
s2,BTCUSD,2024,OPPOSED,45,44,0.36363636363636365,0.20454545454545456,0.1590909090909091,0.33854146200277613,0.4726832297413098
s2,BTCUSD,2025,ALIGNED,16,14,0.5,0.35714285714285715,0.2857142857142857,0.6372968087256499,0.2574655341850568
s2,BTCUSD,2025,OPPOSED,51,49,0.4489795918367347,0.20408163265306123,0.061224489795918366,0.37367878287579925,0.37549633672267013
s2,GOLD,2022,ALIGNED,18,17,0.47058823529411764,0.23529411764705882,0.17647058823529413,0.3130939205434566,0.42032592116882145
s2,GOLD,2022,OPPOSED,33,29,0.5172413793103449,0.27586206896551724,0.20689655172413793,0.4151433910146978,0.3396752993427979
s2,GOLD,2023,ALIGNED,10,9,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.42131844763424686,0.3517396509813975
s2,GOLD,2023,OPPOSED,32,30,0.5333333333333333,0.3,0.16666666666666666,0.3707843810018807,0.40213078844629946
s2,GOLD,2024,ALIGNED,8,6,0.8333333333333334,0.5,0.3333333333333333,0.8049144415195371,0.15590551430844604
s2,GOLD,2024,OPPOSED,35,33,0.5151515151515151,0.30303030303030304,0.24242424242424243,0.34538733526197113,0.3456555223339711
s2,GOLD,2025,ALIGNED,11,9,0.5555555555555556,0.4444444444444444,0.4444444444444444,0.5334550888261552,0.16154740162709405
s2,GOLD,2025,OPPOSED,21,20,0.5,0.25,0.2,0.3974214869030668,0.3208265134228925
s2,USDJPY,2023,ALIGNED,9,9,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.6064624098867407,0.2770743257154646
s2,USDJPY,2023,OPPOSED,30,28,0.39285714285714285,0.14285714285714285,0.14285714285714285,0.22955250557175105,0.5001006657766811
s2,USDJPY,2024,ALIGNED,17,16,0.5625,0.3125,0.0625,0.20362014145520682,0.7596549252273881
s2,USDJPY,2024,OPPOSED,20,17,0.5294117647058824,0.17647058823529413,0.11764705882352941,0.4583767228177709,0.666612496952951
s2,USDJPY,2025,ALIGNED,10,9,0.5555555555555556,0.2222222222222222,0.1111111111111111,0.3258017492711173,0.3237159811745443
s2,USDJPY,2025,OPPOSED,29,29,0.41379310344827586,0.2413793103448276,0.06896551724137931,0.3519048058297189,0.44090093681482107
s2,XAUEUR,2023,ALIGNED,12,12,0.5,0.4166666666666667,0.25,0.496535970800119,0.3068909026804709
s2,XAUEUR,2023,OPPOSED,33,32,0.46875,0.09375,0.0625,0.320829065362801,0.41442492138291276
s2,XAUEUR,2024,ALIGNED,10,9,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.4407277971930957,0.4211199479094121
s2,XAUEUR,2024,OPPOSED,25,24,0.3333333333333333,0.16666666666666666,0.125,0.19293509627434346,0.4020414183142358
s2,XAUEUR,2025,ALIGNED,9,9,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.5985061511423557,0.46354107266902933
s2,XAUEUR,2025,OPPOSED,35,32,0.53125,0.3125,0.21875,0.30187188962619005,0.371528695113016
s3,BTCUSD,2023,ALIGNED,19,19,0.42105263157894735,0.10526315789473684,0.10526315789473684,0.2903893353866902,0.40223983732471086
s3,BTCUSD,2023,OPPOSED,54,53,0.5471698113207547,0.2641509433962264,0.20754716981132076,0.3413535721589119,0.40803227328045033
s3,BTCUSD,2023,NEUTRAL,17,17,0.23529411764705882,0.11764705882352941,0.058823529411764705,0.12342183692301097,0.4518382682650841
s3,BTCUSD,2024,ALIGNED,7,7,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.4067310883682865,0.4857643802470971
s3,BTCUSD,2024,OPPOSED,34,34,0.38235294117647056,0.20588235294117646,0.14705882352941177,0.3440558162681109,0.4726832297413098
s3,BTCUSD,2024,NEUTRAL,15,14,0.2857142857142857,0.21428571428571427,0.14285714285714285,0.2686962329100292,0.4759408367657083
