idx,year,stage,direction,p_stop,mu_nonstop,EV,R,pnl,rid,L,decision,neg_pstop,source,w
4903,2025,k1,SHORT,0.15308546,0.137941318266459,-0.0362609485987361,0.3676654182272226,11.7800000000002,1621,4,2025-05-28 20:00:00,-0.15308546,mu_nonstop,0
4904,2025,k2,SHORT,0.0974636370954366,0.0091660572303682,-0.089190937140565,0.1817251960450185,5.330000000000382,1621,4,2025-05-29 00:00:00,-0.0974636370954366,EV,0
4905,2025,k3p,SHORT,0.09213055,0.058026291285538,-0.0394502516213607,-0.3972257067526157,-16.659999999999854,1621,4,2025-05-29 04:00:00,-0.09213055,neg_pstop,1
4906,2025,k3p,SHORT,0.27972588,0.1226356309868121,-0.1913946118261188,-0.4251389494524554,-12.519999999999982,1621,4,2025-05-29 08:00:00,-0.27972588,neg_pstop,0
4907,2025,k1,LONG,0.14359766,0.2794819798114379,0.0957513583650465,0.8508820286659471,30.870000000000346,1622,4,2025-05-29 12:00:00,-0.14359766,mu_nonstop,0
4908,2025,k2,LONG,0.0714693470883133,0.401857255583783,0.3016674328161953,-0.0763585878619576,-3.849999999999909,1622,4,2025-05-29 16:00:00,-0.0714693470883133,mu_nonstop,3
4909,2025,k3p,LONG,0.045249684197899,0.3064018357995333,0.2472875652940488,-0.2087782323794074,-9.61999999999989,1622,4,2025-05-29 20:00:00,-0.045249684197899,mu_nonstop,3
4910,2025,k3p,LONG,0.114648009919591,0.2439849464920123,0.1013645480067741,-0.1905513765947814,-6.009999999999764,1622,4,2025-05-30 00:00:00,-0.114648009919591,mu_nonstop,3
4911,2025,k1,SHORT,0.6426478,0.4988543322339998,-0.4643811111380209,0.0954545454545633,1.2600000000002185,1623,6,2025-05-30 04:00:00,-0.6426478,mu_nonstop,1
4912,2025,k2,SHORT,0.3007143076247792,0.0733759180990901,-0.2494035779331894,-0.6095779220779245,-15.019999999999982,1623,6,2025-05-30 08:00:00,-0.3007143076247792,EV,0
4913,2025,k3p,SHORT,0.11498505,0.1120930111850602,-0.0157810579438359,-0.5775222551928836,-15.570000000000164,1623,6,2025-05-30 12:00:00,-0.11498505,neg_pstop,1
