idx,year,stage,direction,p_stop,mu_nonstop,EV,R,pnl,rid,L,decision,neg_pstop
6425,2026,k3p,SHORT,0.05892402,-0.050285988981526,-0.1062469557311139,0.1376525693398637,9.390000000000327,2095,10,2026-06-08 04:00:00,-0.05892402
6426,2026,k3p,SHORT,0.07380406,-0.0469332705538311,-0.1172734618109468,-0.3434209210126462,-20.340000000000146,2095,10,2026-06-08 08:00:00,-0.07380406
6427,2026,k3p,SHORT,0.05481648,-0.0462277233717079,-0.0985101628182876,-0.6969135293438355,-44.18000000000029,2095,10,2026-06-08 12:00:00,-0.05481648
6437,2026,k3p,SHORT,0.04323039,-0.0482042672376867,-0.0893507651031399,1.3940975532951965,135.4300000000003,2099,9,2026-06-10 04:00:00,-0.04323039
6438,2026,k3p,SHORT,0.04282934,-0.081046020601889,-0.1204042119176811,0.8214370860086498,92.19000000000052,2099,9,2026-06-10 08:00:00,-0.04282934
6439,2026,k3p,SHORT,0.056027543,-0.0410394972119477,-0.09476769828379,0.9516844209555914,86.30000000000018,2099,9,2026-06-10 12:00:00,-0.056027543
6440,2026,k3p,SHORT,0.04255119,-0.0505198950900508,-0.0909214046190551,0.7954424289586517,64.31999999999971,2099,9,2026-06-10 16:00:00,-0.04255119
6441,2026,k3p,SHORT,0.067166284,-0.0659753621212368,-0.1287103269398323,0.4750543334586935,39.34000000000015,2099,9,2026-06-10 20:00:00,-0.067166284
6442,2026,k3p,SHORT,0.04282934,-0.0737906698024932,-0.1134596029662988,-0.096351893873276,-11.039999999999964,2099,9,2026-06-11 00:00:00,-0.04282934
6443,2026,k3p,SHORT,0.045744717,-0.022722552816316,-0.0674278331865881,-0.0813513568334861,-6.899999999999636,2099,9,2026-06-11 04:00:00,-0.045744717
6466,2026,k3p,SHORT,0.6663038,0.8830140802001765,-0.3716453822313472,-1.0,-5.8200000000006185,2107,5,2026-06-17 04:00:00,-0.6663038
6467,2026,k3p,SHORT,0.69611067,1.163567996562174,-0.342514762024371,-0.4554724677090898,-6.700000000000728,2107,5,2026-06-17 08:00:00,-0.69611067
6468,2026,k3p,SHORT,0.72343934,0.8192754762779885,-0.496859965959739,-0.351643945469149,-8.770000000000437,2107,5,2026-06-17 12:00:00,-0.72343934
6476,2026,k3p,SHORT,0.050428532,-0.0514437694029366,-0.0992780688419284,0.4963044703124344,40.44000000000051,2111,7,2026-06-18 20:00:00,-0.050428532
6477,2026,k3p,SHORT,0.045589596,-0.0958733821968297,-0.1370921523224954,0.4731168058413282,32.039999999999964,2111,7,2026-06-19 00:00:00,-0.045589596
6478,2026,k3p,SHORT,0.046048626,-0.0790617432308224,-0.1214696836874304,0.1651770601417569,11.329999999999927,2111,7,2026-06-19 04:00:00,-0.046048626
6479,2026,k3p,SHORT,0.04323039,-0.0829621228152631,-0.1226060241807703,-0.4780115578141868,-53.39999999999964,2111,7,2026-06-19 08:00:00,-0.04323039
6480,2026,k3p,SHORT,0.2056854,-0.0707679753183898,-0.2618974445502333,-0.2021217120165802,-10.0,2111,7,2026-06-19 12:00:00,-0.2056854
6491,2026,k3p,SHORT,0.056758173,-0.0700215000363574,-0.1228053809686514,-0.3503435161836742,-20.94999999999981,2117,3,2026-06-23 16:00:00,-0.056758173
6495,2026,k3p,SHORT,0.05726362,-0.0506347983737159,-0.1049988870858843,0.8626434563154747,51.91999999999962,2119,10,2026-06-24 08:00:00,-0.05726362
6496,2026,k3p,SHORT,0.26507667,-0.0974269690406395,-0.3366780227785156,1.72652676904065,63.61999999999989,2119,10,2026-06-24 12:00:00,-0.26507667
6497,2026,k3p,SHORT,0.05704642,-0.0868886975058441,-0.1389784298184701,-0.2234713463120391,-24.45000000000028,2119,10,2026-06-24 16:00:00,-0.05704642
6498,2026,k3p,SHORT,0.049490344,-0.0788935928188941,-0.124479466449331,-0.0745704693134518,-5.860000000000127,2119,10,2026-06-24 20:00:00,-0.049490344
6499,2026,k3p,SHORT,0.23583981,-0.0098740822754268,-0.2433851942020931,-0.144501630464262,-7.8400000000001455,2119,10,2026-06-25 00:00:00,-0.23583981
6500,2026,k3p,SHORT,0.26581636,-0.0246306598197276,-0.2838997889106133,-0.5528295759143427,-21.15000000000009,2119,10,2026-06-25 04:00:00,-0.26581636
6501,2026,k3p,SHORT,0.70066327,1.134072636233408,-0.3611936724274328,-1.0,-22.60999999999968,2119,10,2026-06-25 08:00:00,-0.70066327
6502,2026,k3p,SHORT,0.6065887,1.1426419201410387,-0.1570605023482308,-1.0,-16.690000000000055,2119,10,2026-06-25 12:00:00,-0.6065887
6513,2026,k3p,SHORT,0.48341936,0.207739490059008,-0.3761051597385967,1.1015706806282668,31.559999999999945,2123,8,2026-06-29 12:00:00,-0.48341936
6514,2026,k3p,SHORT,0.6436156,0.4438911322913866,-0.4854197301300491,1.1390675241157382,28.33999999999969,2123,8,2026-06-29 16:00:00,-0.6436156
6515,2026,k3p,SHORT,0.41095552,0.0284082094360068,-0.3942218203327189,0.2449249506179875,8.519999999999982,2123,8,2026-06-29 20:00:00,-0.41095552
6516,2026,k3p,SHORT,0.3753069,0.037203350064209,-0.3520662283945203,0.0905818836232756,3.019999999999982,2123,8,2026-06-30 00:00:00,-0.3753069
6517,2026,k3p,SHORT,0.18851966,-0.0446387462489868,-0.2247431217906491,-0.5318811909246993,-28.26000000000022,2123,8,2026-06-30 04:00:00,-0.18851966
6518,2026,k3p,SHORT,0.2872853,-0.0146623257044231,-0.2977353527655391,-1.0,-44.34108325523721,2123,8,2026-06-30 08:00:00,-0.2872853
6524,2026,k3p,SHORT,0.17717989,0.0069701060161325,-0.1714447443733459,-1.0,-41.84999999999991,2125,4,2026-07-01 08:00:00,-0.17717989
6525,2026,k3p,SHORT,0.19893771,0.0010436921371906,-0.19810165169069,-1.0,-37.16235221293118,2125,4,2026-07-01 12:00:00,-0.19893771
6542,2026,k3p,SHORT,0.3515266,0.0908320656132063,-0.2926244114196302,-0.6768629973879564,-24.58000000000084,2131,4,2026-07-06 16:00:00,-0.3515266
6543,2026,k3p,SHORT,0.6100656,0.6415624579977548,-0.3598982940855191,-1.0,-10.679793348030216,2131,4,2026-07-06 20:00:00,-0.6100656
6547,2026,k3p,SHORT,0.25360984,0.1135629979546946,-0.168847531445326,-1.0,-29.42264333425192,2133,3,2026-07-07 12:00:00,-0.25360984
6555,2026,k3p,SHORT,0.31796244,-0.0450297174032806,-0.3486743978913295,-0.2957988008404268,-12.320000000000164,2137,3,2026-07-08 20:00:00,-0.31796244
6566,2026,k3p,SHORT,0.6665121,0.7600565860560934,-0.4130423761053528,-1.0,-20.046700406348464,2141,4,2026-07-10 16:00:00,-0.6665121
6567,2026,k3p,SHORT,0.58605254,0.4132645598422382,-0.4149827208552049,-1.0,-13.269999999999529,2141,4,2026-07-10 20:00:00,-0.58605254
6570,2026,k3p,SHORT,0.6338826,0.4590351032300325,-0.4658218355078487,2.668087836860456,54.09999999999991,2143,7,2026-07-13 12:00:00,-0.6338826
6571,2026,k3p,SHORT,0.61531407,1.117618517812067,-0.1853819434881299,3.333841773402831,47.059999999999945,2143,7,2026-07-13 16:00:00,-0.61531407
6572,2026,k3p,SHORT,0.061609823,-0.052209751759541,-0.1106029424105713,-0.3212347763173752,-26.63999999999988,2143,7,2026-07-13 20:00:00,-0.061609823
6573,2026,k3p,SHORT,0.044947084,-0.0603293477171252,-0.1025648032699437,-0.2282600072000616,-14.590000000000146,2143,7,2026-07-14 00:00:00,-0.044947084
6574,2026,k3p,SHORT,0.24320874,-0.0924538456693546,-0.3131769961349335,-0.3568947126138785,-16.009999999999764,2143,7,2026-07-14 04:00:00,-0.24320874
6581,2026,k3p,SHORT,0.4606563,0.1904071017109041,-0.3579614117412547,-1.0,-27.320000000000164,2145,4,2026-07-15 08:00:00,-0.4606563
6582,2026,k3p,SHORT,0.28086823,0.092623554873445,-0.2142596914988037,-1.0,-30.90000000000009,2145,4,2026-07-15 12:00:00,-0.28086823
6589,2026,k3p,SHORT,0.07472714,-0.0944866775843127,-0.1621531008446283,0.1967458321058648,10.470000000000256,2149,6,2026-07-16 16:00:00,-0.07472714
6590,2026,k3p,SHORT,0.074528225,-0.111302640212376,-0.1775356776210742,0.2081704456606729,10.650000000000093,2149,6,2026-07-16 20:00:00,-0.074528225
6591,2026,k3p,SHORT,0.13010545,-0.0764943068694283,-0.1966474324836699,-0.0713415602675286,-3.4899999999997817,2149,6,2026-07-17 00:00:00,-0.13010545
6592,2026,k3p,SHORT,0.50961286,0.7067273483684798,-0.1630428539645795,0.5722547966892991,10.470000000000256,2149,6,2026-07-17 04:00:00,-0.50961286
6617,2026,k3p,SHORT,0.2905854,0.0824986251326243,-0.2320596694156083,0.7469601677148898,35.63000000000011,2159,8,2026-07-23 12:00:00,-0.2905854
6618,2026,k3p,SHORT,0.06844054,0.0769440524830171,0.0032374170846766,0.0595497458242543,4.099999999999909,2159,8,2026-07-23 16:00:00,-0.06844054
6619,2026,k3p,SHORT,0.053459074,-0.0468117638933007,-0.097768325895881,-0.0937174073967478,-6.190000000000055,2159,8,2026-07-23 20:00:00,-0.053459074
6620,2026,k3p,SHORT,0.08798252,-0.0733288633688812,-0.1548597245155379,-0.1767401274818779,-8.699999999999818,2159,8,2026-07-24 00:00:00,-0.08798252
6621,2026,k3p,SHORT,0.24782152,0.1261698373723795,-0.152919286960537,-0.2901506467116894,-7.779999999999745,2159,8,2026-07-24 04:00:00,-0.24782152
6622,2026,k3p,SHORT,0.23815595,-0.0301023838515299,-0.2610892678313946,-0.8542519075918612,-30.539999999999964,2159,8,2026-07-24 08:00:00,-0.23815595
6631,2026,k3p,SHORT,0.71838725,0.6289852137116199,-0.5412569879562503,2.8102040816326843,41.309999999999945,2163,11,2026-07-28 00:00:00,-0.71838725
6632,2026,k3p,SHORT,0.30579302,0.0862776877673831,-0.2458984464078889,0.6311111111111146,19.88000000000011,2163,11,2026-07-28 04:00:00,-0.30579302
6633,2026,k3p,SHORT,0.20153782,-0.0286265670889918,-0.2243950480926189,0.0999898082700056,4.089999999999691,2163,11,2026-07-28 08:00:00,-0.20153782
6634,2026,k3p,SHORT,0.24188308,0.0161418969859162,-0.2296456392600242,0.2447015234179559,7.5,2163,11,2026-07-28 12:00:00,-0.24188308
6635,2026,k3p,SHORT,0.3130131,-0.03934111689058,-0.3400399394331593,-0.2532261710218382,-8.539999999999964,2163,11,2026-07-28 16:00:00,-0.3130131
6636,2026,k3p,SHORT,0.59717166,0.7143406065530327,-0.3094150265329832,-0.0246534706542312,-0.4000000000000909,2163,11,2026-07-28 20:00:00,-0.59717166
6637,2026,k3p,SHORT,0.5921309,1.0355982480876842,-0.1697423734292269,-1.0,-18.3100000000004,2163,11,2026-07-29 00:00:00,-0.5921309
6638,2026,k3p,SHORT,0.62161857,1.001681998622019,-0.2426007007487822,-1.0,-19.81999999999971,2163,11,2026-07-29 04:00:00,-0.62161857
