phase,year,m5_index,direction,decision,accept_time,conf_time,preconf_same75,preconf_opp75,postconf_same75_H60,postconf_opp75_H60,postconf_same75_H120,postconf_opp75_H120,postconf_same75_H240,postconf_opp75_H240
0,2025,266162,-1,2025-10-02 17:15:00,2025-10-02 17:32:00,2025-10-02 17:47:00,True,False,1.0,0.0,1,0,1,0
0,2025,266179,1,2025-10-02 18:40:00,2025-10-02 18:53:00,2025-10-02 19:08:00,False,False,1.0,0.0,1,0,1,0
0,2025,266738,1,2025-10-06 19:15:00,2025-10-06 19:37:00,2025-10-06 19:52:00,False,False,0.0,0.0,0,0,0,0
0,2025,267536,-1,2025-10-09 16:45:00,2025-10-09 16:53:00,2025-10-09 17:08:00,False,False,1.0,0.0,1,0,1,0
0,2025,267816,1,2025-10-10 17:05:00,2025-10-10 17:37:00,2025-10-10 17:52:00,False,False,0.0,0.0,1,0,1,0
0,2025,268588,1,2025-10-15 12:25:00,2025-10-15 12:46:00,2025-10-15 13:01:00,False,False,0.0,0.0,0,0,0,0
0,2025,269678,1,2025-10-21 11:15:00,2025-10-21 11:18:00,2025-10-21 11:33:00,False,False,0.0,0.0,0,0,0,0
0,2025,269752,-1,2025-10-21 17:25:00,2025-10-21 18:17:00,2025-10-21 18:32:00,True,False,,,0,0,1,0
0,2025,273884,-1,2025-11-11 16:45:00,2025-11-11 17:00:00,2025-11-11 17:15:00,False,False,1.0,0.0,1,0,1,0
0,2025,274174,1,2025-11-12 17:55:00,2025-11-12 18:13:00,2025-11-12 18:28:00,False,False,1.0,0.0,1,0,1,0
0,2025,274694,-1,2025-11-14 15:15:00,2025-11-14 15:23:00,2025-11-14 15:38:00,True,False,1.0,0.0,1,0,1,1
0,2025,277502,1,2025-12-01 01:10:00,2025-12-01 01:19:00,2025-12-01 01:34:00,False,False,0.0,0.0,1,0,1,0
0,2025,277802,1,2025-12-02 03:10:00,2025-12-02 03:23:00,2025-12-02 03:38:00,False,False,0.0,0.0,0,0,0,0
0,2025,278240,-1,2025-12-03 16:40:00,2025-12-03 17:39:00,2025-12-03 17:54:00,True,False,,,0,0,1,0
0,2025,278810,-1,2025-12-05 18:10:00,2025-12-05 18:12:00,2025-12-05 18:27:00,True,False,1.0,0.0,1,0,1,0
0,2025,279069,-1,2025-12-08 16:50:00,2025-12-08 17:02:00,2025-12-08 17:17:00,True,False,1.0,0.0,1,0,1,0
0,2025,279071,-1,2025-12-08 17:00:00,2025-12-08 17:29:00,2025-12-08 17:44:00,True,False,0.0,0.0,1,0,1,0
0,2025,279343,1,2025-12-09 16:40:00,2025-12-09 16:44:00,2025-12-09 16:59:00,False,False,0.0,0.0,1,0,1,0
0,2025,280712,1,2025-12-16 15:45:00,2025-12-16 16:00:00,2025-12-16 16:15:00,False,False,1.0,0.0,1,0,1,0
0,2025,280996,1,2025-12-17 16:25:00,2025-12-17 16:38:00,2025-12-17 16:53:00,False,False,0.0,0.0,0,0,0,0
0,2025,281011,-1,2025-12-17 17:40:00,2025-12-17 18:10:00,2025-12-17 18:25:00,False,False,0.0,0.0,0,0,0,0
0,2025,281262,1,2025-12-18 15:35:00,2025-12-18 15:44:00,2025-12-18 15:59:00,False,False,0.0,0.0,0,1,1,1
0,2026,285708,1,2026-01-14 17:05:00,2026-01-14 17:36:00,2026-01-14 17:51:00,False,False,0.0,0.0,0,0,1,0
0,2026,285822,1,2026-01-15 03:35:00,2026-01-15 03:50:00,2026-01-15 04:05:00,False,False,0.0,0.0,0,0,0,0
0,2026,286241,1,2026-01-16 15:30:00,2026-01-16 15:42:00,2026-01-16 15:57:00,False,False,0.0,0.0,1,0,1,1
0,2026,286775,1,2026-01-20 16:35:00,2026-01-20 16:46:00,2026-01-20 17:01:00,False,False,0.0,0.0,0,0,1,0
0,2026,286891,1,2026-01-21 03:15:00,2026-01-21 03:27:00,2026-01-21 03:42:00,True,False,1.0,0.0,1,0,1,0
0,2026,286899,-1,2026-01-21 03:55:00,2026-01-21 04:04:00,2026-01-21 04:19:00,False,False,1.0,0.0,1,0,1,1
0,2026,287937,1,2026-01-26 21:25:00,2026-01-26 21:31:00,2026-01-26 21:46:00,False,False,0.0,0.0,1,0,1,0
0,2026,288227,1,2026-01-27 22:35:00,2026-01-27 22:49:00,2026-01-27 23:04:00,True,False,1.0,0.0,1,0,1,0
0,2026,288230,1,2026-01-27 22:50:00,2026-01-27 22:58:00,2026-01-27 23:13:00,False,False,0.0,0.0,0,0,0,0
0,2026,288528,-1,2026-01-29 01:40:00,2026-01-29 01:42:00,2026-01-29 01:57:00,True,False,1.0,0.0,1,0,1,0
0,2026,288708,-1,2026-01-29 16:40:00,2026-01-29 16:51:00,2026-01-29 17:06:00,True,False,1.0,0.0,1,0,1,0
0,2026,288823,1,2026-01-30 03:15:00,2026-01-30 03:23:00,2026-01-30 03:38:00,False,False,0.0,1.0,0,1,0,1
0,2026,288833,-1,2026-01-30 04:05:00,2026-01-30 04:12:00,2026-01-30 04:27:00,True,False,1.0,0.0,1,0,1,0
