H,phase,year,model,quarter,n,base,auc
120,2,2026,micro3_ext,2026Q2,44,0.38636363636363635,0.47058823529411764
120,2,2026,micro3_ext,2026Q3,17,0.5882352941176471,0.5857142857142857
120,2,2026,micro3_ext_inter,2026Q1,71,0.5211267605633803,0.665341812400636
120,2,2026,micro3_ext_inter,2026Q2,44,0.38636363636363635,0.46187363834422657
120,2,2026,micro3_ext_inter,2026Q3,17,0.5882352941176471,0.5714285714285714
240,0,2025,ext_only,2025Q1,60,0.48333333333333334,0.4471635150166852
240,0,2025,ext_only,2025Q2,49,0.6122448979591837,0.5333333333333333
240,0,2025,ext_only,2025Q3,53,0.5849056603773585,0.5395894428152492
240,0,2025,ext_only,2025Q4,52,0.5384615384615384,0.6622023809523809
240,0,2025,micro3,2025Q1,60,0.48333333333333334,0.5973303670745272
240,0,2025,micro3,2025Q2,49,0.6122448979591837,0.4614035087719298
240,0,2025,micro3,2025Q3,53,0.5849056603773585,0.6158357771260997
240,0,2025,micro3,2025Q4,52,0.5384615384615384,0.6026785714285714
240,0,2025,micro3_ext,2025Q1,60,0.48333333333333334,0.5261401557285873
240,0,2025,micro3_ext,2025Q2,49,0.6122448979591837,0.45964912280701753
240,0,2025,micro3_ext,2025Q3,53,0.5849056603773585,0.6099706744868035
240,0,2025,micro3_ext,2025Q4,52,0.5384615384615384,0.6547619047619048
240,0,2025,micro3_ext_inter,2025Q1,60,0.48333333333333334,0.525027808676307
240,0,2025,micro3_ext_inter,2025Q2,49,0.6122448979591837,0.4368421052631579
240,0,2025,micro3_ext_inter,2025Q3,53,0.5849056603773585,0.6173020527859238
240,0,2025,micro3_ext_inter,2025Q4,52,0.5384615384615384,0.6577380952380952
240,0,2026,ext_only,2026Q1,74,0.581081081081081,0.568642160540135
240,0,2026,ext_only,2026Q2,46,0.4782608695652174,0.5227272727272727
240,0,2026,ext_only,2026Q3,18,0.6666666666666666,0.5416666666666666
240,0,2026,micro3,2026Q1,74,0.581081081081081,0.6804201050262566
240,0,2026,micro3,2026Q2,46,0.4782608695652174,0.44886363636363635
240,0,2026,micro3,2026Q3,18,0.6666666666666666,0.5416666666666666
240,0,2026,micro3_ext,2026Q1,74,0.581081081081081,0.6946736684171043
240,0,2026,micro3_ext,2026Q2,46,0.4782608695652174,0.5037878787878788
240,0,2026,micro3_ext,2026Q3,18,0.6666666666666666,0.5416666666666666
240,0,2026,micro3_ext_inter,2026Q1,74,0.581081081081081,0.700675168792198
240,0,2026,micro3_ext_inter,2026Q2,46,0.4782608695652174,0.4772727272727273
