block,entry_ts,direction,entry,sl,sl_dist,atr180,sl_atr180,topology,d_same,d_opp,policy,status,exit_ts,exit_price,R,route_id,candidate_order,next_ts,next_ref,accepted_rank,role,hybrid_status,hybrid_exit_ts,hybrid_exit_price,hybrid_pnl,entry_spread_price,exit_spread_price,spread_cost,net_0x,net_1x,net_2x,net_3x
FULL_2022_202608,2025-08-19 16:10:00,DOWN,3326.09,3345.33,19.23999999999978,17.763439741885964,1.083123554872771,SAME_NEAREST,2.6200000000003456,32.26999999999998,MULTI_CHILD_ERA4,AMBIGUOUS,2025-08-20 16:44:00,,,294,1.0,2025-08-19 17:47:00,3323.47,1,ANCHOR_CHILD,AMBIGUOUS,2025-08-20 16:44:00,,,0.17,0.16,0.16,,,,
FULL_2022_202608,2025-08-19 17:47:00,DOWN,3323.47,3345.33,21.860000000000127,17.763439741885964,1.23061751088977,OPPOSITE_NEAREST,41.85999999999967,34.89000000000033,MULTI_CHILD_ERA4,AMBIGUOUS,2025-08-20 16:44:00,,,294,2.0,2025-08-20 16:44:00,3345.33,2,CONTINUATION_CHILD,AMBIGUOUS,2025-08-20 16:44:00,,,0.16,0.16,0.16,,,,
FULL_2022_202608,2025-08-22 15:12:00,DOWN,3325.13,3335.09,9.960000000000036,17.112818906347773,0.582019832881274,SAME_NEAREST,13.680000000000293,22.96000000000004,MULTI_CHILD_ERA4,SL,2025-08-22 16:40:00,3335.09,-1.0,295,1.0,2025-08-22 17:01:00,3348.09,1,ANCHOR_CHILD,SL,2025-08-22 16:40:00,3335.09,-9.960000000000036,0.16,0.17,0.17,-9.960000000000036,-10.130000000000036,-10.300000000000036,-10.470000000000036
FULL_2022_202608,2025-08-22 17:02:00,UP,3352.03,3320.88,31.15000000000009,17.075303245756952,1.8242721403932056,SAME_NEAREST,6.329999999999927,40.58000000000038,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2025-08-26 02:12:00,3359.76,0.2481540930979131,296,1.0,2025-08-22 17:10:00,3358.36,1,ANCHOR_CHILD,CHALLENGE_OPENS,2025-08-26 02:12:00,3359.76,7.730000000000018,0.17,0.17,0.17,7.730000000000018,7.560000000000018,7.390000000000018,7.220000000000018
FULL_2022_202608,2025-08-22 17:10:00,UP,3358.36,3320.88,37.48000000000002,17.075303245756952,2.19498297983747,SAME_NEAREST,16.420000000000073,46.91000000000031,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2025-08-26 02:12:00,3359.76,0.0373532550693727,296,2.0,2025-08-22 17:47:00,3374.78,2,CONTINUATION_CHILD,NEXT_H4_LIQ,2025-08-22 17:47:00,3374.78,16.420000000000073,0.16,0.16,0.16,16.420000000000073,16.260000000000073,16.100000000000072,15.940000000000072
FULL_2022_202608,2025-08-22 17:47:00,UP,3374.78,3320.88,53.90000000000009,17.075303245756952,3.156605726073633,SAME_NEAREST,30.019999999999985,63.33000000000038,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2025-08-26 02:12:00,3359.76,-0.2786641929499064,296,3.0,2025-08-26 02:12:00,3359.76,3,CONTINUATION_CHILD,NEXT_H4_LIQ,2025-08-26 02:12:00,3359.76,-15.019999999999982,0.16,0.17,0.16,-15.019999999999982,-15.179999999999982,-15.339999999999982,-15.499999999999982
FULL_2022_202608,2025-09-02 04:16:00,UP,3489.78,3474.21,15.570000000000164,16.634707520101486,0.9359948157300196,SAME_NEAREST,10.209999999999582,52.98000000000002,MULTI_CHILD_ERA4,SL,2025-09-02 10:53:00,3474.21,-1.0,297,10.0,2025-09-02 04:43:00,3499.99,10,CONTINUATION_CHILD,NEXT_H4_LIQ,2025-09-02 04:43:00,3499.99,10.209999999999582,0.17,0.17,0.17,10.209999999999582,10.039999999999582,9.869999999999582,9.699999999999582
FULL_2022_202608,2025-09-02 04:43:00,UP,3499.99,3474.21,25.779999999999745,16.634707520101486,1.5497717629749144,NO_SAME_TARGET,,63.1899999999996,MULTI_CHILD_ERA4,SL,2025-09-02 10:53:00,3474.21,-1.0,297,11.0,2025-09-02 17:44:00,3508.61,11,CONTINUATION_CHILD,SL,2025-09-02 10:53:00,3474.21,-25.779999999999745,0.17,0.19,0.17,-25.779999999999745,-25.949999999999747,-26.119999999999745,-26.289999999999747
FULL_2022_202608,2025-09-03 14:12:00,UP,3546.83,3526.72,20.110000000000127,16.995484156181426,1.183255493941661,NO_SAME_TARGET,,76.63000000000011,MULTI_CHILD_ERA4,SL,2025-09-04 05:54:00,3526.72,-1.0,297,13.0,2025-09-05 06:54:00,3558.72,13,CONTINUATION_CHILD,SL,2025-09-04 05:54:00,3526.72,-20.110000000000127,0.17,0.2,0.17,-20.110000000000127,-20.28000000000013,-20.450000000000127,-20.62000000000013
FULL_2022_202608,2025-08-26 03:23:00,UP,3378.75,3321.42,57.32999999999993,16.984031774775087,3.375523595354268,SAME_NEAREST,26.050000000000185,57.32999999999993,MULTI_CHILD_ERA4,CHALLENGE_OPENS,2025-09-11 12:13:00,3620.22,4.211930926216643,297,1.0,2025-08-26 18:55:00,3386.47,1,ANCHOR_CHILD,CHALLENGE_OPENS,2025-09-11 12:13:00,3620.22,241.4699999999998,0.16,0.16,0.16,241.4699999999998,241.3099999999998,241.1499999999998,240.9899999999998
