id,tf,side,price,source,known_at
H1_BSL_20220127_1200,H1,UP,1816.82,2022-01-27 12:00:00,2022-01-27 15:00:00
H1_SSL_20220127_1900,H1,DOWN,1791.72,2022-01-27 19:00:00,2022-01-27 22:00:00
H4_SSL_20220127_1600,H4,DOWN,1791.72,2022-01-27 16:00:00,2022-01-28 04:00:00
H1_BSL_20220128_0500,H1,UP,1799.31,2022-01-28 05:00:00,2022-01-28 08:00:00
H1_SSL_20220128_1300,H1,DOWN,1780.2,2022-01-28 13:00:00,2022-01-28 16:00:00
H4_BSL_20220128_0400,H4,UP,1799.31,2022-01-28 04:00:00,2022-01-28 16:00:00
H1_SSL_20220128_1600,H1,DOWN,1780.61,2022-01-28 16:00:00,2022-01-28 19:00:00
H1_BSL_20220128_1700,H1,UP,1792.95,2022-01-28 17:00:00,2022-01-28 20:00:00
H4_SSL_20220128_1200,H4,DOWN,1780.2,2022-01-28 12:00:00,2022-01-29 00:00:00
H1_BSL_20220128_2300,H1,UP,1791.86,2022-01-28 23:00:00,2022-01-31 03:00:00
H1_SSL_20220131_0300,H1,DOWN,1786.22,2022-01-31 03:00:00,2022-01-31 06:00:00
H1_SSL_20220131_0600,H1,DOWN,1785.53,2022-01-31 06:00:00,2022-01-31 09:00:00
H1_BSL_20220131_0700,H1,UP,1789.35,2022-01-31 07:00:00,2022-01-31 10:00:00
H1_SSL_20220131_0900,H1,DOWN,1785.97,2022-01-31 09:00:00,2022-01-31 12:00:00
H1_BSL_20220131_1600,H1,UP,1799.63,2022-01-31 16:00:00,2022-01-31 19:00:00
H1_BSL_20220131_2100,H1,UP,1799.85,2022-01-31 21:00:00,2022-02-01 00:00:00
H1_SSL_20220201_0200,H1,DOWN,1796.44,2022-02-01 02:00:00,2022-02-01 05:00:00
H1_BSL_20220201_0300,H1,UP,1799.32,2022-02-01 03:00:00,2022-02-01 06:00:00
H1_SSL_20220201_0500,H1,DOWN,1795.66,2022-02-01 05:00:00,2022-02-01 08:00:00
H1_BSL_20220201_1500,H1,UP,1808.72,2022-02-01 15:00:00,2022-02-01 18:00:00
H1_SSL_20220201_1700,H1,DOWN,1797.69,2022-02-01 17:00:00,2022-02-01 20:00:00
H1_BSL_20220201_1800,H1,UP,1807.87,2022-02-01 18:00:00,2022-02-01 21:00:00
H4_BSL_20220201_1200,H4,UP,1808.72,2022-02-01 12:00:00,2022-02-02 00:00:00
H1_SSL_20220201_2200,H1,DOWN,1798.43,2022-02-01 22:00:00,2022-02-02 02:00:00
H1_BSL_20220201_2300,H1,UP,1802.26,2022-02-01 23:00:00,2022-02-02 03:00:00
H4_SSL_20220201_1600,H4,DOWN,1797.69,2022-02-01 16:00:00,2022-02-02 04:00:00
H1_BSL_20220202_0300,H1,UP,1801.55,2022-02-02 03:00:00,2022-02-02 06:00:00
H1_SSL_20220202_0900,H1,DOWN,1794.36,2022-02-02 09:00:00,2022-02-02 12:00:00
H1_SSL_20220202_1600,H1,DOWN,1800.46,2022-02-02 16:00:00,2022-02-02 19:00:00
H4_SSL_20220202_0800,H4,DOWN,1794.36,2022-02-02 08:00:00,2022-02-02 20:00:00
H1_BSL_20220202_1900,H1,UP,1810.75,2022-02-02 19:00:00,2022-02-02 22:00:00
H1_SSL_20220202_2200,H1,DOWN,1804.97,2022-02-02 22:00:00,2022-02-03 02:00:00
H4_BSL_20220202_1600,H4,UP,1810.75,2022-02-02 16:00:00,2022-02-03 04:00:00
