variant,year,N,WR,avg_win_R,avg_loss_R,EV_R,PF,time_stop_rate,ambig_n,median_hold,family,sl_mult,rr
atrSL1.25_RR1.90,2025,342,0.4064327485380117,1.8749925046728122,-0.9977390879447527,0.16983310905478388,1.2867711391864523,0.014619883040935672,0,26.0,atr,1.25,1.9000000000000008
atrSL1.25_RR1.90,2026,603,0.41625207296849087,1.8781898652489508,-1.0,0.19805249780677714,1.3392774323224053,0.009950248756218905,1,20.0,atr,1.25,1.9000000000000008
atrSL1.25_RR2.00,2025,342,0.39473684210526316,1.9720293196260803,-0.9977827770665932,0.17451147162788327,1.2889639985549406,0.014619883040935672,0,27.0,atr,1.25,2.000000000000001
atrSL1.25_RR2.00,2026,603,0.39800995024875624,1.9699024671038106,-1.0,0.18205073317564618,1.3024148542835114,0.011608623548922056,1,21.0,atr,1.25,2.000000000000001
atrSL1.50_RR1.00,2025,342,0.5497076023391813,1.0,-1.0,0.09941520467836257,1.2207792207792207,0.0,0,15.0,atr,1.5,1.0
atrSL1.50_RR1.00,2026,603,0.572139303482587,0.997181842742436,-1.0,0.14266622843472707,1.3334408362253505,0.001658374792703151,0,13.0,atr,1.5,1.0
atrSL1.50_RR1.10,2025,342,0.5409356725146199,1.0961920296533414,-1.0,0.13390504528031638,1.2916912451329183,0.0029239766081871343,0,18.0,atr,1.5,1.1
atrSL1.50_RR1.10,2026,603,0.5439469320066335,1.0967309016650622,-1.0,0.140510341204213,1.3081008572586923,0.001658374792703151,0,15.0,atr,1.5,1.1
atrSL1.50_RR1.20,2025,342,0.5087719298245614,1.1953765832521162,-0.9957392601824642,0.11903897595091874,1.2433662642323442,0.008771929824561403,0,21.0,atr,1.5,1.2000000000000002
atrSL1.50_RR1.20,2026,603,0.5240464344941956,1.1962903029941154,-1.0,0.15095810239824292,1.317169810962162,0.001658374792703151,0,17.0,atr,1.5,1.2000000000000002
atrSL1.50_RR1.30,2025,342,0.49122807017543857,1.294616223130168,-0.9958861822451379,0.12927289407957376,1.2551376921241988,0.008771929824561403,0,23.0,atr,1.5,1.3000000000000003
atrSL1.50_RR1.30,2026,603,0.5024875621890548,1.2924270582770037,-1.0,0.15191608400983758,1.3053513288597733,0.006633499170812604,0,20.0,atr,1.5,1.3000000000000003
atrSL1.50_RR1.40,2025,342,0.4766081871345029,1.3938375796679034,-0.9960010933556088,0.14301558413805335,1.2743447313445257,0.008771929824561403,0,27.5,atr,1.5,1.4000000000000004
atrSL1.50_RR1.40,2026,603,0.4842454394693201,1.3870471255263743,-1.0,0.15591668433449637,1.3023079120697791,0.009950248756218905,0,22.0,atr,1.5,1.4000000000000004
atrSL1.50_RR1.50,2025,342,0.4619883040935672,1.483248724417304,-0.9961097592970326,0.1493248618341523,1.278633422534159,0.014619883040935672,0,30.0,atr,1.5,1.5000000000000004
atrSL1.50_RR1.50,2026,603,0.472636815920398,1.4846237215919345,-1.0,0.17432464453350144,1.3305589957663564,0.009950248756218905,1,23.0,atr,1.5,1.5000000000000004
atrSL1.50_RR1.60,2025,342,0.45321637426900585,1.5809890223092522,-0.9938043009728874,0.17313419349708808,1.3186151891436257,0.017543859649122806,0,31.0,atr,1.5,1.6000000000000005
atrSL1.50_RR1.60,2026,603,0.4560530679933665,1.5773301184025914,-1.0,0.1753993077292083,1.322456654148514,0.011608623548922056,1,25.0,atr,1.5,1.6000000000000005
atrSL1.50_RR1.70,2025,342,0.43859649122807015,1.6731734343633506,-0.9939656473017185,0.1758321955338381,1.3151025381459456,0.02046783625730994,0,34.0,atr,1.5,1.7000000000000006
atrSL1.50_RR1.70,2026,603,0.4361525704809287,1.6698665240820125,-0.997770883918908,0.16572602869177533,1.2945766316866318,0.014925373134328358,1,26.0,atr,1.5,1.7000000000000006
atrSL1.50_RR1.80,2025,342,0.42105263157894735,1.7692778830173792,-0.9941485064743937,0.16939944699582646,1.2943212637804324,0.02046783625730994,0,35.5,atr,1.5,1.8000000000000007
atrSL1.50_RR1.80,2026,603,0.41625207296849087,1.7584815035174575,-0.9978468765125815,0.14948052545680449,1.2566228726961255,0.01658374792703151,1,28.0,atr,1.5,1.8000000000000007
atrSL1.50_RR1.90,2025,342,0.4152046783625731,1.8594956486083911,-0.9942070214096498,0.19066367783760702,1.327934607261207,0.023391812865497075,0,38.0,atr,1.5,1.9000000000000008
atrSL1.50_RR1.90,2026,603,0.4046434494195688,1.834449195703077,-0.9978888594218069,0.1481981811262387,1.2494500313790804,0.02321724709784411,1,29.0,atr,1.5,1.9000000000000008
atrSL1.50_RR2.00,2025,342,0.39473684210526316,1.9415665341030734,-0.9944029192363766,0.16453239129235386,1.2733661773163714,0.029239766081871343,0,42.0,atr,1.5,2.000000000000001
atrSL1.50_RR2.00,2026,603,0.39303482587064675,1.927027863930593,-0.9979292364274008,0.1516807681909153,1.2504188402317031,0.02321724709784411,1,31.0,atr,1.5,2.000000000000001
