family,sl_mult,rr,min_WR,mean_WR,min_EV,mean_EV,min_avg_win,max_time_stop,max_ambig
fixed_dollar,,1.8000000000000007,0.4311774461028192,0.43634895696953824,0.20729684908789417,0.2176952081696783,1.780456953642385,0.008771929824561403,0
fixed_dollar,,1.8500000000000008,0.4295190713101161,0.43259579296499956,0.2226650082918743,0.2279377673038321,1.829523489932887,0.008771929824561403,0
fixed_dollar,,1.9000000000000008,0.417910447761194,0.4238675045823514,0.21039303482587096,0.22406786244217544,1.878564625850341,0.008771929824561403,1
fixed_dollar,,1.9500000000000008,0.4096185737976783,0.41679759099240643,0.20422719734660075,0.22295862791306667,1.9275793103448284,0.008771929824561403,1
fixed_dollar,,2.000000000000001,0.3996683250414594,0.4103604783102034,0.19469154228855765,0.22425805184603342,1.9767291666666675,0.008771929824561403,1
fixed_dollar,,2.0500000000000007,0.3946932006633499,0.40202496290477435,0.19933499170812646,0.2187493671990926,2.0235214285714296,0.011695906432748537,1
fixed_dollar,,2.100000000000001,0.38308457711442784,0.3932966745221262,0.18291708126036535,0.21149070437287293,2.072050724637682,0.011695906432748537,1
fixed_dollar,,2.1500000000000012,0.3747927031509121,0.3876887492362748,0.17485240464345,0.21272152395915217,2.12075182481752,0.011695906432748537,1
fixed_dollar,,2.200000000000001,0.3681592039800995,0.3829100113467749,0.17211608623548968,0.21493377411189712,2.1617058823529427,0.014619883040935672,1
fixed_dollar,,2.250000000000001,0.36318407960199006,0.38042244915772017,0.1741061359867334,0.22409838963079376,2.202794117647059,0.017543859649122806,1
fixed_dollar,,2.300000000000001,0.3582089552238806,0.37354892205638474,0.1755986733001663,0.21994699746879676,2.2498496240601513,0.017543859649122806,1
fixed_dollar,,2.3500000000000014,0.35323383084577115,0.3695993715632364,0.17659369817578832,0.22490357423409324,2.2975757575757583,0.017543859649122806,1
fixed_dollar,,2.4000000000000012,0.351575456053068,0.3643842192546042,0.18836815920398067,0.2227820328183649,2.3317984496124047,0.02046783625730994,1
