N,PnL,PF,WR,DD,P95,Max,Top10,routes,armed_routes,arm_rate,arm_before_last,ha_before_last,changed,year,method,q,threshold,delta
241,1152.799999999998,1.8262377798801614,0.6182572614107884,152.7700000000009,40.1899999999996,133.47000000000003,768.5799999999997,84,12,0.14285714285714285,5,3,5,2024,GEOM_DELTA__LOGIT,0.9,0.7198330718814216,-135.09000000000037
241,1326.199999999998,1.9610284207017472,0.6224066390041494,152.7700000000009,42.92000000000007,158.13999999999987,882.8899999999992,84,6,0.07142857142857142,3,1,3,2024,GEOM_DELTA__LOGIT,0.95,0.8205269929719867,38.30999999999972
241,973.439999999998,1.894105976688432,0.6182572614107884,154.3399999999997,37.11000000000013,84.16999999999985,515.9000000000003,84,72,0.8571428571428571,42,30,80,2024,GEOM_DELTA__HGB,0.5,0.2580882640062526,-314.4500000000003
241,1022.9300000000005,1.8680374053833888,0.6099585062240664,142.40999999999985,39.08999999999992,87.15000000000009,586.2200000000005,84,54,0.6428571428571429,32,26,68,2024,GEOM_DELTA__HGB,0.7,0.4380444906693851,-264.95999999999776
241,1243.2399999999993,2.0040460980593258,0.6307053941908713,139.79999999999927,42.289999999999964,158.13999999999987,718.6799999999996,84,36,0.42857142857142855,21,15,43,2024,GEOM_DELTA__HGB,0.8,0.5645280865033476,-44.649999999998954
241,1248.4099999999983,1.8985892175915915,0.6224066390041494,152.7700000000009,42.92000000000007,158.13999999999987,852.609999999999,84,16,0.19047619047619047,7,7,14,2024,GEOM_DELTA__HGB,0.9,0.7107121748516271,-39.48000000000002
241,1283.9499999999985,1.924529796365101,0.6182572614107884,152.7700000000009,42.92000000000007,158.13999999999987,882.8899999999992,84,5,0.05952380952380952,2,2,3,2024,GEOM_DELTA__HGB,0.95,0.7658779021580148,-3.939999999999827
241,1065.119999999997,1.7939295457594744,0.6182572614107884,139.79999999999927,39.08999999999992,87.15000000000009,608.6899999999989,84,41,0.4880952380952381,18,15,37,2024,FULL_NO_RANK__LOGIT,0.5,0.4577566694076272,-222.77000000000135
241,1095.949999999997,1.810529974706758,0.6224066390041494,139.79999999999927,39.08999999999992,92.48999999999978,661.6999999999996,84,26,0.30952380952380953,10,8,18,2024,FULL_NO_RANK__LOGIT,0.7,0.5704893634150398,-191.9400000000012
241,1172.5499999999972,1.8601767963907097,0.6224066390041494,139.79999999999927,40.1899999999996,116.41999999999985,751.5299999999995,84,17,0.20238095238095238,7,5,12,2024,FULL_NO_RANK__LOGIT,0.8,0.642383662829476,-115.34000000000106
241,1160.7999999999977,1.84198920675448,0.6182572614107884,152.7700000000009,40.1899999999996,133.47000000000003,768.5799999999997,84,12,0.14285714285714285,5,3,7,2024,FULL_NO_RANK__LOGIT,0.9,0.7426346093616085,-127.0900000000006
241,1310.6999999999985,1.948565969734469,0.6224066390041494,152.7700000000009,42.92000000000007,158.13999999999987,882.8899999999992,84,3,0.03571428571428571,1,0,1,2024,FULL_NO_RANK__LOGIT,0.95,0.8314281780251399,22.810000000000173
241,1048.7399999999975,1.9937460913070635,0.6348547717842323,139.79999999999927,36.970000000000255,84.16999999999985,531.9899999999998,84,78,0.9285714285714286,38,29,83,2024,FULL_NO_RANK__TREE2,0.5,0.5598412448239816,-239.15000000000077
241,1048.7399999999975,1.9937460913070635,0.6348547717842323,139.79999999999927,36.970000000000255,84.16999999999985,531.9899999999998,84,78,0.9285714285714286,38,29,83,2024,FULL_NO_RANK__TREE2,0.7,0.5598412448239816,-239.15000000000077
