N,PnL,PF,WR,DD,P95,Max,Top10,routes,armed_routes,arm_rate,arm_exact_last,arm_early,ha_before_true_last,changed,year,method,q,threshold
241,1919.9000000000037,1.9755589430894334,0.6597510373443983,319.3000000000002,56.63000000000011,171.3699999999999,1151.48,67,31,0.4626865671641791,10,21,20,45,2025,MECH4,0.8,0.7079852579852582
241,2331.7700000000023,2.1880904097583866,0.6763485477178424,319.3000000000002,78.55999999999995,167.55000000000018,1253.5399999999995,67,22,0.3283582089552239,5,17,15,34,2025,MECH4,0.9,0.7834766584766585
241,2637.300000000001,2.343764967237674,0.6763485477178424,319.3000000000002,92.26999999999998,167.55000000000018,1314.3600000000001,67,14,0.208955223880597,1,13,11,24,2025,MECH4,0.95,0.8253531941031941
241,2112.6300000000065,2.1618006940129066,0.6680497925311203,284.2999999999997,56.23000000000002,256.5300000000002,1236.9200000000005,67,52,0.7761194029850746,20,32,28,63,2025,H4BASE_LOGIT,0.5,0.4912875425595905
241,2918.290000000004,2.7288755131904066,0.6929460580912863,229.36999999999944,91.26999999999953,256.5300000000002,1351.3400000000006,67,41,0.6119402985074627,18,23,18,51,2025,H4BASE_LOGIT,0.7,0.5938403728610955
241,2793.5900000000033,2.5706149573274306,0.6887966804979253,285.75999999999976,92.2199999999998,165.3800000000001,1318.8300000000008,67,29,0.43283582089552236,11,18,16,44,2025,H4BASE_LOGIT,0.8,0.6454726899524555
241,2768.1400000000035,2.528430235768322,0.6970954356846473,285.75999999999976,92.2199999999998,161.8099999999995,1260.300000000001,67,20,0.29850746268656714,8,12,10,25,2025,H4BASE_LOGIT,0.9,0.6996150525205161
241,2669.4700000000025,2.4267839676745253,0.6929460580912863,285.75999999999976,87.52000000000044,161.8099999999995,1260.300000000001,67,10,0.14925373134328357,6,4,3,11,2025,H4BASE_LOGIT,0.95,0.7347494740653463
241,2196.0900000000042,2.250157971138251,0.6804979253112033,263.3299999999999,56.63000000000011,165.3800000000001,1096.4999999999986,67,61,0.9104477611940298,26,35,31,70,2025,SMALL_LOGIT,0.5,0.4498073704099833
241,2366.770000000005,2.3904346191354677,0.6929460580912863,229.36999999999944,70.34000000000015,165.3800000000001,1121.219999999999,67,54,0.8059701492537313,23,31,27,66,2025,SMALL_LOGIT,0.7,0.5449828745976447
241,2563.200000000004,2.479933255194956,0.7012448132780082,285.75999999999976,78.39000000000033,182.12999999999965,1251.7599999999989,67,44,0.6567164179104478,18,26,23,56,2025,SMALL_LOGIT,0.8,0.6124880375326346
241,3114.6100000000024,2.8724022050822744,0.7095435684647303,285.75999999999976,87.52000000000044,198.89000000000033,1428.2599999999993,67,30,0.44776119402985076,13,17,15,42,2025,SMALL_LOGIT,0.9,0.6821147852493548
241,3274.310000000002,2.8773852116875416,0.7053941908713693,304.21000000000004,96.19999999999982,256.5300000000002,1566.3300000000008,67,24,0.3582089552238806,11,13,12,34,2025,SMALL_LOGIT,0.95,0.7358229230374186
241,2093.5300000000047,2.208435550065519,0.6721991701244814,228.24000000000024,55.0300000000002,182.12999999999965,1141.4299999999998,67,59,0.8805970149253731,24,35,31,72,2025,SMALL_HGB,0.5,0.26664403655953245
241,2398.810000000002,2.414034177655433,0.6721991701244814,195.51999999999998,74.19000000000005,182.12999999999965,1202.3399999999992,67,50,0.746268656716418,21,29,25,64,2025,SMALL_HGB,0.7,0.37490058856576425
241,2719.1500000000005,2.520122765922955,0.6763485477178424,234.95999999999958,84.63999999999942,182.12999999999965,1328.8599999999997,67,38,0.5671641791044776,15,23,18,47,2025,SMALL_HGB,0.8,0.43567019287709446
241,2850.0100000000016,2.575113297225603,0.6763485477178424,253.40999999999985,84.63999999999942,241.4699999999998,1367.0600000000004,67,17,0.2537313432835821,8,9,6,24,2025,SMALL_HGB,0.9,0.5230422333979611
241,2923.0300000000025,2.530670702331333,0.6846473029045643,319.3000000000002,92.2199999999998,241.4699999999998,1461.6000000000008,67,8,0.11940298507462686,4,4,2,11,2025,SMALL_HGB,0.95,0.5843806495915143
241,1973.580000000005,2.1269035532994964,0.6721991701244814,228.24000000000024,55.0300000000002,165.3800000000001,1054.06,67,64,0.9552238805970149,25,39,32,75,2025,H4ALL_TREE2,0.5,0.6318851054404689
241,1973.580000000005,2.1269035532994964,0.6721991701244814,228.24000000000024,55.0300000000002,165.3800000000001,1054.06,67,64,0.9552238805970149,25,39,32,75,2025,H4ALL_TREE2,0.7,0.6318851054404689
241,1973.580000000005,2.1269035532994964,0.6721991701244814,228.24000000000024,55.0300000000002,165.3800000000001,1054.06,67,64,0.9552238805970149,25,39,32,75,2025,H4ALL_TREE2,0.8,0.6318851054404689
241,1973.580000000005,2.1269035532994964,0.6721991701244814,228.24000000000024,55.0300000000002,165.3800000000001,1054.06,67,64,0.9552238805970149,25,39,32,75,2025,H4ALL_TREE2,0.9,0.6318851054404689
241,1973.580000000005,2.1269035532994964,0.6721991701244814,228.24000000000024,55.0300000000002,165.3800000000001,1054.06,67,64,0.9552238805970149,25,39,32,75,2025,H4ALL_TREE2,0.95,0.6318851054404689
241,2105.5700000000043,2.2064990058389093,0.6763485477178424,249.3800000000001,55.0300000000002,182.12999999999965,1141.4299999999998,67,60,0.8955223880597015,23,37,32,74,2025,H4ALL_HGB,0.5,0.2207675658371856
241,2516.4700000000025,2.5155166910573548,0.6887966804979253,211.2899999999995,74.19000000000005,182.12999999999965,1207.8599999999988,67,48,0.7164179104477612,22,26,20,62,2025,H4ALL_HGB,0.7,0.3607899711349284
241,3040.7500000000014,2.701718647691217,0.6887966804979253,238.45999999999958,92.26999999999998,256.5300000000002,1585.5900000000006,67,30,0.44776119402985076,15,15,10,42,2025,H4ALL_HGB,0.8,0.47700108416277814
241,2673.490000000002,2.416133440684792,0.6721991701244814,262.5,87.52000000000044,241.4699999999998,1431.5800000000008,67,9,0.13432835820895522,4,5,3,9,2025,H4ALL_HGB,0.9,0.5939367978133193
