PnL,PF,WR,DD,P95,Max,N,routes,event_routes,event_before_last,changed,year,method,q,delta
1281.0999999999983,1.9226104741602792,0.6224066390041494,152.7700000000009,42.92000000000007,158.13999999999987,241,84,1,1,1,2024,GEOM_DELTA__LOGIT,0.9,-6.789999999999964
1281.0999999999983,1.9226104741602792,0.6224066390041494,152.7700000000009,42.92000000000007,158.13999999999987,241,84,1,1,1,2024,GEOM_DELTA__LOGIT,0.95,-6.789999999999964
1423.6299999999985,2.1737212676845936,0.6182572614107884,124.89999999999964,43.46000000000004,158.13999999999987,241,84,42,12,52,2024,GEOM_DELTA__HGB,0.5,135.74000000000024
1265.2399999999986,1.934466790253845,0.6224066390041494,152.7700000000009,42.039999999999964,158.13999999999987,241,84,21,7,24,2024,GEOM_DELTA__HGB,0.7,-22.649999999999636
1301.4699999999984,1.9614878841607544,0.6265560165975104,152.7700000000009,42.92000000000007,158.13999999999987,241,84,9,3,10,2024,GEOM_DELTA__HGB,0.8,13.580000000000155
1258.1799999999982,1.9112030069742663,0.6224066390041494,152.7700000000009,42.92000000000007,158.13999999999987,241,84,3,2,3,2024,GEOM_DELTA__HGB,0.9,-29.710000000000036
1293.8599999999985,1.9404419246983557,0.6224066390041494,152.7700000000009,42.92000000000007,158.13999999999987,241,84,1,1,1,2024,GEOM_DELTA__HGB,0.95,5.970000000000255
1113.429999999998,1.8014496822072001,0.6141078838174274,152.7700000000009,42.92000000000007,133.47000000000003,241,84,13,5,14,2024,FULL__LOGIT,0.5,-174.46000000000026
1302.1499999999985,1.9400447588795824,0.6224066390041494,152.7700000000009,42.92000000000007,158.13999999999987,241,84,4,1,4,2024,FULL__LOGIT,0.7,14.260000000000218
1295.6199999999983,1.9330673503485607,0.6224066390041494,152.7700000000009,42.92000000000007,158.13999999999987,241,84,2,1,2,2024,FULL__LOGIT,0.8,7.730000000000018
1281.0999999999983,1.9226104741602792,0.6224066390041494,152.7700000000009,42.92000000000007,158.13999999999987,241,84,1,1,1,2024,FULL__LOGIT,0.9,-6.789999999999964
1287.8899999999983,1.9320581572910087,0.6224066390041494,152.7700000000009,42.92000000000007,158.13999999999987,241,84,0,0,0,2024,FULL__LOGIT,0.95,0.0
996.7399999999975,1.938214198309453,0.6265560165975104,124.89999999999964,35.63999999999987,84.16999999999985,241,84,68,26,83,2024,FULL__TREE2,0.5,-291.1500000000008
1126.2799999999984,1.9043883245673885,0.6058091286307054,124.89999999999964,42.039999999999964,133.47000000000003,241,84,59,16,66,2024,FULL__TREE2,0.7,-161.6099999999999
1126.2799999999984,1.9043883245673885,0.6058091286307054,124.89999999999964,42.039999999999964,133.47000000000003,241,84,59,16,66,2024,FULL__TREE2,0.8,-161.6099999999999
1126.2799999999984,1.9043883245673885,0.6058091286307054,124.89999999999964,42.039999999999964,133.47000000000003,241,84,59,16,66,2024,FULL__TREE2,0.9,-161.6099999999999
1272.0299999999988,1.9323409120893607,0.6182572614107884,152.7700000000009,42.92000000000007,158.13999999999987,241,84,11,4,14,2024,FULL__TREE2,0.95,-15.859999999999445
1098.6899999999966,1.8404461205412774,0.6182572614107884,152.7700000000009,39.26999999999998,133.47000000000003,241,84,38,14,46,2024,FULL__HGB,0.5,-189.20000000000164
1301.289999999998,1.9391120476884636,0.6224066390041494,152.7700000000009,42.92000000000007,158.13999999999987,241,84,9,4,9,2024,FULL__HGB,0.7,13.399999999999636
1306.4199999999987,1.946317718557364,0.6265560165975104,152.7700000000009,43.46000000000004,158.13999999999987,241,84,5,2,5,2024,FULL__HGB,0.8,18.530000000000427
1306.1399999999987,1.9536304895411223,0.6265560165975104,152.7700000000009,42.92000000000007,158.13999999999987,241,84,3,1,3,2024,FULL__HGB,0.9,18.250000000000455
1303.5299999999986,1.9499147391893648,0.6265560165975104,152.7700000000009,42.92000000000007,158.13999999999987,241,84,3,0,3,2024,FULL__HGB,0.95,15.640000000000327
2236.3300000000054,2.173606154750414,0.6721991701244814,251.5900000000006,74.01000000000022,198.89000000000033,241,67,46,20,66,2025,MECH_RATIO,0.5,-474.87999999999647
2194.3600000000038,2.06506819395234,0.6597510373443983,279.60000000000036,85.04000000000042,161.8099999999995,241,67,38,11,50,2025,MECH_RATIO,0.7,-516.8499999999981
2214.3400000000024,2.056928885431038,0.6597510373443983,293.52000000000044,85.04000000000042,171.3699999999999,241,67,32,9,40,2025,MECH_RATIO,0.8,-496.86999999999944
2631.6600000000017,2.2774242402178526,0.6680497925311203,300.5,92.2199999999998,247.44000000000005,241,67,23,6,28,2025,MECH_RATIO,0.9,-79.55000000000018
2645.180000000001,2.2982351093486213,0.6721991701244814,324.74000000000024,92.26999999999998,241.4699999999998,241,67,14,4,16,2025,MECH_RATIO,0.95,-66.03000000000065
1852.8400000000042,1.946819220096993,0.6680497925311203,251.5900000000006,56.63000000000011,165.3800000000001,241,67,47,21,61,2025,MECH_RATIO_DELTA,0.5,-858.3699999999976
2018.5300000000038,1.974876240612401,0.6597510373443983,266.6700000000001,77.52999999999975,161.8099999999995,241,67,31,11,39,2025,MECH_RATIO_DELTA,0.7,-692.679999999998
2180.990000000003,2.0604987916774076,0.6597510373443983,280.0400000000004,81.11999999999989,171.3699999999999,241,67,26,8,35,2025,MECH_RATIO_DELTA,0.8,-530.2199999999989
